Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
1,Two Sum,"Array, Hash Table",45.7%,Easy,100.0,https://leetcode.com/problems/two-sum
2,Add Two Numbers,"Linked List, Math",34.1%,Medium,85.9706,https://leetcode.com/problems/add-two-numbers
3,Longest Substring Without Repeating Characters,"Hash Table, Two Pointers, String, Sliding Window",30.5%,Medium,52.0129,https://leetcode.com/problems/longest-substring-without-repeating-characters
4,Median of Two Sorted Arrays,"Array, Binary Search, Divide and Conquer",29.8%,Hard,11.733,https://leetcode.com/problems/median-of-two-sorted-arrays
5,Longest Palindromic Substring,"String, Dynamic Programming",29.6%,Medium,49.1287,https://leetcode.com/problems/longest-palindromic-substring
6,ZigZag Conversion,String,36.6%,Medium,6.43049,https://leetcode.com/problems/zigzag-conversion
7,Reverse Integer,Math,25.8%,Easy,16.7582,https://leetcode.com/problems/reverse-integer
8,String to Integer (atoi),"Math, String",15.4%,Medium,3.22974,https://leetcode.com/problems/string-to-integer-atoi
9,Palindrome Number,Math,48.6%,Easy,1.12936,https://leetcode.com/problems/palindrome-number
10,Regular Expression Matching,"String, Dynamic Programming, Backtracking",26.9%,Hard,2.64092,https://leetcode.com/problems/regular-expression-matching
11,Container With Most Water,"Array, Two Pointers",51.1%,Medium,13.5441,https://leetcode.com/problems/container-with-most-water
12,Integer to Roman,"Math, String",55.3%,Medium,7.16639,https://leetcode.com/problems/integer-to-roman
13,Roman to Integer,"Math, String",55.9%,Easy,2.83981,https://leetcode.com/problems/roman-to-integer
14,Longest Common Prefix,String,35.5%,Easy,2.74601,https://leetcode.com/problems/longest-common-prefix
15,3Sum,"Array, Two Pointers",27.0%,Medium,29.0455,https://leetcode.com/problems/3sum
16,3Sum Closest,"Array, Two Pointers",46.0%,Medium,2.85795,https://leetcode.com/problems/3sum-closest
18,4Sum,"Array, Hash Table, Two Pointers",33.8%,Medium,3.85973,https://leetcode.com/problems/4sum
20,Valid Parentheses,"String, Stack",39.1%,Easy,1.74283,https://leetcode.com/problems/valid-parentheses
21,Merge Two Sorted Lists,Linked List,53.9%,Easy,66.0423,https://leetcode.com/problems/merge-two-sorted-lists
22,Generate Parentheses,"String, Backtracking",63.1%,Medium,25.2946,https://leetcode.com/problems/generate-parentheses
23,Merge k Sorted Lists,"Linked List, Divide and Conquer, Heap",40.6%,Hard,3.50595,https://leetcode.com/problems/merge-k-sorted-lists
24,Swap Nodes in Pairs,Linked List,50.8%,Medium,5.32233,https://leetcode.com/problems/swap-nodes-in-pairs
25,Reverse Nodes in k-Group,Linked List,42.5%,Hard,15.1706,https://leetcode.com/problems/reverse-nodes-in-k-group
26,Remove Duplicates from Sorted Array,"Array, Two Pointers",45.4%,Easy,0.691322,https://leetcode.com/problems/remove-duplicates-from-sorted-array
31,Next Permutation,Array,32.7%,Medium,13.2333,https://leetcode.com/problems/next-permutation
33,Search in Rotated Sorted Array,"Array, Binary Search",34.7%,Medium,2.74347,https://leetcode.com/problems/search-in-rotated-sorted-array
35,Search Insert Position,"Array, Binary Search",42.7%,Easy,1.7697,https://leetcode.com/problems/search-insert-position
37,Sudoku Solver,"Hash Table, Backtracking",44.0%,Hard,15.6258,https://leetcode.com/problems/sudoku-solver
41,First Missing Positive,Array,32.2%,Hard,5.71756,https://leetcode.com/problems/first-missing-positive
42,Trapping Rain Water,"Array, Two Pointers, Stack",49.2%,Hard,16.5146,https://leetcode.com/problems/trapping-rain-water
44,Wildcard Matching,"String, Dynamic Programming, Backtracking, Greedy",24.8%,Hard,10.4688,https://leetcode.com/problems/wildcard-matching
45,Jump Game II,"Array, Greedy",30.7%,Hard,7.97702,https://leetcode.com/problems/jump-game-ii
48,Rotate Image,Array,57.3%,Medium,3.91238,https://leetcode.com/problems/rotate-image
49,Group Anagrams,"Hash Table, String",57.3%,Medium,1.42719,https://leetcode.com/problems/group-anagrams
51,N-Queens,Backtracking,47.1%,Hard,6.46985,https://leetcode.com/problems/n-queens
53,Maximum Subarray,"Array, Divide and Conquer, Dynamic Programming",46.7%,Easy,18.5266,https://leetcode.com/problems/maximum-subarray
54,Spiral Matrix,Array,34.3%,Medium,8.60171,https://leetcode.com/problems/spiral-matrix
55,Jump Game,"Array, Greedy",34.7%,Medium,17.0278,https://leetcode.com/problems/jump-game
56,Merge Intervals,"Array, Sort",39.5%,Medium,2.77265,https://leetcode.com/problems/merge-intervals
61,Rotate List,"Linked List, Two Pointers",30.2%,Medium,8.24999,https://leetcode.com/problems/rotate-list
64,Minimum Path Sum,"Array, Dynamic Programming",54.8%,Medium,5.2123,https://leetcode.com/problems/minimum-path-sum
66,Plus One,Array,43.0%,Easy,1.33195,https://leetcode.com/problems/plus-one
70,Climbing Stairs,Dynamic Programming,47.9%,Easy,9.83116,https://leetcode.com/problems/climbing-stairs
73,Set Matrix Zeroes,Array,43.3%,Medium,2.64622,https://leetcode.com/problems/set-matrix-zeroes
74,Search a 2D Matrix,"Array, Binary Search",36.6%,Medium,3.14009,https://leetcode.com/problems/search-a-2d-matrix
76,Minimum Window Substring,"Hash Table, Two Pointers, String, Sliding Window",34.9%,Hard,20.2164,https://leetcode.com/problems/minimum-window-substring
82,Remove Duplicates from Sorted List II,Linked List,37.1%,Medium,42.3789,https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii
83,Remove Duplicates from Sorted List,Linked List,45.6%,Easy,2.33136,https://leetcode.com/problems/remove-duplicates-from-sorted-list
85,Maximal Rectangle,"Array, Hash Table, Dynamic Programming, Stack",38.0%,Hard,4.84048,https://leetcode.com/problems/maximal-rectangle
88,Merge Sorted Array,"Array, Two Pointers",39.6%,Easy,4.33912,https://leetcode.com/problems/merge-sorted-array
91,Decode Ways,"String, Dynamic Programming",24.9%,Medium,3.98678,https://leetcode.com/problems/decode-ways
92,Reverse Linked List II,Linked List,39.1%,Medium,8.39543,https://leetcode.com/problems/reverse-linked-list-ii
96,Unique Binary Search Trees,"Dynamic Programming, Tree",53.2%,Medium,3.93232,https://leetcode.com/problems/unique-binary-search-trees
98,Validate Binary Search Tree,"Tree, Depth-first Search",27.9%,Medium,1.09084,https://leetcode.com/problems/validate-binary-search-tree
101,Symmetric Tree,"Tree, Depth-first Search, Breadth-first Search",47.1%,Easy,1.30926,https://leetcode.com/problems/symmetric-tree
104,Maximum Depth of Binary Tree,"Tree, Depth-first Search",66.3%,Easy,1.04034,https://leetcode.com/problems/maximum-depth-of-binary-tree
110,Balanced Binary Tree,"Tree, Depth-first Search",43.7%,Easy,2.87328,https://leetcode.com/problems/balanced-binary-tree
112,Path Sum,"Tree, Depth-first Search",41.4%,Easy,1.86053,https://leetcode.com/problems/path-sum
113,Path Sum II,"Tree, Depth-first Search",47.1%,Medium,3.20945,https://leetcode.com/problems/path-sum-ii
114,Flatten Binary Tree to Linked List,"Tree, Depth-first Search",49.7%,Medium,3.26693,https://leetcode.com/problems/flatten-binary-tree-to-linked-list
115,Distinct Subsequences,"String, Dynamic Programming",38.5%,Hard,19.8982,https://leetcode.com/problems/distinct-subsequences
118,Pascal's Triangle,Array,52.9%,Easy,2.53023,https://leetcode.com/problems/pascals-triangle
121,Best Time to Buy and Sell Stock,"Array, Dynamic Programming",50.6%,Easy,1.73851,https://leetcode.com/problems/best-time-to-buy-and-sell-stock
123,Best Time to Buy and Sell Stock III,"Array, Dynamic Programming",38.6%,Hard,3.88421,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii
124,Binary Tree Maximum Path Sum,"Tree, Depth-first Search",34.5%,Hard,2.08321,https://leetcode.com/problems/binary-tree-maximum-path-sum
125,Valid Palindrome,"Two Pointers, String",36.9%,Easy,1.22559,https://leetcode.com/problems/valid-palindrome
128,Longest Consecutive Sequence,"Array, Union Find",45.3%,Hard,7.39301,https://leetcode.com/problems/longest-consecutive-sequence
136,Single Number,"Hash Table, Bit Manipulation",65.7%,Easy,1.08932,https://leetcode.com/problems/single-number
137,Single Number II,Bit Manipulation,52.6%,Medium,6.39743,https://leetcode.com/problems/single-number-ii
139,Word Break,Dynamic Programming,40.3%,Medium,6.76404,https://leetcode.com/problems/word-break
141,Linked List Cycle,"Linked List, Two Pointers",41.4%,Easy,1.31398,https://leetcode.com/problems/linked-list-cycle
142,Linked List Cycle II,"Linked List, Two Pointers",37.6%,Medium,5.73285,https://leetcode.com/problems/linked-list-cycle-ii
146,LRU Cache,Design,33.5%,Medium,6.81174,https://leetcode.com/problems/lru-cache
152,Maximum Product Subarray,"Array, Dynamic Programming",31.8%,Medium,1.95717,https://leetcode.com/problems/maximum-product-subarray
155,Min Stack,"Stack, Design",44.8%,Easy,1.7068,https://leetcode.com/problems/min-stack
168,Excel Sheet Column Title,Math,31.2%,Easy,6.0712,https://leetcode.com/problems/excel-sheet-column-title
