Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
1,Two Sum,"Array, Hash Table",45.7%,Easy,100.0,https://leetcode.com/problems/two-sum
2,Add Two Numbers,"Linked List, Math",34.1%,Medium,93.549,https://leetcode.com/problems/add-two-numbers
3,Longest Substring Without Repeating Characters,"Hash Table, Two Pointers, String, Sliding Window",30.5%,Medium,77.6729,https://leetcode.com/problems/longest-substring-without-repeating-characters
4,Median of Two Sorted Arrays,"Array, Binary Search, Divide and Conquer",29.8%,Hard,87.0979,https://leetcode.com/problems/median-of-two-sorted-arrays
5,Longest Palindromic Substring,"String, Dynamic Programming",29.6%,Medium,62.6197,https://leetcode.com/problems/longest-palindromic-substring
6,ZigZag Conversion,String,36.6%,Medium,50.1557,https://leetcode.com/problems/zigzag-conversion
7,Reverse Integer,Math,25.8%,Easy,73.5419,https://leetcode.com/problems/reverse-integer
8,String to Integer (atoi),"Math, String",15.4%,Medium,26.5691,https://leetcode.com/problems/string-to-integer-atoi
9,Palindrome Number,Math,48.6%,Easy,42.5996,https://leetcode.com/problems/palindrome-number
10,Regular Expression Matching,"String, Dynamic Programming, Backtracking",26.9%,Hard,28.5686,https://leetcode.com/problems/regular-expression-matching
11,Container With Most Water,"Array, Two Pointers",51.1%,Medium,50.1146,https://leetcode.com/problems/container-with-most-water
12,Integer to Roman,"Math, String",55.3%,Medium,25.0981,https://leetcode.com/problems/integer-to-roman
13,Roman to Integer,"Math, String",55.9%,Easy,59.2993,https://leetcode.com/problems/roman-to-integer
14,Longest Common Prefix,String,35.5%,Easy,44.8187,https://leetcode.com/problems/longest-common-prefix
15,3Sum,"Array, Two Pointers",27.0%,Medium,66.8543,https://leetcode.com/problems/3sum
16,3Sum Closest,"Array, Two Pointers",46.0%,Medium,17.6962,https://leetcode.com/problems/3sum-closest
18,4Sum,"Array, Hash Table, Two Pointers",33.8%,Medium,33.1803,https://leetcode.com/problems/4sum
19,Remove Nth Node From End of List,"Linked List, Two Pointers",35.3%,Medium,10.4396,https://leetcode.com/problems/remove-nth-node-from-end-of-list
20,Valid Parentheses,"String, Stack",39.1%,Easy,30.1539,https://leetcode.com/problems/valid-parentheses
21,Merge Two Sorted Lists,Linked List,53.9%,Easy,64.7892,https://leetcode.com/problems/merge-two-sorted-lists
22,Generate Parentheses,"String, Backtracking",63.1%,Medium,37.3868,https://leetcode.com/problems/generate-parentheses
23,Merge k Sorted Lists,"Linked List, Divide and Conquer, Heap",40.6%,Hard,32.3238,https://leetcode.com/problems/merge-k-sorted-lists
24,Swap Nodes in Pairs,Linked List,50.8%,Medium,15.1397,https://leetcode.com/problems/swap-nodes-in-pairs
25,Reverse Nodes in k-Group,Linked List,42.5%,Hard,12.6041,https://leetcode.com/problems/reverse-nodes-in-k-group
26,Remove Duplicates from Sorted Array,"Array, Two Pointers",45.4%,Easy,12.3367,https://leetcode.com/problems/remove-duplicates-from-sorted-array
28,Implement strStr(),"Two Pointers, String",34.6%,Easy,5.99322,https://leetcode.com/problems/implement-strstr
29,Divide Two Integers,"Math, Binary Search",16.4%,Medium,7.23879,https://leetcode.com/problems/divide-two-integers
30,Substring with Concatenation of All Words,"Hash Table, Two Pointers, String",25.5%,Hard,16.1076,https://leetcode.com/problems/substring-with-concatenation-of-all-words
31,Next Permutation,Array,32.7%,Medium,15.3043,https://leetcode.com/problems/next-permutation
32,Longest Valid Parentheses,"String, Dynamic Programming",28.5%,Hard,19.9405,https://leetcode.com/problems/longest-valid-parentheses
33,Search in Rotated Sorted Array,"Array, Binary Search",34.7%,Medium,16.5489,https://leetcode.com/problems/search-in-rotated-sorted-array
35,Search Insert Position,"Array, Binary Search",42.7%,Easy,5.29217,https://leetcode.com/problems/search-insert-position
36,Valid Sudoku,Hash Table,49.1%,Medium,1.78824,https://leetcode.com/problems/valid-sudoku
37,Sudoku Solver,"Hash Table, Backtracking",44.0%,Hard,12.9386,https://leetcode.com/problems/sudoku-solver
38,Count and Say,String,44.9%,Easy,20.3452,https://leetcode.com/problems/count-and-say
41,First Missing Positive,Array,32.2%,Hard,21.0045,https://leetcode.com/problems/first-missing-positive
42,Trapping Rain Water,"Array, Two Pointers, Stack",49.2%,Hard,30.7029,https://leetcode.com/problems/trapping-rain-water
44,Wildcard Matching,"String, Dynamic Programming, Backtracking, Greedy",24.8%,Hard,12.88,https://leetcode.com/problems/wildcard-matching
45,Jump Game II,"Array, Greedy",30.7%,Hard,17.2789,https://leetcode.com/problems/jump-game-ii
46,Permutations,Backtracking,64.0%,Medium,22.7204,https://leetcode.com/problems/permutations
47,Permutations II,Backtracking,46.8%,Medium,1.48712,https://leetcode.com/problems/permutations-ii
48,Rotate Image,Array,57.3%,Medium,11.5825,https://leetcode.com/problems/rotate-image
49,Group Anagrams,"Hash Table, String",57.3%,Medium,9.68921,https://leetcode.com/problems/group-anagrams
50,"Pow(x, n)","Math, Binary Search",30.5%,Medium,24.196,https://leetcode.com/problems/powx-n
51,N-Queens,Backtracking,47.1%,Hard,12.0494,https://leetcode.com/problems/n-queens
53,Maximum Subarray,"Array, Divide and Conquer, Dynamic Programming",46.7%,Easy,49.9358,https://leetcode.com/problems/maximum-subarray
54,Spiral Matrix,Array,34.3%,Medium,24.5929,https://leetcode.com/problems/spiral-matrix
55,Jump Game,"Array, Greedy",34.7%,Medium,7.81631,https://leetcode.com/problems/jump-game
56,Merge Intervals,"Array, Sort",39.5%,Medium,9.42288,https://leetcode.com/problems/merge-intervals
57,Insert Interval,"Array, Sort",33.7%,Hard,0.483614,https://leetcode.com/problems/insert-interval
59,Spiral Matrix II,Array,54.3%,Medium,3.53783,https://leetcode.com/problems/spiral-matrix-ii
61,Rotate List,"Linked List, Two Pointers",30.2%,Medium,8.77447,https://leetcode.com/problems/rotate-list
62,Unique Paths,"Array, Dynamic Programming",54.4%,Medium,6.31844,https://leetcode.com/problems/unique-paths
64,Minimum Path Sum,"Array, Dynamic Programming",54.8%,Medium,17.9194,https://leetcode.com/problems/minimum-path-sum
65,Valid Number,"Math, String",15.4%,Hard,7.92095,https://leetcode.com/problems/valid-number
66,Plus One,Array,43.0%,Easy,4.03806,https://leetcode.com/problems/plus-one
67,Add Binary,"Math, String",45.5%,Easy,10.5298,https://leetcode.com/problems/add-binary
70,Climbing Stairs,Dynamic Programming,47.9%,Easy,18.3547,https://leetcode.com/problems/climbing-stairs
71,Simplify Path,"String, Stack",32.8%,Medium,14.6575,https://leetcode.com/problems/simplify-path
72,Edit Distance,"String, Dynamic Programming",45.1%,Hard,8.81771,https://leetcode.com/problems/edit-distance
73,Set Matrix Zeroes,Array,43.3%,Medium,3.28169,https://leetcode.com/problems/set-matrix-zeroes
74,Search a 2D Matrix,"Array, Binary Search",36.6%,Medium,12.1412,https://leetcode.com/problems/search-a-2d-matrix
76,Minimum Window Substring,"Hash Table, Two Pointers, String, Sliding Window",34.9%,Hard,25.6944,https://leetcode.com/problems/minimum-window-substring
