Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
1,Two Sum,"Array, Hash Table",45.7%,Easy,94.6007,https://leetcode.com/problems/two-sum
2,Add Two Numbers,"Linked List, Math",34.1%,Medium,39.82,https://leetcode.com/problems/add-two-numbers
3,Longest Substring Without Repeating Characters,"Hash Table, Two Pointers, String, Sliding Window",30.5%,Medium,14.3297,https://leetcode.com/problems/longest-substring-without-repeating-characters
4,Median of Two Sorted Arrays,"Array, Binary Search, Divide and Conquer",29.8%,Hard,37.9897,https://leetcode.com/problems/median-of-two-sorted-arrays
5,Longest Palindromic Substring,"String, Dynamic Programming",29.6%,Medium,8.07513,https://leetcode.com/problems/longest-palindromic-substring
7,Reverse Integer,Math,25.8%,Easy,5.22385,https://leetcode.com/problems/reverse-integer
8,String to Integer (atoi),"Math, String",15.4%,Medium,5.61355,https://leetcode.com/problems/string-to-integer-atoi
9,Palindrome Number,Math,48.6%,Easy,0.711362,https://leetcode.com/problems/palindrome-number
10,Regular Expression Matching,"String, Dynamic Programming, Backtracking",26.9%,Hard,1.66346,https://leetcode.com/problems/regular-expression-matching
11,Container With Most Water,"Array, Two Pointers",51.1%,Medium,1.58729,https://leetcode.com/problems/container-with-most-water
12,Integer to Roman,"Math, String",55.3%,Medium,12.3571,https://leetcode.com/problems/integer-to-roman
13,Roman to Integer,"Math, String",55.9%,Easy,7.08493,https://leetcode.com/problems/roman-to-integer
14,Longest Common Prefix,String,35.5%,Easy,9.28572,https://leetcode.com/problems/longest-common-prefix
15,3Sum,"Array, Two Pointers",27.0%,Medium,10.4431,https://leetcode.com/problems/3sum
16,3Sum Closest,"Array, Two Pointers",46.0%,Medium,4.03363,https://leetcode.com/problems/3sum-closest
17,Letter Combinations of a Phone Number,"String, Backtracking",47.1%,Medium,1.00364,https://leetcode.com/problems/letter-combinations-of-a-phone-number
18,4Sum,"Array, Hash Table, Two Pointers",33.8%,Medium,9.59601,https://leetcode.com/problems/4sum
20,Valid Parentheses,"String, Stack",39.1%,Easy,0.488452,https://leetcode.com/problems/valid-parentheses
21,Merge Two Sorted Lists,Linked List,53.9%,Easy,1.9739,https://leetcode.com/problems/merge-two-sorted-lists
22,Generate Parentheses,"String, Backtracking",63.1%,Medium,4.07217,https://leetcode.com/problems/generate-parentheses
23,Merge k Sorted Lists,"Linked List, Divide and Conquer, Heap",40.6%,Hard,15.3248,https://leetcode.com/problems/merge-k-sorted-lists
25,Reverse Nodes in k-Group,Linked List,42.5%,Hard,2.42081,https://leetcode.com/problems/reverse-nodes-in-k-group
26,Remove Duplicates from Sorted Array,"Array, Two Pointers",45.4%,Easy,0.435451,https://leetcode.com/problems/remove-duplicates-from-sorted-array
28,Implement strStr(),"Two Pointers, String",34.6%,Easy,2.04634,https://leetcode.com/problems/implement-strstr
29,Divide Two Integers,"Math, Binary Search",16.4%,Medium,1.55765,https://leetcode.com/problems/divide-two-integers
