Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
1,Two Sum,"Array, Hash Table",45.7%,Easy,1.3571,https://leetcode.com/problems/two-sum
20,Valid Parentheses,"String, Stack",39.1%,Easy,1.58959,https://leetcode.com/problems/valid-parentheses
23,Merge k Sorted Lists,"Linked List, Divide and Conquer, Heap",40.6%,Hard,3.20133,https://leetcode.com/problems/merge-k-sorted-lists
42,Trapping Rain Water,"Array, Two Pointers, Stack",49.2%,Hard,2.81289,https://leetcode.com/problems/trapping-rain-water
73,Set Matrix Zeroes,Array,43.3%,Medium,12.158,https://leetcode.com/problems/set-matrix-zeroes
101,Symmetric Tree,"Tree, Depth-first Search, Breadth-first Search",47.1%,Easy,2.68379,https://leetcode.com/problems/symmetric-tree
121,Best Time to Buy and Sell Stock,"Array, Dynamic Programming",50.6%,Easy,1.58564,https://leetcode.com/problems/best-time-to-buy-and-sell-stock
127,Word Ladder,Breadth-first Search,29.9%,Medium,4.43516,https://leetcode.com/problems/word-ladder
139,Word Break,Dynamic Programming,40.3%,Medium,7.8261,https://leetcode.com/problems/word-break
140,Word Break II,"Dynamic Programming, Backtracking",32.9%,Hard,52.9951,https://leetcode.com/problems/word-break-ii
200,Number of Islands,"Depth-first Search, Breadth-first Search, Union Find",47.1%,Medium,8.40927,https://leetcode.com/problems/number-of-islands
472,Concatenated Words,"Dynamic Programming, Depth-first Search, Trie",44.1%,Hard,20.6134,https://leetcode.com/problems/concatenated-words
545,Boundary of Binary Tree,Tree,39.1%,Medium,67.6183,https://leetcode.com/problems/boundary-of-binary-tree
849,Maximize Distance to Closest Person,Array,42.6%,Easy,17.8132,https://leetcode.com/problems/maximize-distance-to-closest-person
937,Reorder Data in Log Files,String,54.2%,Easy,5.26664,https://leetcode.com/problems/reorder-data-in-log-files
1228,Missing Number In Arithmetic Progression,Math,52.4%,Easy,100.0,https://leetcode.com/problems/missing-number-in-arithmetic-progression
