Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
1,Two Sum,"Array, Hash Table",45.7%,Easy,8.76248,https://leetcode.com/problems/two-sum
2,Add Two Numbers,"Linked List, Math",34.1%,Medium,20.0553,https://leetcode.com/problems/add-two-numbers
3,Longest Substring Without Repeating Characters,"Hash Table, Two Pointers, String, Sliding Window",30.5%,Medium,7.81974,https://leetcode.com/problems/longest-substring-without-repeating-characters
4,Median of Two Sorted Arrays,"Array, Binary Search, Divide and Conquer",29.8%,Hard,2.20992,https://leetcode.com/problems/median-of-two-sorted-arrays
5,Longest Palindromic Substring,"String, Dynamic Programming",29.6%,Medium,5.25975,https://leetcode.com/problems/longest-palindromic-substring
6,ZigZag Conversion,String,36.6%,Medium,0.688453,https://leetcode.com/problems/zigzag-conversion
7,Reverse Integer,Math,25.8%,Easy,0.291819,https://leetcode.com/problems/reverse-integer
8,String to Integer (atoi),"Math, String",15.4%,Medium,1.85181,https://leetcode.com/problems/string-to-integer-atoi
9,Palindrome Number,Math,48.6%,Easy,0.750513,https://leetcode.com/problems/palindrome-number
10,Regular Expression Matching,"String, Dynamic Programming, Backtracking",26.9%,Hard,2.48404,https://leetcode.com/problems/regular-expression-matching
11,Container With Most Water,"Array, Two Pointers",51.1%,Medium,0.478538,https://leetcode.com/problems/container-with-most-water
12,Integer to Roman,"Math, String",55.3%,Medium,6.48292,https://leetcode.com/problems/integer-to-roman
13,Roman to Integer,"Math, String",55.9%,Easy,0.839609,https://leetcode.com/problems/roman-to-integer
14,Longest Common Prefix,String,35.5%,Easy,0.521353,https://leetcode.com/problems/longest-common-prefix
15,3Sum,"Array, Two Pointers",27.0%,Medium,3.62867,https://leetcode.com/problems/3sum
17,Letter Combinations of a Phone Number,"String, Backtracking",47.1%,Medium,0.170589,https://leetcode.com/problems/letter-combinations-of-a-phone-number
19,Remove Nth Node From End of List,"Linked List, Two Pointers",35.3%,Medium,0.298645,https://leetcode.com/problems/remove-nth-node-from-end-of-list
20,Valid Parentheses,"String, Stack",39.1%,Easy,7.63739,https://leetcode.com/problems/valid-parentheses
21,Merge Two Sorted Lists,Linked List,53.9%,Easy,3.95,https://leetcode.com/problems/merge-two-sorted-lists
22,Generate Parentheses,"String, Backtracking",63.1%,Medium,1.5429,https://leetcode.com/problems/generate-parentheses
23,Merge k Sorted Lists,"Linked List, Divide and Conquer, Heap",40.6%,Hard,6.58174,https://leetcode.com/problems/merge-k-sorted-lists
24,Swap Nodes in Pairs,Linked List,50.8%,Medium,0.569813,https://leetcode.com/problems/swap-nodes-in-pairs
26,Remove Duplicates from Sorted Array,"Array, Two Pointers",45.4%,Easy,0.166363,https://leetcode.com/problems/remove-duplicates-from-sorted-array
27,Remove Element,"Array, Two Pointers",48.4%,Easy,0.135165,https://leetcode.com/problems/remove-element
28,Implement strStr(),"Two Pointers, String",34.6%,Easy,0.154911,https://leetcode.com/problems/implement-strstr
29,Divide Two Integers,"Math, Binary Search",16.4%,Medium,0.593563,https://leetcode.com/problems/divide-two-integers
30,Substring with Concatenation of All Words,"Hash Table, Two Pointers, String",25.5%,Hard,0.968145,https://leetcode.com/problems/substring-with-concatenation-of-all-words
31,Next Permutation,Array,32.7%,Medium,2.73691,https://leetcode.com/problems/next-permutation
33,Search in Rotated Sorted Array,"Array, Binary Search",34.7%,Medium,6.00624,https://leetcode.com/problems/search-in-rotated-sorted-array
34,Find First and Last Position of Element in Sorted Array,"Array, Binary Search",36.3%,Medium,0.369738,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array
36,Valid Sudoku,Hash Table,49.1%,Medium,0.297495,https://leetcode.com/problems/valid-sudoku
39,Combination Sum,"Array, Backtracking",56.5%,Medium,0.234574,https://leetcode.com/problems/combination-sum
40,Combination Sum II,"Array, Backtracking",48.6%,Medium,0.914344,https://leetcode.com/problems/combination-sum-ii
41,First Missing Positive,Array,32.2%,Hard,4.18526,https://leetcode.com/problems/first-missing-positive
42,Trapping Rain Water,"Array, Two Pointers, Stack",49.2%,Hard,8.56588,https://leetcode.com/problems/trapping-rain-water
44,Wildcard Matching,"String, Dynamic Programming, Backtracking, Greedy",24.8%,Hard,1.1208,https://leetcode.com/problems/wildcard-matching
46,Permutations,Backtracking,64.0%,Medium,1.02562,https://leetcode.com/problems/permutations
47,Permutations II,Backtracking,46.8%,Medium,0.861509,https://leetcode.com/problems/permutations-ii
49,Group Anagrams,"Hash Table, String",57.3%,Medium,2.9991,https://leetcode.com/problems/group-anagrams
50,"Pow(x, n)","Math, Binary Search",30.5%,Medium,0.831805,https://leetcode.com/problems/powx-n
53,Maximum Subarray,"Array, Divide and Conquer, Dynamic Programming",46.7%,Easy,2.82975,https://leetcode.com/problems/maximum-subarray
54,Spiral Matrix,Array,34.3%,Medium,0.520282,https://leetcode.com/problems/spiral-matrix
55,Jump Game,"Array, Greedy",34.7%,Medium,0.462588,https://leetcode.com/problems/jump-game
56,Merge Intervals,"Array, Sort",39.5%,Medium,8.68629,https://leetcode.com/problems/merge-intervals
62,Unique Paths,"Array, Dynamic Programming",54.4%,Medium,0.192304,https://leetcode.com/problems/unique-paths
63,Unique Paths II,"Array, Dynamic Programming",34.7%,Medium,0.361328,https://leetcode.com/problems/unique-paths-ii
64,Minimum Path Sum,"Array, Dynamic Programming",54.8%,Medium,0.987416,https://leetcode.com/problems/minimum-path-sum
69,Sqrt(x),"Math, Binary Search",34.1%,Easy,1.26884,https://leetcode.com/problems/sqrtx
70,Climbing Stairs,Dynamic Programming,47.9%,Easy,0.265405,https://leetcode.com/problems/climbing-stairs
71,Simplify Path,"String, Stack",32.8%,Medium,1.56809,https://leetcode.com/problems/simplify-path
72,Edit Distance,"String, Dynamic Programming",45.1%,Hard,1.56698,https://leetcode.com/problems/edit-distance
74,Search a 2D Matrix,"Array, Binary Search",36.6%,Medium,0.33618,https://leetcode.com/problems/search-a-2d-matrix
