Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
1,Two Sum,"Array, Hash Table",45.7%,Easy,3.92971,https://leetcode.com/problems/two-sum
2,Add Two Numbers,"Linked List, Math",34.1%,Medium,1.3267,https://leetcode.com/problems/add-two-numbers
3,Longest Substring Without Repeating Characters,"Hash Table, Two Pointers, String, Sliding Window",30.5%,Medium,16.1669,https://leetcode.com/problems/longest-substring-without-repeating-characters
4,Median of Two Sorted Arrays,"Array, Binary Search, Divide and Conquer",29.8%,Hard,2.82878,https://leetcode.com/problems/median-of-two-sorted-arrays
10,Regular Expression Matching,"String, Dynamic Programming, Backtracking",26.9%,Hard,1.42178,https://leetcode.com/problems/regular-expression-matching
11,Container With Most Water,"Array, Two Pointers",51.1%,Medium,3.74902,https://leetcode.com/problems/container-with-most-water
15,3Sum,"Array, Two Pointers",27.0%,Medium,1.00899,https://leetcode.com/problems/3sum
19,Remove Nth Node From End of List,"Linked List, Two Pointers",35.3%,Medium,1.50177,https://leetcode.com/problems/remove-nth-node-from-end-of-list
21,Merge Two Sorted Lists,Linked List,53.9%,Easy,5.12832,https://leetcode.com/problems/merge-two-sorted-lists
22,Generate Parentheses,"String, Backtracking",63.1%,Medium,3.48053,https://leetcode.com/problems/generate-parentheses
23,Merge k Sorted Lists,"Linked List, Divide and Conquer, Heap",40.6%,Hard,16.4561,https://leetcode.com/problems/merge-k-sorted-lists
25,Reverse Nodes in k-Group,Linked List,42.5%,Hard,84.3539,https://leetcode.com/problems/reverse-nodes-in-k-group
31,Next Permutation,Array,32.7%,Medium,17.817,https://leetcode.com/problems/next-permutation
33,Search in Rotated Sorted Array,"Array, Binary Search",34.7%,Medium,26.2699,https://leetcode.com/problems/search-in-rotated-sorted-array
34,Find First and Last Position of Element in Sorted Array,"Array, Binary Search",36.3%,Medium,3.29508,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array
41,First Missing Positive,Array,32.2%,Hard,5.44418,https://leetcode.com/problems/first-missing-positive
42,Trapping Rain Water,"Array, Two Pointers, Stack",49.2%,Hard,53.2825,https://leetcode.com/problems/trapping-rain-water
44,Wildcard Matching,"String, Dynamic Programming, Backtracking, Greedy",24.8%,Hard,5.63608,https://leetcode.com/problems/wildcard-matching
46,Permutations,Backtracking,64.0%,Medium,3.31401,https://leetcode.com/problems/permutations
51,N-Queens,Backtracking,47.1%,Hard,13.6278,https://leetcode.com/problems/n-queens
53,Maximum Subarray,"Array, Divide and Conquer, Dynamic Programming",46.7%,Easy,3.64054,https://leetcode.com/problems/maximum-subarray
54,Spiral Matrix,Array,34.3%,Medium,7.19548,https://leetcode.com/problems/spiral-matrix
55,Jump Game,"Array, Greedy",34.7%,Medium,2.32618,https://leetcode.com/problems/jump-game
56,Merge Intervals,"Array, Sort",39.5%,Medium,4.12279,https://leetcode.com/problems/merge-intervals
68,Text Justification,String,28.0%,Hard,6.17441,https://leetcode.com/problems/text-justification
71,Simplify Path,"String, Stack",32.8%,Medium,7.88532,https://leetcode.com/problems/simplify-path
72,Edit Distance,"String, Dynamic Programming",45.1%,Hard,12.1966,https://leetcode.com/problems/edit-distance
76,Minimum Window Substring,"Hash Table, Two Pointers, String, Sliding Window",34.9%,Hard,2.76946,https://leetcode.com/problems/minimum-window-substring
78,Subsets,"Array, Backtracking, Bit Manipulation",62.5%,Medium,6.18086,https://leetcode.com/problems/subsets
