Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
15,3Sum,"Array, Two Pointers",27.0%,Medium,0.541357,https://leetcode.com/problems/3sum
20,Valid Parentheses,"String, Stack",39.1%,Easy,2.71641,https://leetcode.com/problems/valid-parentheses
28,Implement strStr(),"Two Pointers, String",34.6%,Easy,0.417953,https://leetcode.com/problems/implement-strstr
32,Longest Valid Parentheses,"String, Dynamic Programming",28.5%,Hard,5.85103,https://leetcode.com/problems/longest-valid-parentheses
42,Trapping Rain Water,"Array, Two Pointers, Stack",49.2%,Hard,1.57795,https://leetcode.com/problems/trapping-rain-water
70,Climbing Stairs,Dynamic Programming,47.9%,Easy,0.318765,https://leetcode.com/problems/climbing-stairs
85,Maximal Rectangle,"Array, Hash Table, Dynamic Programming, Stack",38.0%,Hard,1.39819,https://leetcode.com/problems/maximal-rectangle
121,Best Time to Buy and Sell Stock,"Array, Dynamic Programming",50.6%,Easy,0.502174,https://leetcode.com/problems/best-time-to-buy-and-sell-stock
146,LRU Cache,Design,33.5%,Medium,1.11062,https://leetcode.com/problems/lru-cache
200,Number of Islands,"Depth-first Search, Breadth-first Search, Union Find",47.1%,Medium,0.667951,https://leetcode.com/problems/number-of-islands
212,Word Search II,"Backtracking, Trie",35.1%,Hard,0.993052,https://leetcode.com/problems/word-search-ii
221,Maximal Square,Dynamic Programming,37.8%,Medium,2.4724,https://leetcode.com/problems/maximal-square
225,Implement Stack using Queues,"Stack, Design",45.7%,Easy,1.38878,https://leetcode.com/problems/implement-stack-using-queues
232,Implement Queue using Stacks,"Stack, Design",50.1%,Easy,0.984563,https://leetcode.com/problems/implement-queue-using-stacks
239,Sliding Window Maximum,"Heap, Sliding Window",43.4%,Hard,1.68169,https://leetcode.com/problems/sliding-window-maximum
240,Search a 2D Matrix II,"Binary Search, Divide and Conquer",43.3%,Medium,0.786835,https://leetcode.com/problems/search-a-2d-matrix-ii
241,Different Ways to Add Parentheses,Divide and Conquer,55.5%,Medium,16.3681,https://leetcode.com/problems/different-ways-to-add-parentheses
253,Meeting Rooms II,"Heap, Greedy, Sort",45.8%,Medium,0.784591,https://leetcode.com/problems/meeting-rooms-ii
285,Inorder Successor in BST,Tree,40.8%,Medium,19.3172,https://leetcode.com/problems/inorder-successor-in-bst
295,Find Median from Data Stream,"Heap, Design",44.8%,Hard,1.02258,https://leetcode.com/problems/find-median-from-data-stream
297,Serialize and Deserialize Binary Tree,"Tree, Design",47.8%,Hard,0.768997,https://leetcode.com/problems/serialize-and-deserialize-binary-tree
332,Reconstruct Itinerary,"Depth-first Search, Graph",36.9%,Medium,3.54888,https://leetcode.com/problems/reconstruct-itinerary
340,Longest Substring with At Most K Distinct Characters,"Hash Table, String, Sliding Window",44.3%,Hard,1.73708,https://leetcode.com/problems/longest-substring-with-at-most-k-distinct-characters
628,Maximum Product of Three Numbers,"Array, Math",47.1%,Easy,1.96213,https://leetcode.com/problems/maximum-product-of-three-numbers
647,Palindromic Substrings,"String, Dynamic Programming",60.9%,Medium,12.0225,https://leetcode.com/problems/palindromic-substrings
724,Find Pivot Index,Array,44.2%,Easy,1.26175,https://leetcode.com/problems/find-pivot-index
829,Consecutive Numbers Sum,Math,38.1%,Hard,100.0,https://leetcode.com/problems/consecutive-numbers-sum
935,Knight Dialer,Dynamic Programming,45.3%,Medium,4.51081,https://leetcode.com/problems/knight-dialer
1048,Longest String Chain,"Hash Table, Dynamic Programming",54.8%,Medium,59.6586,https://leetcode.com/problems/longest-string-chain
