Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
1,Two Sum,"Array, Hash Table",45.7%,Easy,5.95252,https://leetcode.com/problems/two-sum
2,Add Two Numbers,"Linked List, Math",34.1%,Medium,2.44833,https://leetcode.com/problems/add-two-numbers
3,Longest Substring Without Repeating Characters,"Hash Table, Two Pointers, String, Sliding Window",30.5%,Medium,3.69087,https://leetcode.com/problems/longest-substring-without-repeating-characters
4,Median of Two Sorted Arrays,"Array, Binary Search, Divide and Conquer",29.8%,Hard,1.13363,https://leetcode.com/problems/median-of-two-sorted-arrays
5,Longest Palindromic Substring,"String, Dynamic Programming",29.6%,Medium,1.56154,https://leetcode.com/problems/longest-palindromic-substring
6,ZigZag Conversion,String,36.6%,Medium,0.277286,https://leetcode.com/problems/zigzag-conversion
7,Reverse Integer,Math,25.8%,Easy,0.801294,https://leetcode.com/problems/reverse-integer
8,String to Integer (atoi),"Math, String",15.4%,Medium,9.97296,https://leetcode.com/problems/string-to-integer-atoi
10,Regular Expression Matching,"String, Dynamic Programming, Backtracking",26.9%,Hard,8.31959,https://leetcode.com/problems/regular-expression-matching
11,Container With Most Water,"Array, Two Pointers",51.1%,Medium,1.70107,https://leetcode.com/problems/container-with-most-water
13,Roman to Integer,"Math, String",55.9%,Easy,0.486532,https://leetcode.com/problems/roman-to-integer
14,Longest Common Prefix,String,35.5%,Easy,1.05121,https://leetcode.com/problems/longest-common-prefix
15,3Sum,"Array, Two Pointers",27.0%,Medium,4.8647,https://leetcode.com/problems/3sum
16,3Sum Closest,"Array, Two Pointers",46.0%,Medium,1.69636,https://leetcode.com/problems/3sum-closest
17,Letter Combinations of a Phone Number,"String, Backtracking",47.1%,Medium,0.15395,https://leetcode.com/problems/letter-combinations-of-a-phone-number
19,Remove Nth Node From End of List,"Linked List, Two Pointers",35.3%,Medium,3.48452,https://leetcode.com/problems/remove-nth-node-from-end-of-list
20,Valid Parentheses,"String, Stack",39.1%,Easy,1.8336,https://leetcode.com/problems/valid-parentheses
