Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
1,Two Sum,"Array, Hash Table",45.7%,Easy,33.7758,https://leetcode.com/problems/two-sum
3,Longest Substring Without Repeating Characters,"Hash Table, Two Pointers, String, Sliding Window",30.5%,Medium,4.55082,https://leetcode.com/problems/longest-substring-without-repeating-characters
4,Median of Two Sorted Arrays,"Array, Binary Search, Divide and Conquer",29.8%,Hard,74.6629,https://leetcode.com/problems/median-of-two-sorted-arrays
5,Longest Palindromic Substring,"String, Dynamic Programming",29.6%,Medium,4.8925,https://leetcode.com/problems/longest-palindromic-substring
8,String to Integer (atoi),"Math, String",15.4%,Medium,28.1754,https://leetcode.com/problems/string-to-integer-atoi
10,Regular Expression Matching,"String, Dynamic Programming, Backtracking",26.9%,Hard,4.91635,https://leetcode.com/problems/regular-expression-matching
11,Container With Most Water,"Array, Two Pointers",51.1%,Medium,28.8959,https://leetcode.com/problems/container-with-most-water
13,Roman to Integer,"Math, String",55.9%,Easy,1.98826,https://leetcode.com/problems/roman-to-integer
15,3Sum,"Array, Two Pointers",27.0%,Medium,1.62679,https://leetcode.com/problems/3sum
16,3Sum Closest,"Array, Two Pointers",46.0%,Medium,0.903646,https://leetcode.com/problems/3sum-closest
17,Letter Combinations of a Phone Number,"String, Backtracking",47.1%,Medium,0.506005,https://leetcode.com/problems/letter-combinations-of-a-phone-number
19,Remove Nth Node From End of List,"Linked List, Two Pointers",35.3%,Medium,1.55298,https://leetcode.com/problems/remove-nth-node-from-end-of-list
20,Valid Parentheses,"String, Stack",39.1%,Easy,1.23231,https://leetcode.com/problems/valid-parentheses
23,Merge k Sorted Lists,"Linked List, Divide and Conquer, Heap",40.6%,Hard,0.771889,https://leetcode.com/problems/merge-k-sorted-lists
33,Search in Rotated Sorted Array,"Array, Binary Search",34.7%,Medium,13.4681,https://leetcode.com/problems/search-in-rotated-sorted-array
39,Combination Sum,"Array, Backtracking",56.5%,Medium,0.694364,https://leetcode.com/problems/combination-sum
42,Trapping Rain Water,"Array, Two Pointers, Stack",49.2%,Hard,100.0,https://leetcode.com/problems/trapping-rain-water
44,Wildcard Matching,"String, Dynamic Programming, Backtracking, Greedy",24.8%,Hard,21.7843,https://leetcode.com/problems/wildcard-matching
46,Permutations,Backtracking,64.0%,Medium,2.96162,https://leetcode.com/problems/permutations
49,Group Anagrams,"Hash Table, String",57.3%,Medium,50.8164,https://leetcode.com/problems/group-anagrams
50,"Pow(x, n)","Math, Binary Search",30.5%,Medium,3.70405,https://leetcode.com/problems/powx-n
53,Maximum Subarray,"Array, Divide and Conquer, Dynamic Programming",46.7%,Easy,11.4533,https://leetcode.com/problems/maximum-subarray
54,Spiral Matrix,Array,34.3%,Medium,10.6758,https://leetcode.com/problems/spiral-matrix
56,Merge Intervals,"Array, Sort",39.5%,Medium,5.79663,https://leetcode.com/problems/merge-intervals
59,Spiral Matrix II,Array,54.3%,Medium,0.995743,https://leetcode.com/problems/spiral-matrix-ii
62,Unique Paths,"Array, Dynamic Programming",54.4%,Medium,4.09211,https://leetcode.com/problems/unique-paths
64,Minimum Path Sum,"Array, Dynamic Programming",54.8%,Medium,21.0438,https://leetcode.com/problems/minimum-path-sum
69,Sqrt(x),"Math, Binary Search",34.1%,Easy,0.608538,https://leetcode.com/problems/sqrtx
70,Climbing Stairs,Dynamic Programming,47.9%,Easy,67.5002,https://leetcode.com/problems/climbing-stairs
72,Edit Distance,"String, Dynamic Programming",45.1%,Hard,3.4593,https://leetcode.com/problems/edit-distance
75,Sort Colors,"Array, Two Pointers, Sort",47.6%,Medium,0.597317,https://leetcode.com/problems/sort-colors
76,Minimum Window Substring,"Hash Table, Two Pointers, String, Sliding Window",34.9%,Hard,2.81861,https://leetcode.com/problems/minimum-window-substring
78,Subsets,"Array, Backtracking, Bit Manipulation",62.5%,Medium,3.52747,https://leetcode.com/problems/subsets
82,Remove Duplicates from Sorted List II,Linked List,37.1%,Medium,0.392862,https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii
83,Remove Duplicates from Sorted List,Linked List,45.6%,Easy,1.14697,https://leetcode.com/problems/remove-duplicates-from-sorted-list
88,Merge Sorted Array,"Array, Two Pointers",39.6%,Easy,0.774535,https://leetcode.com/problems/merge-sorted-array
91,Decode Ways,"String, Dynamic Programming",24.9%,Medium,13.9322,https://leetcode.com/problems/decode-ways
98,Validate Binary Search Tree,"Tree, Depth-first Search",27.9%,Medium,0.775901,https://leetcode.com/problems/validate-binary-search-tree
99,Recover Binary Search Tree,"Tree, Depth-first Search",40.0%,Hard,1.46881,https://leetcode.com/problems/recover-binary-search-tree
104,Maximum Depth of Binary Tree,"Tree, Depth-first Search",66.3%,Easy,2.01815,https://leetcode.com/problems/maximum-depth-of-binary-tree
118,Pascal's Triangle,Array,52.9%,Easy,3.09701,https://leetcode.com/problems/pascals-triangle
119,Pascal's Triangle II,Array,50.9%,Easy,7.84291,https://leetcode.com/problems/pascals-triangle-ii
120,Triangle,"Array, Dynamic Programming",44.4%,Medium,1.61245,https://leetcode.com/problems/triangle
121,Best Time to Buy and Sell Stock,"Array, Dynamic Programming",50.6%,Easy,42.601,https://leetcode.com/problems/best-time-to-buy-and-sell-stock
122,Best Time to Buy and Sell Stock II,"Array, Greedy",57.2%,Easy,10.2262,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii
141,Linked List Cycle,"Linked List, Two Pointers",41.4%,Easy,8.36931,https://leetcode.com/problems/linked-list-cycle
142,Linked List Cycle II,"Linked List, Two Pointers",37.6%,Medium,5.6934,https://leetcode.com/problems/linked-list-cycle-ii
146,LRU Cache,Design,33.5%,Medium,19.8254,https://leetcode.com/problems/lru-cache
153,Find Minimum in Rotated Sorted Array,"Array, Binary Search",45.2%,Medium,24.5317,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array
155,Min Stack,"Stack, Design",44.8%,Easy,4.59263,https://leetcode.com/problems/min-stack
160,Intersection of Two Linked Lists,Linked List,41.1%,Easy,0.562288,https://leetcode.com/problems/intersection-of-two-linked-lists
166,Fraction to Recurring Decimal,"Hash Table, Math",21.7%,Medium,65.3136,https://leetcode.com/problems/fraction-to-recurring-decimal
167,Two Sum II - Input array is sorted,"Array, Two Pointers, Binary Search",54.3%,Easy,1.41303,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted
189,Rotate Array,Array,35.0%,Easy,0.741319,https://leetcode.com/problems/rotate-array
198,House Robber,Dynamic Programming,42.1%,Easy,0.959594,https://leetcode.com/problems/house-robber
200,Number of Islands,"Depth-first Search, Breadth-first Search, Union Find",47.1%,Medium,10.9135,https://leetcode.com/problems/number-of-islands
204,Count Primes,"Hash Table, Math",31.6%,Easy,1.31039,https://leetcode.com/problems/count-primes
206,Reverse Linked List,Linked List,63.0%,Easy,4.8558,https://leetcode.com/problems/reverse-linked-list
207,Course Schedule,"Depth-first Search, Breadth-first Search, Graph, Topological Sort",43.3%,Medium,0.627079,https://leetcode.com/problems/course-schedule
209,Minimum Size Subarray Sum,"Array, Two Pointers, Binary Search",38.4%,Medium,87.8441,https://leetcode.com/problems/minimum-size-subarray-sum
215,Kth Largest Element in an Array,"Divide and Conquer, Heap",55.8%,Medium,9.99305,https://leetcode.com/problems/kth-largest-element-in-an-array
218,The Skyline Problem,"Divide and Conquer, Heap, Binary Indexed Tree, Segment Tree, Line Sweep",34.7%,Hard,10.9169,https://leetcode.com/problems/the-skyline-problem
237,Delete Node in a Linked List,Linked List,64.4%,Easy,0.927071,https://leetcode.com/problems/delete-node-in-a-linked-list
238,Product of Array Except Self,Array,60.3%,Medium,48.6834,https://leetcode.com/problems/product-of-array-except-self
240,Search a 2D Matrix II,"Binary Search, Divide and Conquer",43.3%,Medium,7.0702,https://leetcode.com/problems/search-a-2d-matrix-ii
242,Valid Anagram,"Hash Table, Sort",57.1%,Easy,4.24697,https://leetcode.com/problems/valid-anagram
253,Meeting Rooms II,"Heap, Greedy, Sort",45.8%,Medium,0.485982,https://leetcode.com/problems/meeting-rooms-ii
283,Move Zeroes,"Array, Two Pointers",58.0%,Easy,1.3108,https://leetcode.com/problems/move-zeroes
289,Game of Life,Array,54.9%,Medium,78.4658,https://leetcode.com/problems/game-of-life
295,Find Median from Data Stream,"Heap, Design",44.8%,Hard,4.26362,https://leetcode.com/problems/find-median-from-data-stream
309,Best Time to Buy and Sell Stock with Cooldown,Dynamic Programming,47.5%,Medium,0.478915,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-cooldown
317,Shortest Distance from All Buildings,Breadth-first Search,41.7%,Hard,1.15126,https://leetcode.com/problems/shortest-distance-from-all-buildings
322,Coin Change,Dynamic Programming,35.8%,Medium,16.2761,https://leetcode.com/problems/coin-change
