Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
1,Two Sum,"Array, Hash Table",45.7%,Easy,2.1272,https://leetcode.com/problems/two-sum
2,Add Two Numbers,"Linked List, Math",34.1%,Medium,4.46154,https://leetcode.com/problems/add-two-numbers
3,Longest Substring Without Repeating Characters,"Hash Table, Two Pointers, String, Sliding Window",30.5%,Medium,8.9783,https://leetcode.com/problems/longest-substring-without-repeating-characters
5,Longest Palindromic Substring,"String, Dynamic Programming",29.6%,Medium,5.87196,https://leetcode.com/problems/longest-palindromic-substring
45,Jump Game II,"Array, Greedy",30.7%,Hard,25.7521,https://leetcode.com/problems/jump-game-ii
54,Spiral Matrix,Array,34.3%,Medium,15.6569,https://leetcode.com/problems/spiral-matrix
69,Sqrt(x),"Math, Binary Search",34.1%,Easy,13.8629,https://leetcode.com/problems/sqrtx
70,Climbing Stairs,Dynamic Programming,47.9%,Easy,7.97455,https://leetcode.com/problems/climbing-stairs
84,Largest Rectangle in Histogram,"Array, Stack",35.5%,Hard,18.9671,https://leetcode.com/problems/largest-rectangle-in-histogram
91,Decode Ways,"String, Dynamic Programming",24.9%,Medium,12.8373,https://leetcode.com/problems/decode-ways
221,Maximal Square,Dynamic Programming,37.8%,Medium,78.187,https://leetcode.com/problems/maximal-square
355,Design Twitter,"Hash Table, Heap, Design",30.4%,Medium,100.0,https://leetcode.com/problems/design-twitter
617,Merge Two Binary Trees,Tree,74.3%,Easy,51.9696,https://leetcode.com/problems/merge-two-binary-trees
