Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
1,Two Sum,"Array, Hash Table",45.7%,Easy,78.0242,https://leetcode.com/problems/two-sum
2,Add Two Numbers,"Linked List, Math",34.1%,Medium,6.86294,https://leetcode.com/problems/add-two-numbers
3,Longest Substring Without Repeating Characters,"Hash Table, Two Pointers, String, Sliding Window",30.5%,Medium,40.6137,https://leetcode.com/problems/longest-substring-without-repeating-characters
4,Median of Two Sorted Arrays,"Array, Binary Search, Divide and Conquer",29.8%,Hard,9.38026,https://leetcode.com/problems/median-of-two-sorted-arrays
5,Longest Palindromic Substring,"String, Dynamic Programming",29.6%,Medium,12.958,https://leetcode.com/problems/longest-palindromic-substring
21,Merge Two Sorted Lists,Linked List,53.9%,Easy,1.40247,https://leetcode.com/problems/merge-two-sorted-lists
42,Trapping Rain Water,"Array, Two Pointers, Stack",49.2%,Hard,5.50099,https://leetcode.com/problems/trapping-rain-water
43,Multiply Strings,"Math, String",34.1%,Medium,56.0484,https://leetcode.com/problems/multiply-strings
45,Jump Game II,"Array, Greedy",30.7%,Hard,55.439,https://leetcode.com/problems/jump-game-ii
54,Spiral Matrix,Array,34.3%,Medium,3.868,https://leetcode.com/problems/spiral-matrix
69,Sqrt(x),"Math, Binary Search",34.1%,Easy,7.68436,https://leetcode.com/problems/sqrtx
70,Climbing Stairs,Dynamic Programming,47.9%,Easy,12.2307,https://leetcode.com/problems/climbing-stairs
84,Largest Rectangle in Histogram,"Array, Stack",35.5%,Hard,4.68578,https://leetcode.com/problems/largest-rectangle-in-histogram
91,Decode Ways,"String, Dynamic Programming",24.9%,Medium,7.11732,https://leetcode.com/problems/decode-ways
151,Reverse Words in a String,String,22.1%,Medium,13.6997,https://leetcode.com/problems/reverse-words-in-a-string
221,Maximal Square,Dynamic Programming,37.8%,Medium,100.0,https://leetcode.com/problems/maximal-square
355,Design Twitter,"Hash Table, Heap, Design",30.4%,Medium,47.1032,https://leetcode.com/problems/design-twitter
387,First Unique Character in a String,"Hash Table, String",53.4%,Easy,11.4198,https://leetcode.com/problems/first-unique-character-in-a-string
394,Decode String,"Stack, Depth-first Search",50.4%,Medium,28.3813,https://leetcode.com/problems/decode-string
617,Merge Two Binary Trees,Tree,74.3%,Easy,12.839,https://leetcode.com/problems/merge-two-binary-trees
