Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
15,3Sum,"Array, Two Pointers",27.0%,Medium,3.84155,https://leetcode.com/problems/3sum
26,Remove Duplicates from Sorted Array,"Array, Two Pointers",45.4%,Easy,3.18446,https://leetcode.com/problems/remove-duplicates-from-sorted-array
49,Group Anagrams,"Hash Table, String",57.3%,Medium,14.7611,https://leetcode.com/problems/group-anagrams
54,Spiral Matrix,Array,34.3%,Medium,22.3853,https://leetcode.com/problems/spiral-matrix
139,Word Break,Dynamic Programming,40.3%,Medium,7.83556,https://leetcode.com/problems/word-break
200,Number of Islands,"Depth-first Search, Breadth-first Search, Union Find",47.1%,Medium,18.897,https://leetcode.com/problems/number-of-islands
230,Kth Smallest Element in a BST,"Binary Search, Tree",60.6%,Medium,11.0686,https://leetcode.com/problems/kth-smallest-element-in-a-bst
326,Power of Three,Math,42.1%,Easy,100.0,https://leetcode.com/problems/power-of-three
347,Top K Frequent Elements,"Hash Table, Heap",61.4%,Medium,9.60062,https://leetcode.com/problems/top-k-frequent-elements
394,Decode String,"Stack, Depth-first Search",50.4%,Medium,26.677,https://leetcode.com/problems/decode-string
863,All Nodes Distance K in Binary Tree,"Tree, Depth-first Search, Breadth-first Search",55.8%,Medium,25.8682,https://leetcode.com/problems/all-nodes-distance-k-in-binary-tree
907,Sum of Subarray Minimums,"Array, Stack",32.7%,Medium,52.6528,https://leetcode.com/problems/sum-of-subarray-minimums
909,Snakes and Ladders,Breadth-first Search,38.8%,Medium,74.0242,https://leetcode.com/problems/snakes-and-ladders
