Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
1,Two Sum,"Array, Hash Table",45.7%,Easy,77.3403,https://leetcode.com/problems/two-sum
2,Add Two Numbers,"Linked List, Math",34.1%,Medium,42.5267,https://leetcode.com/problems/add-two-numbers
3,Longest Substring Without Repeating Characters,"Hash Table, Two Pointers, String, Sliding Window",30.5%,Medium,21.3792,https://leetcode.com/problems/longest-substring-without-repeating-characters
4,Median of Two Sorted Arrays,"Array, Binary Search, Divide and Conquer",29.8%,Hard,26.766,https://leetcode.com/problems/median-of-two-sorted-arrays
5,Longest Palindromic Substring,"String, Dynamic Programming",29.6%,Medium,57.8152,https://leetcode.com/problems/longest-palindromic-substring
6,ZigZag Conversion,String,36.6%,Medium,1.42025,https://leetcode.com/problems/zigzag-conversion
7,Reverse Integer,Math,25.8%,Easy,2.99006,https://leetcode.com/problems/reverse-integer
8,String to Integer (atoi),"Math, String",15.4%,Medium,42.557,https://leetcode.com/problems/string-to-integer-atoi
9,Palindrome Number,Math,48.6%,Easy,0.875953,https://leetcode.com/problems/palindrome-number
10,Regular Expression Matching,"String, Dynamic Programming, Backtracking",26.9%,Hard,34.0935,https://leetcode.com/problems/regular-expression-matching
11,Container With Most Water,"Array, Two Pointers",51.1%,Medium,2.76945,https://leetcode.com/problems/container-with-most-water
12,Integer to Roman,"Math, String",55.3%,Medium,3.49542,https://leetcode.com/problems/integer-to-roman
13,Roman to Integer,"Math, String",55.9%,Easy,21.6909,https://leetcode.com/problems/roman-to-integer
14,Longest Common Prefix,String,35.5%,Easy,1.35951,https://leetcode.com/problems/longest-common-prefix
15,3Sum,"Array, Two Pointers",27.0%,Medium,17.3173,https://leetcode.com/problems/3sum
16,3Sum Closest,"Array, Two Pointers",46.0%,Medium,0.800185,https://leetcode.com/problems/3sum-closest
17,Letter Combinations of a Phone Number,"String, Backtracking",47.1%,Medium,27.7464,https://leetcode.com/problems/letter-combinations-of-a-phone-number
18,4Sum,"Array, Hash Table, Two Pointers",33.8%,Medium,1.90364,https://leetcode.com/problems/4sum
19,Remove Nth Node From End of List,"Linked List, Two Pointers",35.3%,Medium,10.1944,https://leetcode.com/problems/remove-nth-node-from-end-of-list
20,Valid Parentheses,"String, Stack",39.1%,Easy,26.9411,https://leetcode.com/problems/valid-parentheses
21,Merge Two Sorted Lists,Linked List,53.9%,Easy,34.0346,https://leetcode.com/problems/merge-two-sorted-lists
22,Generate Parentheses,"String, Backtracking",63.1%,Medium,44.617,https://leetcode.com/problems/generate-parentheses
23,Merge k Sorted Lists,"Linked List, Divide and Conquer, Heap",40.6%,Hard,49.7991,https://leetcode.com/problems/merge-k-sorted-lists
24,Swap Nodes in Pairs,Linked List,50.8%,Medium,31.4708,https://leetcode.com/problems/swap-nodes-in-pairs
25,Reverse Nodes in k-Group,Linked List,42.5%,Hard,52.0239,https://leetcode.com/problems/reverse-nodes-in-k-group
26,Remove Duplicates from Sorted Array,"Array, Two Pointers",45.4%,Easy,6.5813,https://leetcode.com/problems/remove-duplicates-from-sorted-array
27,Remove Element,"Array, Two Pointers",48.4%,Easy,0.157756,https://leetcode.com/problems/remove-element
28,Implement strStr(),"Two Pointers, String",34.6%,Easy,8.21136,https://leetcode.com/problems/implement-strstr
29,Divide Two Integers,"Math, Binary Search",16.4%,Medium,1.90266,https://leetcode.com/problems/divide-two-integers
30,Substring with Concatenation of All Words,"Hash Table, Two Pointers, String",25.5%,Hard,6.70014,https://leetcode.com/problems/substring-with-concatenation-of-all-words
31,Next Permutation,Array,32.7%,Medium,13.3134,https://leetcode.com/problems/next-permutation
32,Longest Valid Parentheses,"String, Dynamic Programming",28.5%,Hard,7.80088,https://leetcode.com/problems/longest-valid-parentheses
33,Search in Rotated Sorted Array,"Array, Binary Search",34.7%,Medium,36.4971,https://leetcode.com/problems/search-in-rotated-sorted-array
34,Find First and Last Position of Element in Sorted Array,"Array, Binary Search",36.3%,Medium,2.99573,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array
35,Search Insert Position,"Array, Binary Search",42.7%,Easy,0.496269,https://leetcode.com/problems/search-insert-position
36,Valid Sudoku,Hash Table,49.1%,Medium,26.8337,https://leetcode.com/problems/valid-sudoku
37,Sudoku Solver,"Hash Table, Backtracking",44.0%,Hard,24.9733,https://leetcode.com/problems/sudoku-solver
38,Count and Say,String,44.9%,Easy,5.74804,https://leetcode.com/problems/count-and-say
39,Combination Sum,"Array, Backtracking",56.5%,Medium,13.5665,https://leetcode.com/problems/combination-sum
40,Combination Sum II,"Array, Backtracking",48.6%,Medium,5.5686,https://leetcode.com/problems/combination-sum-ii
41,First Missing Positive,Array,32.2%,Hard,23.0783,https://leetcode.com/problems/first-missing-positive
42,Trapping Rain Water,"Array, Two Pointers, Stack",49.2%,Hard,58.9139,https://leetcode.com/problems/trapping-rain-water
43,Multiply Strings,"Math, String",34.1%,Medium,16.3408,https://leetcode.com/problems/multiply-strings
44,Wildcard Matching,"String, Dynamic Programming, Backtracking, Greedy",24.8%,Hard,28.5232,https://leetcode.com/problems/wildcard-matching
45,Jump Game II,"Array, Greedy",30.7%,Hard,16.1818,https://leetcode.com/problems/jump-game-ii
46,Permutations,Backtracking,64.0%,Medium,25.5446,https://leetcode.com/problems/permutations
47,Permutations II,Backtracking,46.8%,Medium,0.449221,https://leetcode.com/problems/permutations-ii
48,Rotate Image,Array,57.3%,Medium,31.4443,https://leetcode.com/problems/rotate-image
49,Group Anagrams,"Hash Table, String",57.3%,Medium,22.4654,https://leetcode.com/problems/group-anagrams
50,"Pow(x, n)","Math, Binary Search",30.5%,Medium,3.782,https://leetcode.com/problems/powx-n
51,N-Queens,Backtracking,47.1%,Hard,9.15035,https://leetcode.com/problems/n-queens
53,Maximum Subarray,"Array, Divide and Conquer, Dynamic Programming",46.7%,Easy,44.3298,https://leetcode.com/problems/maximum-subarray
54,Spiral Matrix,Array,34.3%,Medium,73.4175,https://leetcode.com/problems/spiral-matrix
55,Jump Game,"Array, Greedy",34.7%,Medium,5.7134,https://leetcode.com/problems/jump-game
56,Merge Intervals,"Array, Sort",39.5%,Medium,19.9253,https://leetcode.com/problems/merge-intervals
57,Insert Interval,"Array, Sort",33.7%,Hard,2.27216,https://leetcode.com/problems/insert-interval
59,Spiral Matrix II,Array,54.3%,Medium,12.6217,https://leetcode.com/problems/spiral-matrix-ii
60,Permutation Sequence,"Math, Backtracking",38.6%,Hard,1.34829,https://leetcode.com/problems/permutation-sequence
61,Rotate List,"Linked List, Two Pointers",30.2%,Medium,10.4714,https://leetcode.com/problems/rotate-list
62,Unique Paths,"Array, Dynamic Programming",54.4%,Medium,2.68669,https://leetcode.com/problems/unique-paths
63,Unique Paths II,"Array, Dynamic Programming",34.7%,Medium,6.37875,https://leetcode.com/problems/unique-paths-ii
64,Minimum Path Sum,"Array, Dynamic Programming",54.8%,Medium,4.46809,https://leetcode.com/problems/minimum-path-sum
65,Valid Number,"Math, String",15.4%,Hard,2.52415,https://leetcode.com/problems/valid-number
67,Add Binary,"Math, String",45.5%,Easy,0.646411,https://leetcode.com/problems/add-binary
68,Text Justification,String,28.0%,Hard,15.3623,https://leetcode.com/problems/text-justification
