Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
1,Two Sum,"Array, Hash Table",45.7%,Easy,21.5661,https://leetcode.com/problems/two-sum
2,Add Two Numbers,"Linked List, Math",34.1%,Medium,17.1859,https://leetcode.com/problems/add-two-numbers
8,String to Integer (atoi),"Math, String",15.4%,Medium,10.0671,https://leetcode.com/problems/string-to-integer-atoi
22,Generate Parentheses,"String, Backtracking",63.1%,Medium,11.3683,https://leetcode.com/problems/generate-parentheses
23,Merge k Sorted Lists,"Linked List, Divide and Conquer, Heap",40.6%,Hard,10.9254,https://leetcode.com/problems/merge-k-sorted-lists
33,Search in Rotated Sorted Array,"Array, Binary Search",34.7%,Medium,85.8039,https://leetcode.com/problems/search-in-rotated-sorted-array
48,Rotate Image,Array,57.3%,Medium,47.6102,https://leetcode.com/problems/rotate-image
64,Minimum Path Sum,"Array, Dynamic Programming",54.8%,Medium,16.218,https://leetcode.com/problems/minimum-path-sum
70,Climbing Stairs,Dynamic Programming,47.9%,Easy,38.3538,https://leetcode.com/problems/climbing-stairs
97,Interleaving String,"String, Dynamic Programming",31.7%,Hard,14.4878,https://leetcode.com/problems/interleaving-string
114,Flatten Binary Tree to Linked List,"Tree, Depth-first Search",49.7%,Medium,12.8646,https://leetcode.com/problems/flatten-binary-tree-to-linked-list
146,LRU Cache,Design,33.5%,Medium,58.7711,https://leetcode.com/problems/lru-cache
151,Reverse Words in a String,String,22.1%,Medium,52.5848,https://leetcode.com/problems/reverse-words-in-a-string
199,Binary Tree Right Side View,"Tree, Depth-first Search, Breadth-first Search",54.4%,Medium,23.5345,https://leetcode.com/problems/binary-tree-right-side-view
200,Number of Islands,"Depth-first Search, Breadth-first Search, Union Find",47.1%,Medium,35.8299,https://leetcode.com/problems/number-of-islands
206,Reverse Linked List,Linked List,63.0%,Easy,100.0,https://leetcode.com/problems/reverse-linked-list
223,Rectangle Area,Math,37.9%,Medium,71.6078,https://leetcode.com/problems/rectangle-area
231,Power of Two,"Math, Bit Manipulation",43.7%,Easy,64.4582,https://leetcode.com/problems/power-of-two
268,Missing Number,"Array, Math, Bit Manipulation",51.9%,Easy,3.22993,https://leetcode.com/problems/missing-number
388,Longest Absolute File Path,,41.8%,Medium,34.8192,https://leetcode.com/problems/longest-absolute-file-path
415,Add Strings,String,47.7%,Easy,5.10554,https://leetcode.com/problems/add-strings
706,Design HashMap,"Hash Table, Design",61.6%,Easy,23.6867,https://leetcode.com/problems/design-hashmap
739,Daily Temperatures,"Hash Table, Stack",63.7%,Medium,5.54603,https://leetcode.com/problems/daily-temperatures
867,Transpose Matrix,Array,62.7%,Easy,21.7691,https://leetcode.com/problems/transpose-matrix
939,Minimum Area Rectangle,Hash Table,51.6%,Medium,27.944,https://leetcode.com/problems/minimum-area-rectangle
