Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
13,Roman to Integer,"Math, String",55.9%,Easy,2.66542,https://leetcode.com/problems/roman-to-integer
15,3Sum,"Array, Two Pointers",27.0%,Medium,7.01147,https://leetcode.com/problems/3sum
42,Trapping Rain Water,"Array, Two Pointers, Stack",49.2%,Hard,34.8121,https://leetcode.com/problems/trapping-rain-water
71,Simplify Path,"String, Stack",32.8%,Medium,13.8525,https://leetcode.com/problems/simplify-path
103,Binary Tree Zigzag Level Order Traversal,"Stack, Tree, Breadth-first Search",48.6%,Medium,55.0955,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal
119,Pascal's Triangle II,Array,50.9%,Easy,9.2621,https://leetcode.com/problems/pascals-triangle-ii
127,Word Ladder,Breadth-first Search,29.9%,Medium,100.0,https://leetcode.com/problems/word-ladder
131,Palindrome Partitioning,Backtracking,48.0%,Medium,10.3734,https://leetcode.com/problems/palindrome-partitioning
138,Copy List with Random Pointer,"Hash Table, Linked List",37.0%,Medium,29.387,https://leetcode.com/problems/copy-list-with-random-pointer
139,Word Break,Dynamic Programming,40.3%,Medium,55.7308,https://leetcode.com/problems/word-break
173,Binary Search Tree Iterator,"Stack, Tree, Design",57.1%,Medium,15.926,https://leetcode.com/problems/binary-search-tree-iterator
200,Number of Islands,"Depth-first Search, Breadth-first Search, Union Find",47.1%,Medium,2.16968,https://leetcode.com/problems/number-of-islands
208,Implement Trie (Prefix Tree),"Design, Trie",49.9%,Medium,6.57221,https://leetcode.com/problems/implement-trie-prefix-tree
238,Product of Array Except Self,Array,60.3%,Medium,11.7637,https://leetcode.com/problems/product-of-array-except-self
297,Serialize and Deserialize Binary Tree,"Tree, Design",47.8%,Hard,5.61188,https://leetcode.com/problems/serialize-and-deserialize-binary-tree
332,Reconstruct Itinerary,"Depth-first Search, Graph",36.9%,Medium,25.8986,https://leetcode.com/problems/reconstruct-itinerary
695,Max Area of Island,"Array, Depth-first Search",63.0%,Medium,77.8654,https://leetcode.com/problems/max-area-of-island
729,My Calendar I,Array,52.0%,Medium,24.9777,https://leetcode.com/problems/my-calendar-i
733,Flood Fill,Depth-first Search,55.4%,Easy,9.19144,https://leetcode.com/problems/flood-fill
767,Reorganize String,"String, Heap, Greedy, Sort",48.9%,Medium,19.0353,https://leetcode.com/problems/reorganize-string
1197,Minimum Knight Moves,Breadth-first Search,36.1%,Medium,18.3274,https://leetcode.com/problems/minimum-knight-moves
