Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
1,Two Sum,"Array, Hash Table",45.7%,Easy,0.0754721,https://leetcode.com/problems/two-sum
17,Letter Combinations of a Phone Number,"String, Backtracking",47.1%,Medium,0.917038,https://leetcode.com/problems/letter-combinations-of-a-phone-number
36,Valid Sudoku,Hash Table,49.1%,Medium,1.59651,https://leetcode.com/problems/valid-sudoku
37,Sudoku Solver,"Hash Table, Backtracking",44.0%,Hard,1.79859,https://leetcode.com/problems/sudoku-solver
146,LRU Cache,Design,33.5%,Medium,5.26306,https://leetcode.com/problems/lru-cache
200,Number of Islands,"Depth-first Search, Breadth-first Search, Union Find",47.1%,Medium,0.263892,https://leetcode.com/problems/number-of-islands
207,Course Schedule,"Depth-first Search, Breadth-first Search, Graph, Topological Sort",43.3%,Medium,1.13734,https://leetcode.com/problems/course-schedule
224,Basic Calculator,"Math, Stack",37.1%,Hard,44.4555,https://leetcode.com/problems/basic-calculator
239,Sliding Window Maximum,"Heap, Sliding Window",43.4%,Hard,4.09722,https://leetcode.com/problems/sliding-window-maximum
647,Palindromic Substrings,"String, Dynamic Programming",60.9%,Medium,0.91102,https://leetcode.com/problems/palindromic-substrings
718,Maximum Length of Repeated Subarray,"Array, Hash Table, Binary Search, Dynamic Programming",49.5%,Medium,2.33944,https://leetcode.com/problems/maximum-length-of-repeated-subarray
770,Basic Calculator IV,"Hash Table, String, Stack",53.0%,Hard,17.963,https://leetcode.com/problems/basic-calculator-iv
811,Subdomain Visit Count,Hash Table,70.1%,Easy,100.0,https://leetcode.com/problems/subdomain-visit-count
829,Consecutive Numbers Sum,Math,38.1%,Hard,73.5075,https://leetcode.com/problems/consecutive-numbers-sum
1163,Last Substring in Lexicographical Order,"String, Suffix Array",34.6%,Hard,57.7362,https://leetcode.com/problems/last-substring-in-lexicographical-order
1248,Count Number of Nice Subarrays,Two Pointers,56.6%,Medium,10.6315,https://leetcode.com/problems/count-number-of-nice-subarrays
1290,Convert Binary Number in a Linked List to Integer,"Linked List, Bit Manipulation",80.7%,Easy,3.15404,https://leetcode.com/problems/convert-binary-number-in-a-linked-list-to-integer
1297,Maximum Number of Occurrences of a Substring,"String, Bit Manipulation",47.9%,Medium,14.7396,https://leetcode.com/problems/maximum-number-of-occurrences-of-a-substring
1328,Break a Palindrome,String,43.8%,Medium,8.85112,https://leetcode.com/problems/break-a-palindrome
