Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
1,Two Sum,"Array, Hash Table",45.7%,Easy,0.0671052,https://leetcode.com/problems/two-sum
5,Longest Palindromic Substring,"String, Dynamic Programming",29.6%,Medium,0.738855,https://leetcode.com/problems/longest-palindromic-substring
17,Letter Combinations of a Phone Number,"String, Backtracking",47.1%,Medium,1.44488,https://leetcode.com/problems/letter-combinations-of-a-phone-number
36,Valid Sudoku,Hash Table,49.1%,Medium,1.41952,https://leetcode.com/problems/valid-sudoku
37,Sudoku Solver,"Hash Table, Backtracking",44.0%,Hard,1.59919,https://leetcode.com/problems/sudoku-solver
146,LRU Cache,Design,33.5%,Medium,4.6796,https://leetcode.com/problems/lru-cache
200,Number of Islands,"Depth-first Search, Breadth-first Search, Union Find",47.1%,Medium,0.234637,https://leetcode.com/problems/number-of-islands
207,Course Schedule,"Depth-first Search, Breadth-first Search, Graph, Topological Sort",43.3%,Medium,1.01125,https://leetcode.com/problems/course-schedule
210,Course Schedule II,"Depth-first Search, Breadth-first Search, Graph, Topological Sort",41.0%,Medium,0.594245,https://leetcode.com/problems/course-schedule-ii
212,Word Search II,"Backtracking, Trie",35.1%,Hard,0.78371,https://leetcode.com/problems/word-search-ii
224,Basic Calculator,"Math, Stack",37.1%,Hard,50.6132,https://leetcode.com/problems/basic-calculator
239,Sliding Window Maximum,"Heap, Sliding Window",43.4%,Hard,3.643,https://leetcode.com/problems/sliding-window-maximum
647,Palindromic Substrings,"String, Dynamic Programming",60.9%,Medium,0.810023,https://leetcode.com/problems/palindromic-substrings
718,Maximum Length of Repeated Subarray,"Array, Hash Table, Binary Search, Dynamic Programming",49.5%,Medium,2.08009,https://leetcode.com/problems/maximum-length-of-repeated-subarray
770,Basic Calculator IV,"Hash Table, String, Stack",53.0%,Hard,15.9716,https://leetcode.com/problems/basic-calculator-iv
811,Subdomain Visit Count,Hash Table,70.1%,Easy,100.0,https://leetcode.com/problems/subdomain-visit-count
829,Consecutive Numbers Sum,Math,38.1%,Hard,65.3584,https://leetcode.com/problems/consecutive-numbers-sum
1163,Last Substring in Lexicographical Order,"String, Suffix Array",34.6%,Hard,51.3355,https://leetcode.com/problems/last-substring-in-lexicographical-order
1248,Count Number of Nice Subarrays,Two Pointers,56.6%,Medium,9.45287,https://leetcode.com/problems/count-number-of-nice-subarrays
1290,Convert Binary Number in a Linked List to Integer,"Linked List, Bit Manipulation",80.7%,Easy,2.80438,https://leetcode.com/problems/convert-binary-number-in-a-linked-list-to-integer
1297,Maximum Number of Occurrences of a Substring,"String, Bit Manipulation",47.9%,Medium,13.1056,https://leetcode.com/problems/maximum-number-of-occurrences-of-a-substring
1328,Break a Palindrome,String,43.8%,Medium,7.86987,https://leetcode.com/problems/break-a-palindrome
