Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
1,Two Sum,"Array, Hash Table",45.7%,Easy,71.9211,https://leetcode.com/problems/two-sum
2,Add Two Numbers,"Linked List, Math",34.1%,Medium,29.9285,https://leetcode.com/problems/add-two-numbers
5,Longest Palindromic Substring,"String, Dynamic Programming",29.6%,Medium,9.8687,https://leetcode.com/problems/longest-palindromic-substring
15,3Sum,"Array, Two Pointers",27.0%,Medium,10.1284,https://leetcode.com/problems/3sum
17,Letter Combinations of a Phone Number,"String, Backtracking",47.1%,Medium,19.3513,https://leetcode.com/problems/letter-combinations-of-a-phone-number
20,Valid Parentheses,"String, Stack",39.1%,Easy,21.1663,https://leetcode.com/problems/valid-parentheses
26,Remove Duplicates from Sorted Array,"Array, Two Pointers",45.4%,Easy,18.8719,https://leetcode.com/problems/remove-duplicates-from-sorted-array
42,Trapping Rain Water,"Array, Two Pointers, Stack",49.2%,Hard,16.6656,https://leetcode.com/problems/trapping-rain-water
49,Group Anagrams,"Hash Table, String",57.3%,Medium,17.3329,https://leetcode.com/problems/group-anagrams
56,Merge Intervals,"Array, Sort",39.5%,Medium,14.9928,https://leetcode.com/problems/merge-intervals
127,Word Ladder,Breadth-first Search,29.9%,Medium,26.2772,https://leetcode.com/problems/word-ladder
238,Product of Array Except Self,Array,60.3%,Medium,17.0267,https://leetcode.com/problems/product-of-array-except-self
344,Reverse String,"Two Pointers, String",68.8%,Easy,14.7978,https://leetcode.com/problems/reverse-string
387,First Unique Character in a String,"Hash Table, String",53.4%,Easy,43.8421,https://leetcode.com/problems/first-unique-character-in-a-string
653,Two Sum IV - Input is a BST,Tree,55.6%,Easy,100.0,https://leetcode.com/problems/two-sum-iv-input-is-a-bst
1290,Convert Binary Number in a Linked List to Integer,"Linked List, Bit Manipulation",80.7%,Easy,37.7553,https://leetcode.com/problems/convert-binary-number-in-a-linked-list-to-integer
