Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
1,Two Sum,"Array, Hash Table",45.7%,Easy,0.198895,https://leetcode.com/problems/two-sum
3,Longest Substring Without Repeating Characters,"Hash Table, Two Pointers, String, Sliding Window",30.5%,Medium,0.373402,https://leetcode.com/problems/longest-substring-without-repeating-characters
14,Longest Common Prefix,String,35.5%,Easy,1.85537,https://leetcode.com/problems/longest-common-prefix
15,3Sum,"Array, Two Pointers",27.0%,Medium,0.563481,https://leetcode.com/problems/3sum
22,Generate Parentheses,"String, Backtracking",63.1%,Medium,2.46517,https://leetcode.com/problems/generate-parentheses
33,Search in Rotated Sorted Array,"Array, Binary Search",34.7%,Medium,0.825309,https://leetcode.com/problems/search-in-rotated-sorted-array
39,Combination Sum,"Array, Backtracking",56.5%,Medium,3.3203,https://leetcode.com/problems/combination-sum
42,Trapping Rain Water,"Array, Two Pointers, Stack",49.2%,Hard,3.691,https://leetcode.com/problems/trapping-rain-water
49,Group Anagrams,"Hash Table, String",57.3%,Medium,2.16516,https://leetcode.com/problems/group-anagrams
54,Spiral Matrix,Array,34.3%,Medium,3.28349,https://leetcode.com/problems/spiral-matrix
56,Merge Intervals,"Array, Sort",39.5%,Medium,10.0559,https://leetcode.com/problems/merge-intervals
62,Unique Paths,"Array, Dynamic Programming",54.4%,Medium,1.21363,https://leetcode.com/problems/unique-paths
63,Unique Paths II,"Array, Dynamic Programming",34.7%,Medium,2.28033,https://leetcode.com/problems/unique-paths-ii
68,Text Justification,String,28.0%,Hard,17.1524,https://leetcode.com/problems/text-justification
76,Minimum Window Substring,"Hash Table, Two Pointers, String, Sliding Window",34.9%,Hard,3.47572,https://leetcode.com/problems/minimum-window-substring
79,Word Search,"Array, Backtracking",35.8%,Medium,26.6662,https://leetcode.com/problems/word-search
91,Decode Ways,"String, Dynamic Programming",24.9%,Medium,2.6937,https://leetcode.com/problems/decode-ways
121,Best Time to Buy and Sell Stock,"Array, Dynamic Programming",50.6%,Easy,0.522651,https://leetcode.com/problems/best-time-to-buy-and-sell-stock
126,Word Ladder II,"Array, String, Backtracking, Breadth-first Search",22.4%,Hard,4.53042,https://leetcode.com/problems/word-ladder-ii
127,Word Ladder,Breadth-first Search,29.9%,Medium,5.80382,https://leetcode.com/problems/word-ladder
139,Word Break,Dynamic Programming,40.3%,Medium,10.1833,https://leetcode.com/problems/word-break
140,Word Break II,"Dynamic Programming, Backtracking",32.9%,Hard,2.86665,https://leetcode.com/problems/word-break-ii
146,LRU Cache,Design,33.5%,Medium,50.2257,https://leetcode.com/problems/lru-cache
155,Min Stack,"Stack, Design",44.8%,Easy,1.15322,https://leetcode.com/problems/min-stack
169,Majority Element,"Array, Divide and Conquer, Bit Manipulation",58.9%,Easy,2.66888,https://leetcode.com/problems/majority-element
189,Rotate Array,Array,35.0%,Easy,1.01303,https://leetcode.com/problems/rotate-array
200,Number of Islands,"Depth-first Search, Breadth-first Search, Union Find",47.1%,Medium,6.1997,https://leetcode.com/problems/number-of-islands
210,Course Schedule II,"Depth-first Search, Breadth-first Search, Graph, Topological Sort",41.0%,Medium,1.7613,https://leetcode.com/problems/course-schedule-ii
212,Word Search II,"Backtracking, Trie",35.1%,Hard,14.2213,https://leetcode.com/problems/word-search-ii
224,Basic Calculator,"Math, Stack",37.1%,Hard,15.6157,https://leetcode.com/problems/basic-calculator
227,Basic Calculator II,String,37.1%,Medium,2.67346,https://leetcode.com/problems/basic-calculator-ii
