Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
1,Two Sum,"Array, Hash Table",45.7%,Easy,8.42706,https://leetcode.com/problems/two-sum
23,Merge k Sorted Lists,"Linked List, Divide and Conquer, Heap",40.6%,Hard,11.1737,https://leetcode.com/problems/merge-k-sorted-lists
42,Trapping Rain Water,"Array, Two Pointers, Stack",49.2%,Hard,2.46785,https://leetcode.com/problems/trapping-rain-water
51,N-Queens,Backtracking,47.1%,Hard,69.9965,https://leetcode.com/problems/n-queens
88,Merge Sorted Array,"Array, Two Pointers",39.6%,Easy,1.95829,https://leetcode.com/problems/merge-sorted-array
121,Best Time to Buy and Sell Stock,"Array, Dynamic Programming",50.6%,Easy,12.4308,https://leetcode.com/problems/best-time-to-buy-and-sell-stock
200,Number of Islands,"Depth-first Search, Breadth-first Search, Union Find",47.1%,Medium,16.5018,https://leetcode.com/problems/number-of-islands
218,The Skyline Problem,"Divide and Conquer, Heap, Binary Indexed Tree, Segment Tree, Line Sweep",34.7%,Hard,69.2181,https://leetcode.com/problems/the-skyline-problem
227,Basic Calculator II,String,37.1%,Medium,15.9195,https://leetcode.com/problems/basic-calculator-ii
238,Product of Array Except Self,Array,60.3%,Medium,96.6605,https://leetcode.com/problems/product-of-array-except-self
273,Integer to English Words,"Math, String",27.2%,Hard,100.0,https://leetcode.com/problems/integer-to-english-words
297,Serialize and Deserialize Binary Tree,"Tree, Design",47.8%,Hard,42.0558,https://leetcode.com/problems/serialize-and-deserialize-binary-tree
706,Design HashMap,"Hash Table, Design",61.6%,Easy,42.5541,https://leetcode.com/problems/design-hashmap
