Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
1,Two Sum,"Array, Hash Table",45.7%,Easy,8.82153,https://leetcode.com/problems/two-sum
4,Median of Two Sorted Arrays,"Array, Binary Search, Divide and Conquer",29.8%,Hard,9.89672,https://leetcode.com/problems/median-of-two-sorted-arrays
5,Longest Palindromic Substring,"String, Dynamic Programming",29.6%,Medium,6.09404,https://leetcode.com/problems/longest-palindromic-substring
8,String to Integer (atoi),"Math, String",15.4%,Medium,10.7877,https://leetcode.com/problems/string-to-integer-atoi
15,3Sum,"Array, Two Pointers",27.0%,Medium,14.0553,https://leetcode.com/problems/3sum
20,Valid Parentheses,"String, Stack",39.1%,Easy,5.81565,https://leetcode.com/problems/valid-parentheses
21,Merge Two Sorted Lists,Linked List,53.9%,Easy,52.6396,https://leetcode.com/problems/merge-two-sorted-lists
33,Search in Rotated Sorted Array,"Array, Binary Search",34.7%,Medium,36.4868,https://leetcode.com/problems/search-in-rotated-sorted-array
56,Merge Intervals,"Array, Sort",39.5%,Medium,9.25822,https://leetcode.com/problems/merge-intervals
76,Minimum Window Substring,"Hash Table, Two Pointers, String, Sliding Window",34.9%,Hard,17.2034,https://leetcode.com/problems/minimum-window-substring
121,Best Time to Buy and Sell Stock,"Array, Dynamic Programming",50.6%,Easy,13.038,https://leetcode.com/problems/best-time-to-buy-and-sell-stock
136,Single Number,"Hash Table, Bit Manipulation",65.7%,Easy,18.352,https://leetcode.com/problems/single-number
143,Reorder List,Linked List,39.0%,Medium,14.4643,https://leetcode.com/problems/reorder-list
160,Intersection of Two Linked Lists,Linked List,41.1%,Easy,13.287,https://leetcode.com/problems/intersection-of-two-linked-lists
169,Majority Element,"Array, Divide and Conquer, Bit Manipulation",58.9%,Easy,13.1997,https://leetcode.com/problems/majority-element
190,Reverse Bits,Bit Manipulation,40.2%,Easy,34.8076,https://leetcode.com/problems/reverse-bits
206,Reverse Linked List,Linked List,63.0%,Easy,13.5854,https://leetcode.com/problems/reverse-linked-list
215,Kth Largest Element in an Array,"Divide and Conquer, Heap",55.8%,Medium,12.0572,https://leetcode.com/problems/kth-largest-element-in-an-array
227,Basic Calculator II,String,37.1%,Medium,29.6744,https://leetcode.com/problems/basic-calculator-ii
240,Search a 2D Matrix II,"Binary Search, Divide and Conquer",43.3%,Medium,20.4287,https://leetcode.com/problems/search-a-2d-matrix-ii
256,Paint House,Dynamic Programming,52.2%,Easy,100.0,https://leetcode.com/problems/paint-house
287,Find the Duplicate Number,"Array, Two Pointers, Binary Search",55.9%,Medium,14.5401,https://leetcode.com/problems/find-the-duplicate-number
394,Decode String,"Stack, Depth-first Search",50.4%,Medium,76.8125,https://leetcode.com/problems/decode-string
543,Diameter of Binary Tree,Tree,48.6%,Easy,33.0746,https://leetcode.com/problems/diameter-of-binary-tree
1143,Longest Common Subsequence,Dynamic Programming,58.4%,Medium,53.6251,https://leetcode.com/problems/longest-common-subsequence
