Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
1,Two Sum,"Array, Hash Table",45.7%,Easy,12.4924,https://leetcode.com/problems/two-sum
2,Add Two Numbers,"Linked List, Math",34.1%,Medium,2.14713,https://leetcode.com/problems/add-two-numbers
11,Container With Most Water,"Array, Two Pointers",51.1%,Medium,8.76363,https://leetcode.com/problems/container-with-most-water
17,Letter Combinations of a Phone Number,"String, Backtracking",47.1%,Medium,34.2995,https://leetcode.com/problems/letter-combinations-of-a-phone-number
20,Valid Parentheses,"String, Stack",39.1%,Easy,2.69681,https://leetcode.com/problems/valid-parentheses
22,Generate Parentheses,"String, Backtracking",63.1%,Medium,100.0,https://leetcode.com/problems/generate-parentheses
23,Merge k Sorted Lists,"Linked List, Divide and Conquer, Heap",40.6%,Hard,21.6071,https://leetcode.com/problems/merge-k-sorted-lists
33,Search in Rotated Sorted Array,"Array, Binary Search",34.7%,Medium,66.5553,https://leetcode.com/problems/search-in-rotated-sorted-array
42,Trapping Rain Water,"Array, Two Pointers, Stack",49.2%,Hard,18.9978,https://leetcode.com/problems/trapping-rain-water
49,Group Anagrams,"Hash Table, String",57.3%,Medium,4.96327,https://leetcode.com/problems/group-anagrams
53,Maximum Subarray,"Array, Divide and Conquer, Dynamic Programming",46.7%,Easy,2.63135,https://leetcode.com/problems/maximum-subarray
62,Unique Paths,"Array, Dynamic Programming",54.4%,Medium,6.24659,https://leetcode.com/problems/unique-paths
76,Minimum Window Substring,"Hash Table, Two Pointers, String, Sliding Window",34.9%,Hard,17.8897,https://leetcode.com/problems/minimum-window-substring
98,Validate Binary Search Tree,"Tree, Depth-first Search",27.9%,Medium,3.79358,https://leetcode.com/problems/validate-binary-search-tree
121,Best Time to Buy and Sell Stock,"Array, Dynamic Programming",50.6%,Easy,10.7314,https://leetcode.com/problems/best-time-to-buy-and-sell-stock
155,Min Stack,"Stack, Design",44.8%,Easy,13.3222,https://leetcode.com/problems/min-stack
176,Second Highest Salary,,31.9%,Easy,38.7755,https://leetcode.com/problems/second-highest-salary
199,Binary Tree Right Side View,"Tree, Depth-first Search, Breadth-first Search",54.4%,Medium,7.5454,https://leetcode.com/problems/binary-tree-right-side-view
200,Number of Islands,"Depth-first Search, Breadth-first Search, Union Find",47.1%,Medium,31.9102,https://leetcode.com/problems/number-of-islands
206,Reverse Linked List,Linked List,63.0%,Easy,11.1812,https://leetcode.com/problems/reverse-linked-list
210,Course Schedule II,"Depth-first Search, Breadth-first Search, Graph, Topological Sort",41.0%,Medium,20.3204,https://leetcode.com/problems/course-schedule-ii
215,Kth Largest Element in an Array,"Divide and Conquer, Heap",55.8%,Medium,5.59112,https://leetcode.com/problems/kth-largest-element-in-an-array
240,Search a 2D Matrix II,"Binary Search, Divide and Conquer",43.3%,Medium,9.47313,https://leetcode.com/problems/search-a-2d-matrix-ii
273,Integer to English Words,"Math, String",27.2%,Hard,39.5639,https://leetcode.com/problems/integer-to-english-words
283,Move Zeroes,"Array, Two Pointers",58.0%,Easy,8.16317,https://leetcode.com/problems/move-zeroes
322,Coin Change,Dynamic Programming,35.8%,Medium,4.62486,https://leetcode.com/problems/coin-change
381,Insert Delete GetRandom O(1) - Duplicates allowed,"Array, Hash Table, Design",34.2%,Hard,57.5589,https://leetcode.com/problems/insert-delete-getrandom-o1-duplicates-allowed
443,String Compression,String,41.5%,Easy,17.97,https://leetcode.com/problems/string-compression
518,Coin Change 2,,50.4%,Medium,17.7242,https://leetcode.com/problems/coin-change-2
695,Max Area of Island,"Array, Depth-first Search",63.0%,Medium,36.5359,https://leetcode.com/problems/max-area-of-island
697,Degree of an Array,Array,53.9%,Easy,82.7298,https://leetcode.com/problems/degree-of-an-array
785,Is Graph Bipartite?,"Depth-first Search, Breadth-first Search, Graph",47.6%,Medium,15.8322,https://leetcode.com/problems/is-graph-bipartite
1283,Find the Smallest Divisor Given a Threshold,Binary Search,48.8%,Medium,40.2887,https://leetcode.com/problems/find-the-smallest-divisor-given-a-threshold
