Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
5,Longest Palindromic Substring,"String, Dynamic Programming",29.6%,Medium,4.42299,https://leetcode.com/problems/longest-palindromic-substring
41,First Missing Positive,Array,32.2%,Hard,1.55421,https://leetcode.com/problems/first-missing-positive
53,Maximum Subarray,"Array, Divide and Conquer, Dynamic Programming",46.7%,Easy,0.461069,https://leetcode.com/problems/maximum-subarray
56,Merge Intervals,"Array, Sort",39.5%,Medium,1.68954,https://leetcode.com/problems/merge-intervals
69,Sqrt(x),"Math, Binary Search",34.1%,Easy,2.62293,https://leetcode.com/problems/sqrtx
85,Maximal Rectangle,"Array, Hash Table, Dynamic Programming, Stack",38.0%,Hard,11.6036,https://leetcode.com/problems/maximal-rectangle
125,Valid Palindrome,"Two Pointers, String",36.9%,Easy,2.97458,https://leetcode.com/problems/valid-palindrome
184,Department Highest Salary,,37.2%,Medium,4.69979,https://leetcode.com/problems/department-highest-salary
210,Course Schedule II,"Depth-first Search, Breadth-first Search, Graph, Topological Sort",41.0%,Medium,1.58847,https://leetcode.com/problems/course-schedule-ii
412,Fizz Buzz,,63.2%,Easy,1.76932,https://leetcode.com/problems/fizz-buzz
443,String Compression,String,41.5%,Easy,12.3734,https://leetcode.com/problems/string-compression
718,Maximum Length of Repeated Subarray,"Array, Hash Table, Binary Search, Dynamic Programming",49.5%,Medium,5.56027,https://leetcode.com/problems/maximum-length-of-repeated-subarray
759,Employee Free Time,"Heap, Greedy",66.5%,Hard,19.0575,https://leetcode.com/problems/employee-free-time
811,Subdomain Visit Count,Hash Table,70.1%,Easy,65.2023,https://leetcode.com/problems/subdomain-visit-count
840,Magic Squares In Grid,Array,37.3%,Easy,100.0,https://leetcode.com/problems/magic-squares-in-grid
1189,Maximum Number of Balloons,"Hash Table, String",61.2%,Easy,30.4045,https://leetcode.com/problems/maximum-number-of-balloons
1204,Last Person to Fit in the Elevator,,70.1%,Medium,23.869,https://leetcode.com/problems/last-person-to-fit-in-the-elevator
1212,Team Scores in Football Tournament,,56.1%,Medium,22.0539,https://leetcode.com/problems/team-scores-in-football-tournament
