Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
1,Two Sum,"Array, Hash Table",45.7%,Easy,100.0,https://leetcode.com/problems/two-sum
2,Add Two Numbers,"Linked List, Math",34.1%,Medium,69.9688,https://leetcode.com/problems/add-two-numbers
3,Longest Substring Without Repeating Characters,"Hash Table, Two Pointers, String, Sliding Window",30.5%,Medium,30.1213,https://leetcode.com/problems/longest-substring-without-repeating-characters
4,Median of Two Sorted Arrays,"Array, Binary Search, Divide and Conquer",29.8%,Hard,72.0874,https://leetcode.com/problems/median-of-two-sorted-arrays
5,Longest Palindromic Substring,"String, Dynamic Programming",29.6%,Medium,58.6732,https://leetcode.com/problems/longest-palindromic-substring
7,Reverse Integer,Math,25.8%,Easy,25.5313,https://leetcode.com/problems/reverse-integer
9,Palindrome Number,Math,48.6%,Easy,13.8458,https://leetcode.com/problems/palindrome-number
11,Container With Most Water,"Array, Two Pointers",51.1%,Medium,9.02103,https://leetcode.com/problems/container-with-most-water
12,Integer to Roman,"Math, String",55.3%,Medium,23.8973,https://leetcode.com/problems/integer-to-roman
13,Roman to Integer,"Math, String",55.9%,Easy,59.0547,https://leetcode.com/problems/roman-to-integer
15,3Sum,"Array, Two Pointers",27.0%,Medium,32.3529,https://leetcode.com/problems/3sum
17,Letter Combinations of a Phone Number,"String, Backtracking",47.1%,Medium,14.6225,https://leetcode.com/problems/letter-combinations-of-a-phone-number
18,4Sum,"Array, Hash Table, Two Pointers",33.8%,Medium,10.5151,https://leetcode.com/problems/4sum
20,Valid Parentheses,"String, Stack",39.1%,Easy,21.4824,https://leetcode.com/problems/valid-parentheses
21,Merge Two Sorted Lists,Linked List,53.9%,Easy,74.2937,https://leetcode.com/problems/merge-two-sorted-lists
22,Generate Parentheses,"String, Backtracking",63.1%,Medium,24.2703,https://leetcode.com/problems/generate-parentheses
23,Merge k Sorted Lists,"Linked List, Divide and Conquer, Heap",40.6%,Hard,45.1572,https://leetcode.com/problems/merge-k-sorted-lists
28,Implement strStr(),"Two Pointers, String",34.6%,Easy,5.27227,https://leetcode.com/problems/implement-strstr
32,Longest Valid Parentheses,"String, Dynamic Programming",28.5%,Hard,4.72869,https://leetcode.com/problems/longest-valid-parentheses
33,Search in Rotated Sorted Array,"Array, Binary Search",34.7%,Medium,13.0966,https://leetcode.com/problems/search-in-rotated-sorted-array
34,Find First and Last Position of Element in Sorted Array,"Array, Binary Search",36.3%,Medium,10.3307,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array
42,Trapping Rain Water,"Array, Two Pointers, Stack",49.2%,Hard,12.7132,https://leetcode.com/problems/trapping-rain-water
46,Permutations,Backtracking,64.0%,Medium,16.3235,https://leetcode.com/problems/permutations
49,Group Anagrams,"Hash Table, String",57.3%,Medium,21.6025,https://leetcode.com/problems/group-anagrams
53,Maximum Subarray,"Array, Divide and Conquer, Dynamic Programming",46.7%,Easy,17.8082,https://leetcode.com/problems/maximum-subarray
56,Merge Intervals,"Array, Sort",39.5%,Medium,13.2275,https://leetcode.com/problems/merge-intervals
60,Permutation Sequence,"Math, Backtracking",38.6%,Hard,2.51893,https://leetcode.com/problems/permutation-sequence
72,Edit Distance,"String, Dynamic Programming",45.1%,Hard,7.52995,https://leetcode.com/problems/edit-distance
75,Sort Colors,"Array, Two Pointers, Sort",47.6%,Medium,24.8375,https://leetcode.com/problems/sort-colors
76,Minimum Window Substring,"Hash Table, Two Pointers, String, Sliding Window",34.9%,Hard,6.37039,https://leetcode.com/problems/minimum-window-substring
77,Combinations,Backtracking,55.1%,Medium,13.2597,https://leetcode.com/problems/combinations
78,Subsets,"Array, Backtracking, Bit Manipulation",62.5%,Medium,10.315,https://leetcode.com/problems/subsets
79,Word Search,"Array, Backtracking",35.8%,Medium,29.5922,https://leetcode.com/problems/word-search
88,Merge Sorted Array,"Array, Two Pointers",39.6%,Easy,6.16894,https://leetcode.com/problems/merge-sorted-array
93,Restore IP Addresses,"String, Backtracking",36.0%,Medium,10.2232,https://leetcode.com/problems/restore-ip-addresses
95,Unique Binary Search Trees II,"Dynamic Programming, Tree",41.0%,Medium,23.9822,https://leetcode.com/problems/unique-binary-search-trees-ii
98,Validate Binary Search Tree,"Tree, Depth-first Search",27.9%,Medium,8.78223,https://leetcode.com/problems/validate-binary-search-tree
102,Binary Tree Level Order Traversal,"Tree, Breadth-first Search",54.9%,Medium,14.6038,https://leetcode.com/problems/binary-tree-level-order-traversal
103,Binary Tree Zigzag Level Order Traversal,"Stack, Tree, Breadth-first Search",48.6%,Medium,2.03354,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal
104,Maximum Depth of Binary Tree,"Tree, Depth-first Search",66.3%,Easy,7.09772,https://leetcode.com/problems/maximum-depth-of-binary-tree
105,Construct Binary Tree from Preorder and Inorder Traversal,"Array, Tree, Depth-first Search",49.3%,Medium,6.64956,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal
108,Convert Sorted Array to Binary Search Tree,"Tree, Depth-first Search",58.4%,Easy,9.99945,https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree
114,Flatten Binary Tree to Linked List,"Tree, Depth-first Search",49.7%,Medium,3.01634,https://leetcode.com/problems/flatten-binary-tree-to-linked-list
121,Best Time to Buy and Sell Stock,"Array, Dynamic Programming",50.6%,Easy,19.7795,https://leetcode.com/problems/best-time-to-buy-and-sell-stock
122,Best Time to Buy and Sell Stock II,"Array, Greedy",57.2%,Easy,3.79939,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii
126,Word Ladder II,"Array, String, Backtracking, Breadth-first Search",22.4%,Hard,6.11941,https://leetcode.com/problems/word-ladder-ii
131,Palindrome Partitioning,Backtracking,48.0%,Medium,6.97268,https://leetcode.com/problems/palindrome-partitioning
138,Copy List with Random Pointer,"Hash Table, Linked List",37.0%,Medium,10.1817,https://leetcode.com/problems/copy-list-with-random-pointer
139,Word Break,Dynamic Programming,40.3%,Medium,33.4994,https://leetcode.com/problems/word-break
141,Linked List Cycle,"Linked List, Two Pointers",41.4%,Easy,14.0232,https://leetcode.com/problems/linked-list-cycle
146,LRU Cache,Design,33.5%,Medium,89.0859,https://leetcode.com/problems/lru-cache
148,Sort List,"Linked List, Sort",42.9%,Medium,22.6165,https://leetcode.com/problems/sort-list
160,Intersection of Two Linked Lists,Linked List,41.1%,Easy,16.1366,https://leetcode.com/problems/intersection-of-two-linked-lists
162,Find Peak Element,"Array, Binary Search",43.4%,Medium,10.6114,https://leetcode.com/problems/find-peak-element
168,Excel Sheet Column Title,Math,31.2%,Easy,8.54559,https://leetcode.com/problems/excel-sheet-column-title
169,Majority Element,"Array, Divide and Conquer, Bit Manipulation",58.9%,Easy,13.8219,https://leetcode.com/problems/majority-element
175,Combine Two Tables,,61.3%,Easy,22.5699,https://leetcode.com/problems/combine-two-tables
176,Second Highest Salary,,31.9%,Easy,2.60289,https://leetcode.com/problems/second-highest-salary
178,Rank Scores,,46.5%,Medium,1.54535,https://leetcode.com/problems/rank-scores
200,Number of Islands,"Depth-first Search, Breadth-first Search, Union Find",47.1%,Medium,21.5584,https://leetcode.com/problems/number-of-islands
204,Count Primes,"Hash Table, Math",31.6%,Easy,20.2946,https://leetcode.com/problems/count-primes
205,Isomorphic Strings,Hash Table,39.9%,Easy,36.4375,https://leetcode.com/problems/isomorphic-strings
206,Reverse Linked List,Linked List,63.0%,Easy,27.6369,https://leetcode.com/problems/reverse-linked-list
207,Course Schedule,"Depth-first Search, Breadth-first Search, Graph, Topological Sort",43.3%,Medium,5.51276,https://leetcode.com/problems/course-schedule
212,Word Search II,"Backtracking, Trie",35.1%,Hard,18.3537,https://leetcode.com/problems/word-search-ii
215,Kth Largest Element in an Array,"Divide and Conquer, Heap",55.8%,Medium,14.7451,https://leetcode.com/problems/kth-largest-element-in-an-array
217,Contains Duplicate,"Array, Hash Table",56.2%,Easy,10.0908,https://leetcode.com/problems/contains-duplicate
222,Count Complete Tree Nodes,"Binary Search, Tree",47.2%,Medium,3.05912,https://leetcode.com/problems/count-complete-tree-nodes
225,Implement Stack using Queues,"Stack, Design",45.7%,Easy,4.41591,https://leetcode.com/problems/implement-stack-using-queues
232,Implement Queue using Stacks,"Stack, Design",50.1%,Easy,1.78152,https://leetcode.com/problems/implement-queue-using-stacks
236,Lowest Common Ancestor of a Binary Tree,Tree,46.2%,Medium,18.8116,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree
237,Delete Node in a Linked List,Linked List,64.4%,Easy,6.79854,https://leetcode.com/problems/delete-node-in-a-linked-list
238,Product of Array Except Self,Array,60.3%,Medium,38.6704,https://leetcode.com/problems/product-of-array-except-self
242,Valid Anagram,"Hash Table, Sort",57.1%,Easy,8.78509,https://leetcode.com/problems/valid-anagram
260,Single Number III,Bit Manipulation,64.5%,Medium,13.7889,https://leetcode.com/problems/single-number-iii
273,Integer to English Words,"Math, String",27.2%,Hard,21.6916,https://leetcode.com/problems/integer-to-english-words
274,H-Index,"Hash Table, Sort",36.3%,Medium,0.985329,https://leetcode.com/problems/h-index
283,Move Zeroes,"Array, Two Pointers",58.0%,Easy,12.8722,https://leetcode.com/problems/move-zeroes
284,Peeking Iterator,Design,46.1%,Medium,12.0609,https://leetcode.com/problems/peeking-iterator
295,Find Median from Data Stream,"Heap, Design",44.8%,Hard,34.1226,https://leetcode.com/problems/find-median-from-data-stream
297,Serialize and Deserialize Binary Tree,"Tree, Design",47.8%,Hard,14.4847,https://leetcode.com/problems/serialize-and-deserialize-binary-tree
316,Remove Duplicate Letters,"Stack, Greedy",36.1%,Hard,16.3218,https://leetcode.com/problems/remove-duplicate-letters
322,Coin Change,Dynamic Programming,35.8%,Medium,22.4643,https://leetcode.com/problems/coin-change
