Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
4,Median of Two Sorted Arrays,"Array, Binary Search, Divide and Conquer",29.8%,Hard,10.0926,https://leetcode.com/problems/median-of-two-sorted-arrays
10,Regular Expression Matching,"String, Dynamic Programming, Backtracking",26.9%,Hard,8.99396,https://leetcode.com/problems/regular-expression-matching
33,Search in Rotated Sorted Array,"Array, Binary Search",34.7%,Medium,4.15992,https://leetcode.com/problems/search-in-rotated-sorted-array
49,Group Anagrams,"Hash Table, String",57.3%,Medium,4.86046,https://leetcode.com/problems/group-anagrams
56,Merge Intervals,"Array, Sort",39.5%,Medium,60.6385,https://leetcode.com/problems/merge-intervals
70,Climbing Stairs,Dynamic Programming,47.9%,Easy,3.75828,https://leetcode.com/problems/climbing-stairs
200,Number of Islands,"Depth-first Search, Breadth-first Search, Union Find",47.1%,Medium,13.9712,https://leetcode.com/problems/number-of-islands
242,Valid Anagram,"Hash Table, Sort",57.1%,Easy,21.2771,https://leetcode.com/problems/valid-anagram
387,First Unique Character in a String,"Hash Table, String",53.4%,Easy,5.47685,https://leetcode.com/problems/first-unique-character-in-a-string
1138,Alphabet Board Path,"Hash Table, String",48.5%,Medium,100.0,https://leetcode.com/problems/alphabet-board-path
