Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
1,Two Sum,"Array, Hash Table",45.7%,Easy,7.75251,https://leetcode.com/problems/two-sum
2,Add Two Numbers,"Linked List, Math",34.1%,Medium,1.02147,https://leetcode.com/problems/add-two-numbers
3,Longest Substring Without Repeating Characters,"Hash Table, Two Pointers, String, Sliding Window",30.5%,Medium,5.6953,https://leetcode.com/problems/longest-substring-without-repeating-characters
5,Longest Palindromic Substring,"String, Dynamic Programming",29.6%,Medium,5.36232,https://leetcode.com/problems/longest-palindromic-substring
8,String to Integer (atoi),"Math, String",15.4%,Medium,2.37983,https://leetcode.com/problems/string-to-integer-atoi
10,Regular Expression Matching,"String, Dynamic Programming, Backtracking",26.9%,Hard,4.36927,https://leetcode.com/problems/regular-expression-matching
14,Longest Common Prefix,String,35.5%,Easy,4.54313,https://leetcode.com/problems/longest-common-prefix
15,3Sum,"Array, Two Pointers",27.0%,Medium,1.37976,https://leetcode.com/problems/3sum
17,Letter Combinations of a Phone Number,"String, Backtracking",47.1%,Medium,5.91767,https://leetcode.com/problems/letter-combinations-of-a-phone-number
20,Valid Parentheses,"String, Stack",39.1%,Easy,2.88343,https://leetcode.com/problems/valid-parentheses
21,Merge Two Sorted Lists,Linked List,53.9%,Easy,1.29972,https://leetcode.com/problems/merge-two-sorted-lists
23,Merge k Sorted Lists,"Linked List, Divide and Conquer, Heap",40.6%,Hard,5.80042,https://leetcode.com/problems/merge-k-sorted-lists
31,Next Permutation,Array,32.7%,Medium,3.54876,https://leetcode.com/problems/next-permutation
33,Search in Rotated Sorted Array,"Array, Binary Search",34.7%,Medium,8.04923,https://leetcode.com/problems/search-in-rotated-sorted-array
39,Combination Sum,"Array, Backtracking",56.5%,Medium,8.13024,https://leetcode.com/problems/combination-sum
40,Combination Sum II,"Array, Backtracking",48.6%,Medium,14.1297,https://leetcode.com/problems/combination-sum-ii
41,First Missing Positive,Array,32.2%,Hard,4.21977,https://leetcode.com/problems/first-missing-positive
42,Trapping Rain Water,"Array, Two Pointers, Stack",49.2%,Hard,2.27031,https://leetcode.com/problems/trapping-rain-water
46,Permutations,Backtracking,64.0%,Medium,10.1842,https://leetcode.com/problems/permutations
49,Group Anagrams,"Hash Table, String",57.3%,Medium,2.36121,https://leetcode.com/problems/group-anagrams
50,"Pow(x, n)","Math, Binary Search",30.5%,Medium,3.23545,https://leetcode.com/problems/powx-n
51,N-Queens,Backtracking,47.1%,Hard,10.704,https://leetcode.com/problems/n-queens
56,Merge Intervals,"Array, Sort",39.5%,Medium,4.58721,https://leetcode.com/problems/merge-intervals
66,Plus One,Array,43.0%,Easy,2.20364,https://leetcode.com/problems/plus-one
