Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
1,Two Sum,"Array, Hash Table",45.7%,Easy,73.9873,https://leetcode.com/problems/two-sum
2,Add Two Numbers,"Linked List, Math",34.1%,Medium,29.113,https://leetcode.com/problems/add-two-numbers
3,Longest Substring Without Repeating Characters,"Hash Table, Two Pointers, String, Sliding Window",30.5%,Medium,24.4566,https://leetcode.com/problems/longest-substring-without-repeating-characters
4,Median of Two Sorted Arrays,"Array, Binary Search, Divide and Conquer",29.8%,Hard,16.7482,https://leetcode.com/problems/median-of-two-sorted-arrays
5,Longest Palindromic Substring,"String, Dynamic Programming",29.6%,Medium,67.4055,https://leetcode.com/problems/longest-palindromic-substring
6,ZigZag Conversion,String,36.6%,Medium,2.68358,https://leetcode.com/problems/zigzag-conversion
7,Reverse Integer,Math,25.8%,Easy,0.374609,https://leetcode.com/problems/reverse-integer
8,String to Integer (atoi),"Math, String",15.4%,Medium,4.00789,https://leetcode.com/problems/string-to-integer-atoi
9,Palindrome Number,Math,48.6%,Easy,0.429891,https://leetcode.com/problems/palindrome-number
10,Regular Expression Matching,"String, Dynamic Programming, Backtracking",26.9%,Hard,7.84237,https://leetcode.com/problems/regular-expression-matching
11,Container With Most Water,"Array, Two Pointers",51.1%,Medium,14.82,https://leetcode.com/problems/container-with-most-water
12,Integer to Roman,"Math, String",55.3%,Medium,21.5058,https://leetcode.com/problems/integer-to-roman
13,Roman to Integer,"Math, String",55.9%,Easy,9.97638,https://leetcode.com/problems/roman-to-integer
14,Longest Common Prefix,String,35.5%,Easy,1.81308,https://leetcode.com/problems/longest-common-prefix
15,3Sum,"Array, Two Pointers",27.0%,Medium,27.7273,https://leetcode.com/problems/3sum
16,3Sum Closest,"Array, Two Pointers",46.0%,Medium,2.67291,https://leetcode.com/problems/3sum-closest
17,Letter Combinations of a Phone Number,"String, Backtracking",47.1%,Medium,25.541,https://leetcode.com/problems/letter-combinations-of-a-phone-number
18,4Sum,"Array, Hash Table, Two Pointers",33.8%,Medium,6.35753,https://leetcode.com/problems/4sum
19,Remove Nth Node From End of List,"Linked List, Two Pointers",35.3%,Medium,7.29618,https://leetcode.com/problems/remove-nth-node-from-end-of-list
20,Valid Parentheses,"String, Stack",39.1%,Easy,27.5682,https://leetcode.com/problems/valid-parentheses
21,Merge Two Sorted Lists,Linked List,53.9%,Easy,64.7304,https://leetcode.com/problems/merge-two-sorted-lists
22,Generate Parentheses,"String, Backtracking",63.1%,Medium,9.94214,https://leetcode.com/problems/generate-parentheses
23,Merge k Sorted Lists,"Linked List, Divide and Conquer, Heap",40.6%,Hard,63.1735,https://leetcode.com/problems/merge-k-sorted-lists
24,Swap Nodes in Pairs,Linked List,50.8%,Medium,0.326386,https://leetcode.com/problems/swap-nodes-in-pairs
25,Reverse Nodes in k-Group,Linked List,42.5%,Hard,10.7736,https://leetcode.com/problems/reverse-nodes-in-k-group
26,Remove Duplicates from Sorted Array,"Array, Two Pointers",45.4%,Easy,0.263851,https://leetcode.com/problems/remove-duplicates-from-sorted-array
28,Implement strStr(),"Two Pointers, String",34.6%,Easy,1.38498,https://leetcode.com/problems/implement-strstr
29,Divide Two Integers,"Math, Binary Search",16.4%,Medium,3.55114,https://leetcode.com/problems/divide-two-integers
31,Next Permutation,Array,32.7%,Medium,3.71384,https://leetcode.com/problems/next-permutation
32,Longest Valid Parentheses,"String, Dynamic Programming",28.5%,Hard,6.46286,https://leetcode.com/problems/longest-valid-parentheses
33,Search in Rotated Sorted Array,"Array, Binary Search",34.7%,Medium,22.1113,https://leetcode.com/problems/search-in-rotated-sorted-array
34,Find First and Last Position of Element in Sorted Array,"Array, Binary Search",36.3%,Medium,3.19938,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array
35,Search Insert Position,"Array, Binary Search",42.7%,Easy,0.108525,https://leetcode.com/problems/search-insert-position
36,Valid Sudoku,Hash Table,49.1%,Medium,10.125,https://leetcode.com/problems/valid-sudoku
37,Sudoku Solver,"Hash Table, Backtracking",44.0%,Hard,7.57788,https://leetcode.com/problems/sudoku-solver
38,Count and Say,String,44.9%,Easy,1.62386,https://leetcode.com/problems/count-and-say
39,Combination Sum,"Array, Backtracking",56.5%,Medium,8.27997,https://leetcode.com/problems/combination-sum
40,Combination Sum II,"Array, Backtracking",48.6%,Medium,0.923984,https://leetcode.com/problems/combination-sum-ii
41,First Missing Positive,Array,32.2%,Hard,9.42366,https://leetcode.com/problems/first-missing-positive
42,Trapping Rain Water,"Array, Two Pointers, Stack",49.2%,Hard,50.3549,https://leetcode.com/problems/trapping-rain-water
43,Multiply Strings,"Math, String",34.1%,Medium,0.494707,https://leetcode.com/problems/multiply-strings
44,Wildcard Matching,"String, Dynamic Programming, Backtracking, Greedy",24.8%,Hard,3.31959,https://leetcode.com/problems/wildcard-matching
45,Jump Game II,"Array, Greedy",30.7%,Hard,19.5535,https://leetcode.com/problems/jump-game-ii
46,Permutations,Backtracking,64.0%,Medium,9.54018,https://leetcode.com/problems/permutations
47,Permutations II,Backtracking,46.8%,Medium,0.870973,https://leetcode.com/problems/permutations-ii
48,Rotate Image,Array,57.3%,Medium,4.78556,https://leetcode.com/problems/rotate-image
49,Group Anagrams,"Hash Table, String",57.3%,Medium,32.4083,https://leetcode.com/problems/group-anagrams
50,"Pow(x, n)","Math, Binary Search",30.5%,Medium,4.64309,https://leetcode.com/problems/powx-n
51,N-Queens,Backtracking,47.1%,Hard,7.0571,https://leetcode.com/problems/n-queens
52,N-Queens II,Backtracking,58.2%,Hard,1.40093,https://leetcode.com/problems/n-queens-ii
53,Maximum Subarray,"Array, Divide and Conquer, Dynamic Programming",46.7%,Easy,21.2071,https://leetcode.com/problems/maximum-subarray
54,Spiral Matrix,Array,34.3%,Medium,20.0006,https://leetcode.com/problems/spiral-matrix
55,Jump Game,"Array, Greedy",34.7%,Medium,14.8741,https://leetcode.com/problems/jump-game
56,Merge Intervals,"Array, Sort",39.5%,Medium,19.4611,https://leetcode.com/problems/merge-intervals
57,Insert Interval,"Array, Sort",33.7%,Hard,7.45104,https://leetcode.com/problems/insert-interval
59,Spiral Matrix II,Array,54.3%,Medium,2.93442,https://leetcode.com/problems/spiral-matrix-ii
61,Rotate List,"Linked List, Two Pointers",30.2%,Medium,1.96776,https://leetcode.com/problems/rotate-list
62,Unique Paths,"Array, Dynamic Programming",54.4%,Medium,3.70057,https://leetcode.com/problems/unique-paths
63,Unique Paths II,"Array, Dynamic Programming",34.7%,Medium,5.63569,https://leetcode.com/problems/unique-paths-ii
64,Minimum Path Sum,"Array, Dynamic Programming",54.8%,Medium,19.0699,https://leetcode.com/problems/minimum-path-sum
65,Valid Number,"Math, String",15.4%,Hard,2.16345,https://leetcode.com/problems/valid-number
66,Plus One,Array,43.0%,Easy,0.726141,https://leetcode.com/problems/plus-one
67,Add Binary,"Math, String",45.5%,Easy,1.68263,https://leetcode.com/problems/add-binary
68,Text Justification,String,28.0%,Hard,4.11536,https://leetcode.com/problems/text-justification
69,Sqrt(x),"Math, Binary Search",34.1%,Easy,1.40608,https://leetcode.com/problems/sqrtx
70,Climbing Stairs,Dynamic Programming,47.9%,Easy,4.01402,https://leetcode.com/problems/climbing-stairs
71,Simplify Path,"String, Stack",32.8%,Medium,5.8063,https://leetcode.com/problems/simplify-path
72,Edit Distance,"String, Dynamic Programming",45.1%,Hard,9.31909,https://leetcode.com/problems/edit-distance
73,Set Matrix Zeroes,Array,43.3%,Medium,3.78359,https://leetcode.com/problems/set-matrix-zeroes
74,Search a 2D Matrix,"Array, Binary Search",36.6%,Medium,23.4585,https://leetcode.com/problems/search-a-2d-matrix
75,Sort Colors,"Array, Two Pointers, Sort",47.6%,Medium,9.58885,https://leetcode.com/problems/sort-colors
76,Minimum Window Substring,"Hash Table, Two Pointers, String, Sliding Window",34.9%,Hard,15.0486,https://leetcode.com/problems/minimum-window-substring
77,Combinations,Backtracking,55.1%,Medium,0.675349,https://leetcode.com/problems/combinations
78,Subsets,"Array, Backtracking, Bit Manipulation",62.5%,Medium,3.24483,https://leetcode.com/problems/subsets
79,Word Search,"Array, Backtracking",35.8%,Medium,24.5349,https://leetcode.com/problems/word-search
81,Search in Rotated Sorted Array II,"Array, Binary Search",33.0%,Medium,1.79267,https://leetcode.com/problems/search-in-rotated-sorted-array-ii
82,Remove Duplicates from Sorted List II,Linked List,37.1%,Medium,3.47756,https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii
83,Remove Duplicates from Sorted List,Linked List,45.6%,Easy,0.881053,https://leetcode.com/problems/remove-duplicates-from-sorted-list
84,Largest Rectangle in Histogram,"Array, Stack",35.5%,Hard,9.65371,https://leetcode.com/problems/largest-rectangle-in-histogram
85,Maximal Rectangle,"Array, Hash Table, Dynamic Programming, Stack",38.0%,Hard,7.76235,https://leetcode.com/problems/maximal-rectangle
86,Partition List,"Linked List, Two Pointers",41.9%,Medium,3.30598,https://leetcode.com/problems/partition-list
88,Merge Sorted Array,"Array, Two Pointers",39.6%,Easy,5.43212,https://leetcode.com/problems/merge-sorted-array
90,Subsets II,"Array, Backtracking",47.4%,Medium,1.70873,https://leetcode.com/problems/subsets-ii
91,Decode Ways,"String, Dynamic Programming",24.9%,Medium,11.507,https://leetcode.com/problems/decode-ways
92,Reverse Linked List II,Linked List,39.1%,Medium,4.30639,https://leetcode.com/problems/reverse-linked-list-ii
93,Restore IP Addresses,"String, Backtracking",36.0%,Medium,14.3645,https://leetcode.com/problems/restore-ip-addresses
94,Binary Tree Inorder Traversal,"Hash Table, Stack, Tree",63.8%,Medium,1.34338,https://leetcode.com/problems/binary-tree-inorder-traversal
95,Unique Binary Search Trees II,"Dynamic Programming, Tree",41.0%,Medium,1.72208,https://leetcode.com/problems/unique-binary-search-trees-ii
96,Unique Binary Search Trees,"Dynamic Programming, Tree",53.2%,Medium,7.53132,https://leetcode.com/problems/unique-binary-search-trees
97,Interleaving String,"String, Dynamic Programming",31.7%,Hard,19.3975,https://leetcode.com/problems/interleaving-string
98,Validate Binary Search Tree,"Tree, Depth-first Search",27.9%,Medium,10.648,https://leetcode.com/problems/validate-binary-search-tree
99,Recover Binary Search Tree,"Tree, Depth-first Search",40.0%,Hard,26.6779,https://leetcode.com/problems/recover-binary-search-tree
100,Same Tree,"Tree, Depth-first Search",53.5%,Easy,4.13383,https://leetcode.com/problems/same-tree
101,Symmetric Tree,"Tree, Depth-first Search, Breadth-first Search",47.1%,Easy,8.27799,https://leetcode.com/problems/symmetric-tree
102,Binary Tree Level Order Traversal,"Tree, Breadth-first Search",54.9%,Medium,7.31124,https://leetcode.com/problems/binary-tree-level-order-traversal
