Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
1,Two Sum,"Array, Hash Table",45.7%,Easy,1.36674,https://leetcode.com/problems/two-sum
2,Add Two Numbers,"Linked List, Math",34.1%,Medium,0.459476,https://leetcode.com/problems/add-two-numbers
3,Longest Substring Without Repeating Characters,"Hash Table, Two Pointers, String, Sliding Window",30.5%,Medium,10.1262,https://leetcode.com/problems/longest-substring-without-repeating-characters
4,Median of Two Sorted Arrays,"Array, Binary Search, Divide and Conquer",29.8%,Hard,2.20545,https://leetcode.com/problems/median-of-two-sorted-arrays
11,Container With Most Water,"Array, Two Pointers",51.1%,Medium,0.834863,https://leetcode.com/problems/container-with-most-water
15,3Sum,"Array, Two Pointers",27.0%,Medium,0.620644,https://leetcode.com/problems/3sum
19,Remove Nth Node From End of List,"Linked List, Two Pointers",35.3%,Medium,2.07595,https://leetcode.com/problems/remove-nth-node-from-end-of-list
21,Merge Two Sorted Lists,Linked List,53.9%,Easy,0.584641,https://leetcode.com/problems/merge-two-sorted-lists
22,Generate Parentheses,"String, Backtracking",63.1%,Medium,2.71525,https://leetcode.com/problems/generate-parentheses
23,Merge k Sorted Lists,"Linked List, Divide and Conquer, Heap",40.6%,Hard,7.19556,https://leetcode.com/problems/merge-k-sorted-lists
25,Reverse Nodes in k-Group,Linked List,42.5%,Hard,66.3914,https://leetcode.com/problems/reverse-nodes-in-k-group
31,Next Permutation,Array,32.7%,Medium,14.087,https://leetcode.com/problems/next-permutation
33,Search in Rotated Sorted Array,"Array, Binary Search",34.7%,Medium,10.9611,https://leetcode.com/problems/search-in-rotated-sorted-array
34,Find First and Last Position of Element in Sorted Array,"Array, Binary Search",36.3%,Medium,4.5549,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array
41,First Missing Positive,Array,32.2%,Hard,1.89813,https://leetcode.com/problems/first-missing-positive
42,Trapping Rain Water,"Array, Two Pointers, Stack",49.2%,Hard,40.5286,https://leetcode.com/problems/trapping-rain-water
44,Wildcard Matching,"String, Dynamic Programming, Backtracking, Greedy",24.8%,Hard,7.79094,https://leetcode.com/problems/wildcard-matching
46,Permutations,Backtracking,64.0%,Medium,4.58107,https://leetcode.com/problems/permutations
51,N-Queens,Backtracking,47.1%,Hard,18.8382,https://leetcode.com/problems/n-queens
53,Maximum Subarray,"Array, Divide and Conquer, Dynamic Programming",46.7%,Easy,1.26557,https://leetcode.com/problems/maximum-subarray
54,Spiral Matrix,Array,34.3%,Medium,3.61659,https://leetcode.com/problems/spiral-matrix
55,Jump Game,"Array, Greedy",34.7%,Medium,1.43314,https://leetcode.com/problems/jump-game
56,Merge Intervals,"Array, Sort",39.5%,Medium,5.69907,https://leetcode.com/problems/merge-intervals
68,Text Justification,String,28.0%,Hard,8.53509,https://leetcode.com/problems/text-justification
72,Edit Distance,"String, Dynamic Programming",45.1%,Hard,10.8924,https://leetcode.com/problems/edit-distance
76,Minimum Window Substring,"Hash Table, Two Pointers, String, Sliding Window",34.9%,Hard,3.82832,https://leetcode.com/problems/minimum-window-substring
78,Subsets,"Array, Backtracking, Bit Manipulation",62.5%,Medium,8.54401,https://leetcode.com/problems/subsets
79,Word Search,"Array, Backtracking",35.8%,Medium,29.3714,https://leetcode.com/problems/word-search
84,Largest Rectangle in Histogram,"Array, Stack",35.5%,Hard,1.95334,https://leetcode.com/problems/largest-rectangle-in-histogram
88,Merge Sorted Array,"Array, Two Pointers",39.6%,Easy,0.810365,https://leetcode.com/problems/merge-sorted-array
92,Reverse Linked List II,Linked List,39.1%,Medium,2.79196,https://leetcode.com/problems/reverse-linked-list-ii
96,Unique Binary Search Trees,"Dynamic Programming, Tree",53.2%,Medium,2.92644,https://leetcode.com/problems/unique-binary-search-trees
98,Validate Binary Search Tree,"Tree, Depth-first Search",27.9%,Medium,0.811809,https://leetcode.com/problems/validate-binary-search-tree
103,Binary Tree Zigzag Level Order Traversal,"Stack, Tree, Breadth-first Search",48.6%,Medium,10.0722,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal
105,Construct Binary Tree from Preorder and Inorder Traversal,"Array, Tree, Depth-first Search",49.3%,Medium,1.78426,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal
110,Balanced Binary Tree,"Tree, Depth-first Search",43.7%,Easy,2.1383,https://leetcode.com/problems/balanced-binary-tree
113,Path Sum II,"Tree, Depth-first Search",47.1%,Medium,2.38848,https://leetcode.com/problems/path-sum-ii
121,Best Time to Buy and Sell Stock,"Array, Dynamic Programming",50.6%,Easy,2.29648,https://leetcode.com/problems/best-time-to-buy-and-sell-stock
