Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
15,3Sum,"Array, Two Pointers",27.0%,Medium,0.863897,https://leetcode.com/problems/3sum
36,Valid Sudoku,Hash Table,49.1%,Medium,2.87036,https://leetcode.com/problems/valid-sudoku
37,Sudoku Solver,"Hash Table, Backtracking",44.0%,Hard,7.20272,https://leetcode.com/problems/sudoku-solver
56,Merge Intervals,"Array, Sort",39.5%,Medium,2.26642,https://leetcode.com/problems/merge-intervals
210,Course Schedule II,"Depth-first Search, Breadth-first Search, Graph, Topological Sort",41.0%,Medium,10.5601,https://leetcode.com/problems/course-schedule-ii
227,Basic Calculator II,String,37.1%,Medium,1.8239,https://leetcode.com/problems/basic-calculator-ii
695,Max Area of Island,"Array, Depth-first Search",63.0%,Medium,100.0,https://leetcode.com/problems/max-area-of-island
759,Employee Free Time,"Heap, Greedy",66.5%,Hard,84.1016,https://leetcode.com/problems/employee-free-time
1174,Immediate Food Delivery II,,58.8%,Medium,21.2078,https://leetcode.com/problems/immediate-food-delivery-ii
1229,Meeting Scheduler,Line Sweep,53.1%,Medium,54.743,https://leetcode.com/problems/meeting-scheduler
1359,Count All Valid Pickup and Delivery Options,"Math, Dynamic Programming",58.1%,Hard,50.5663,https://leetcode.com/problems/count-all-valid-pickup-and-delivery-options
