Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
1,Two Sum,"Array, Hash Table",45.7%,Easy,0.0748757,https://leetcode.com/problems/two-sum
12,Integer to Roman,"Math, String",55.3%,Medium,2.21874,https://leetcode.com/problems/integer-to-roman
13,Roman to Integer,"Math, String",55.9%,Easy,1.72341,https://leetcode.com/problems/roman-to-integer
20,Valid Parentheses,"String, Stack",39.1%,Easy,1.06357,https://leetcode.com/problems/valid-parentheses
21,Merge Two Sorted Lists,Linked List,53.9%,Easy,0.199679,https://leetcode.com/problems/merge-two-sorted-lists
23,Merge k Sorted Lists,"Linked List, Divide and Conquer, Heap",40.6%,Hard,0.176627,https://leetcode.com/problems/merge-k-sorted-lists
33,Search in Rotated Sorted Array,"Array, Binary Search",34.7%,Medium,2.16444,https://leetcode.com/problems/search-in-rotated-sorted-array
34,Find First and Last Position of Element in Sorted Array,"Array, Binary Search",36.3%,Medium,1.54379,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array
39,Combination Sum,"Array, Backtracking",56.5%,Medium,0.247798,https://leetcode.com/problems/combination-sum
40,Combination Sum II,"Array, Backtracking",48.6%,Medium,0.431662,https://leetcode.com/problems/combination-sum-ii
46,Permutations,Backtracking,64.0%,Medium,1.08344,https://leetcode.com/problems/permutations
47,Permutations II,Backtracking,46.8%,Medium,0.406589,https://leetcode.com/problems/permutations-ii
50,"Pow(x, n)","Math, Binary Search",30.5%,Medium,1.95513,https://leetcode.com/problems/powx-n
53,Maximum Subarray,"Array, Divide and Conquer, Dynamic Programming",46.7%,Easy,3.48998,https://leetcode.com/problems/maximum-subarray
56,Merge Intervals,"Array, Sort",39.5%,Medium,2.75174,https://leetcode.com/problems/merge-intervals
57,Insert Interval,"Array, Sort",33.7%,Hard,6.04106,https://leetcode.com/problems/insert-interval
61,Rotate List,"Linked List, Two Pointers",30.2%,Medium,2.5487,https://leetcode.com/problems/rotate-list
65,Valid Number,"Math, String",15.4%,Hard,3.98994,https://leetcode.com/problems/valid-number
68,Text Justification,String,28.0%,Hard,10.5864,https://leetcode.com/problems/text-justification
69,Sqrt(x),"Math, Binary Search",34.1%,Easy,0.216965,https://leetcode.com/problems/sqrtx
70,Climbing Stairs,Dynamic Programming,47.9%,Easy,0.124808,https://leetcode.com/problems/climbing-stairs
72,Edit Distance,"String, Dynamic Programming",45.1%,Hard,1.65532,https://leetcode.com/problems/edit-distance
75,Sort Colors,"Array, Two Pointers, Sort",47.6%,Medium,1.31577,https://leetcode.com/problems/sort-colors
76,Minimum Window Substring,"Hash Table, Two Pointers, String, Sliding Window",34.9%,Hard,3.99302,https://leetcode.com/problems/minimum-window-substring
88,Merge Sorted Array,"Array, Two Pointers",39.6%,Easy,1.09726,https://leetcode.com/problems/merge-sorted-array
101,Symmetric Tree,"Tree, Depth-first Search, Breadth-first Search",47.1%,Easy,1.78345,https://leetcode.com/problems/symmetric-tree
102,Binary Tree Level Order Traversal,"Tree, Breadth-first Search",54.9%,Medium,1.86789,https://leetcode.com/problems/binary-tree-level-order-traversal
103,Binary Tree Zigzag Level Order Traversal,"Stack, Tree, Breadth-first Search",48.6%,Medium,0.248178,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal
127,Word Ladder,Breadth-first Search,29.9%,Medium,2.9157,https://leetcode.com/problems/word-ladder
146,LRU Cache,Design,33.5%,Medium,0.193747,https://leetcode.com/problems/lru-cache
149,Max Points on a Line,"Hash Table, Math",17.0%,Hard,21.1022,https://leetcode.com/problems/max-points-on-a-line
150,Evaluate Reverse Polish Notation,Stack,36.6%,Medium,13.8055,https://leetcode.com/problems/evaluate-reverse-polish-notation
152,Maximum Product Subarray,"Array, Dynamic Programming",31.8%,Medium,4.29642,https://leetcode.com/problems/maximum-product-subarray
156,Binary Tree Upside Down,Tree,55.2%,Medium,40.667,https://leetcode.com/problems/binary-tree-upside-down
160,Intersection of Two Linked Lists,Linked List,41.1%,Easy,0.200374,https://leetcode.com/problems/intersection-of-two-linked-lists
173,Binary Search Tree Iterator,"Stack, Tree, Design",57.1%,Medium,0.381622,https://leetcode.com/problems/binary-search-tree-iterator
200,Number of Islands,"Depth-first Search, Breadth-first Search, Union Find",47.1%,Medium,0.261527,https://leetcode.com/problems/number-of-islands
205,Isomorphic Strings,Hash Table,39.9%,Easy,0.50143,https://leetcode.com/problems/isomorphic-strings
207,Course Schedule,"Depth-first Search, Breadth-first Search, Graph, Topological Sort",43.3%,Medium,0.223621,https://leetcode.com/problems/course-schedule
215,Kth Largest Element in an Array,"Divide and Conquer, Heap",55.8%,Medium,3.55531,https://leetcode.com/problems/kth-largest-element-in-an-array
235,Lowest Common Ancestor of a Binary Search Tree,Tree,50.2%,Easy,3.16313,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree
236,Lowest Common Ancestor of a Binary Tree,Tree,46.2%,Medium,0.811661,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree
243,Shortest Word Distance,Array,61.1%,Easy,24.0565,https://leetcode.com/problems/shortest-word-distance
244,Shortest Word Distance II,"Hash Table, Design",52.5%,Medium,84.5791,https://leetcode.com/problems/shortest-word-distance-ii
254,Factor Combinations,Backtracking,46.8%,Medium,62.4248,https://leetcode.com/problems/factor-combinations
256,Paint House,Dynamic Programming,52.2%,Easy,18.1353,https://leetcode.com/problems/paint-house
261,Graph Valid Tree,"Depth-first Search, Breadth-first Search, Union Find, Graph",42.3%,Medium,5.22799,https://leetcode.com/problems/graph-valid-tree
265,Paint House II,Dynamic Programming,44.8%,Hard,10.5032,https://leetcode.com/problems/paint-house-ii
272,Closest Binary Search Tree Value II,"Stack, Tree",50.7%,Hard,69.1582,https://leetcode.com/problems/closest-binary-search-tree-value-ii
273,Integer to English Words,"Math, String",27.2%,Hard,0.576065,https://leetcode.com/problems/integer-to-english-words
277,Find the Celebrity,Array,42.1%,Medium,4.38246,https://leetcode.com/problems/find-the-celebrity
297,Serialize and Deserialize Binary Tree,"Tree, Design",47.8%,Hard,9.80988,https://leetcode.com/problems/serialize-and-deserialize-binary-tree
339,Nested List Weight Sum,Depth-first Search,74.2%,Easy,26.4053,https://leetcode.com/problems/nested-list-weight-sum
341,Flatten Nested List Iterator,"Stack, Design",53.1%,Medium,1.8591,https://leetcode.com/problems/flatten-nested-list-iterator
