Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
1,Two Sum,"Array, Hash Table",45.7%,Easy,7.57886,https://leetcode.com/problems/two-sum
2,Add Two Numbers,"Linked List, Math",34.1%,Medium,1.30261,https://leetcode.com/problems/add-two-numbers
3,Longest Substring Without Repeating Characters,"Hash Table, Two Pointers, String, Sliding Window",30.5%,Medium,4.65494,https://leetcode.com/problems/longest-substring-without-repeating-characters
8,String to Integer (atoi),"Math, String",15.4%,Medium,6.81414,https://leetcode.com/problems/string-to-integer-atoi
15,3Sum,"Array, Two Pointers",27.0%,Medium,7.01765,https://leetcode.com/problems/3sum
20,Valid Parentheses,"String, Stack",39.1%,Easy,25.8287,https://leetcode.com/problems/valid-parentheses
21,Merge Two Sorted Lists,Linked List,53.9%,Easy,1.65746,https://leetcode.com/problems/merge-two-sorted-lists
23,Merge k Sorted Lists,"Linked List, Divide and Conquer, Heap",40.6%,Hard,3.29498,https://leetcode.com/problems/merge-k-sorted-lists
28,Implement strStr(),"Two Pointers, String",34.6%,Easy,3.05278,https://leetcode.com/problems/implement-strstr
32,Longest Valid Parentheses,"String, Dynamic Programming",28.5%,Hard,6.97502,https://leetcode.com/problems/longest-valid-parentheses
33,Search in Rotated Sorted Array,"Array, Binary Search",34.7%,Medium,5.78821,https://leetcode.com/problems/search-in-rotated-sorted-array
36,Valid Sudoku,Hash Table,49.1%,Medium,5.86263,https://leetcode.com/problems/valid-sudoku
39,Combination Sum,"Array, Backtracking",56.5%,Medium,4.62267,https://leetcode.com/problems/combination-sum
49,Group Anagrams,"Hash Table, String",57.3%,Medium,36.2126,https://leetcode.com/problems/group-anagrams
50,"Pow(x, n)","Math, Binary Search",30.5%,Medium,4.12597,https://leetcode.com/problems/powx-n
56,Merge Intervals,"Array, Sort",39.5%,Medium,23.1754,https://leetcode.com/problems/merge-intervals
63,Unique Paths II,"Array, Dynamic Programming",34.7%,Medium,7.12057,https://leetcode.com/problems/unique-paths-ii
80,Remove Duplicates from Sorted Array II,"Array, Two Pointers",44.2%,Medium,12.371,https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii
88,Merge Sorted Array,"Array, Two Pointers",39.6%,Easy,2.29738,https://leetcode.com/problems/merge-sorted-array
93,Restore IP Addresses,"String, Backtracking",36.0%,Medium,15.4322,https://leetcode.com/problems/restore-ip-addresses
97,Interleaving String,"String, Dynamic Programming",31.7%,Hard,38.6515,https://leetcode.com/problems/interleaving-string
98,Validate Binary Search Tree,"Tree, Depth-first Search",27.9%,Medium,2.30148,https://leetcode.com/problems/validate-binary-search-tree
102,Binary Tree Level Order Traversal,"Tree, Breadth-first Search",54.9%,Medium,2.89541,https://leetcode.com/problems/binary-tree-level-order-traversal
108,Convert Sorted Array to Binary Search Tree,"Tree, Depth-first Search",58.4%,Easy,4.6813,https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree
121,Best Time to Buy and Sell Stock,"Array, Dynamic Programming",50.6%,Easy,1.63203,https://leetcode.com/problems/best-time-to-buy-and-sell-stock
133,Clone Graph,"Depth-first Search, Breadth-first Search, Graph",35.4%,Medium,6.13612,https://leetcode.com/problems/clone-graph
139,Word Break,Dynamic Programming,40.3%,Medium,3.58888,https://leetcode.com/problems/word-break
146,LRU Cache,Design,33.5%,Medium,100.0,https://leetcode.com/problems/lru-cache
150,Evaluate Reverse Polish Notation,Stack,36.6%,Medium,11.8405,https://leetcode.com/problems/evaluate-reverse-polish-notation
151,Reverse Words in a String,String,22.1%,Medium,7.23161,https://leetcode.com/problems/reverse-words-in-a-string
168,Excel Sheet Column Title,Math,31.2%,Easy,12.8091,https://leetcode.com/problems/excel-sheet-column-title
206,Reverse Linked List,Linked List,63.0%,Easy,1.70063,https://leetcode.com/problems/reverse-linked-list
221,Maximal Square,Dynamic Programming,37.8%,Medium,8.07062,https://leetcode.com/problems/maximal-square
226,Invert Binary Tree,Tree,65.3%,Easy,8.69347,https://leetcode.com/problems/invert-binary-tree
255,Verify Preorder Sequence in Binary Search Tree,"Stack, Tree",45.7%,Medium,80.0795,https://leetcode.com/problems/verify-preorder-sequence-in-binary-search-tree
269,Alien Dictionary,"Graph, Topological Sort",33.3%,Hard,23.3215,https://leetcode.com/problems/alien-dictionary
277,Find the Celebrity,Array,42.1%,Medium,21.142,https://leetcode.com/problems/find-the-celebrity
297,Serialize and Deserialize Binary Tree,"Tree, Design",47.8%,Hard,5.61683,https://leetcode.com/problems/serialize-and-deserialize-binary-tree
322,Coin Change,Dynamic Programming,35.8%,Medium,11.1713,https://leetcode.com/problems/coin-change
347,Top K Frequent Elements,"Hash Table, Heap",61.4%,Medium,4.39732,https://leetcode.com/problems/top-k-frequent-elements
380,Insert Delete GetRandom O(1),"Array, Hash Table, Design",47.7%,Medium,7.68157,https://leetcode.com/problems/insert-delete-getrandom-o1
416,Partition Equal Subset Sum,Dynamic Programming,43.9%,Medium,6.80445,https://leetcode.com/problems/partition-equal-subset-sum
460,LFU Cache,Design,34.5%,Hard,25.6558,https://leetcode.com/problems/lfu-cache
609,Find Duplicate File in System,"Hash Table, String",59.8%,Medium,34.5527,https://leetcode.com/problems/find-duplicate-file-in-system
697,Degree of an Array,Array,53.9%,Easy,50.1902,https://leetcode.com/problems/degree-of-an-array
706,Design HashMap,"Hash Table, Design",61.6%,Easy,28.4198,https://leetcode.com/problems/design-hashmap
720,Longest Word in Dictionary,"Hash Table, Trie",48.4%,Easy,29.6521,https://leetcode.com/problems/longest-word-in-dictionary
733,Flood Fill,Depth-first Search,55.4%,Easy,9.19955,https://leetcode.com/problems/flood-fill
905,Sort Array By Parity,Array,74.9%,Easy,3.33679,https://leetcode.com/problems/sort-array-by-parity
977,Squares of a Sorted Array,"Array, Two Pointers",72.2%,Easy,2.88479,https://leetcode.com/problems/squares-of-a-sorted-array
981,Time Based Key-Value Store,"Hash Table, Binary Search",53.1%,Medium,39.6303,https://leetcode.com/problems/time-based-key-value-store
1048,Longest String Chain,"Hash Table, Dynamic Programming",54.8%,Medium,60.159,https://leetcode.com/problems/longest-string-chain
