Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
1,Two Sum,"Array, Hash Table",45.7%,Easy,4.25895,https://leetcode.com/problems/two-sum
15,3Sum,"Array, Two Pointers",27.0%,Medium,6.78579,https://leetcode.com/problems/3sum
20,Valid Parentheses,"String, Stack",39.1%,Easy,6.31028,https://leetcode.com/problems/valid-parentheses
42,Trapping Rain Water,"Array, Two Pointers, Stack",49.2%,Hard,44.154,https://leetcode.com/problems/trapping-rain-water
54,Spiral Matrix,Array,34.3%,Medium,17.5955,https://leetcode.com/problems/spiral-matrix
76,Minimum Window Substring,"Hash Table, Two Pointers, String, Sliding Window",34.9%,Hard,18.6256,https://leetcode.com/problems/minimum-window-substring
98,Validate Binary Search Tree,"Tree, Depth-first Search",27.9%,Medium,8.87257,https://leetcode.com/problems/validate-binary-search-tree
121,Best Time to Buy and Sell Stock,"Array, Dynamic Programming",50.6%,Easy,2.80077,https://leetcode.com/problems/best-time-to-buy-and-sell-stock
189,Rotate Array,Array,35.0%,Easy,5.42863,https://leetcode.com/problems/rotate-array
200,Number of Islands,"Depth-first Search, Breadth-first Search, Union Find",47.1%,Medium,3.72674,https://leetcode.com/problems/number-of-islands
206,Reverse Linked List,Linked List,63.0%,Easy,2.91849,https://leetcode.com/problems/reverse-linked-list
253,Meeting Rooms II,"Heap, Greedy, Sort",45.8%,Medium,9.83468,https://leetcode.com/problems/meeting-rooms-ii
362,Design Hit Counter,Design,63.9%,Medium,31.7212,https://leetcode.com/problems/design-hit-counter
380,Insert Delete GetRandom O(1),"Array, Hash Table, Design",47.7%,Medium,13.1826,https://leetcode.com/problems/insert-delete-getrandom-o1
383,Ransom Note,String,53.1%,Easy,60.1331,https://leetcode.com/problems/ransom-note
498,Diagonal Traverse,,48.4%,Medium,73.5251,https://leetcode.com/problems/diagonal-traverse
761,Special Binary String,"String, Recursion",55.0%,Hard,100.0,https://leetcode.com/problems/special-binary-string
1353,Maximum Number of Events That Can Be Attended,"Greedy, Sort, Segment Tree",30.3%,Medium,84.0209,https://leetcode.com/problems/maximum-number-of-events-that-can-be-attended
