Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
1,Two Sum,"Array, Hash Table",45.7%,Easy,14.6701,https://leetcode.com/problems/two-sum
2,Add Two Numbers,"Linked List, Math",34.1%,Medium,4.58148,https://leetcode.com/problems/add-two-numbers
3,Longest Substring Without Repeating Characters,"Hash Table, Two Pointers, String, Sliding Window",30.5%,Medium,24.3822,https://leetcode.com/problems/longest-substring-without-repeating-characters
5,Longest Palindromic Substring,"String, Dynamic Programming",29.6%,Medium,11.2148,https://leetcode.com/problems/longest-palindromic-substring
7,Reverse Integer,Math,25.8%,Easy,0.719732,https://leetcode.com/problems/reverse-integer
8,String to Integer (atoi),"Math, String",15.4%,Medium,1.51401,https://leetcode.com/problems/string-to-integer-atoi
14,Longest Common Prefix,String,35.5%,Easy,1.28725,https://leetcode.com/problems/longest-common-prefix
15,3Sum,"Array, Two Pointers",27.0%,Medium,0.390943,https://leetcode.com/problems/3sum
17,Letter Combinations of a Phone Number,"String, Backtracking",47.1%,Medium,0.746934,https://leetcode.com/problems/letter-combinations-of-a-phone-number
20,Valid Parentheses,"String, Stack",39.1%,Easy,4.4084,https://leetcode.com/problems/valid-parentheses
21,Merge Two Sorted Lists,Linked List,53.9%,Easy,2.29066,https://leetcode.com/problems/merge-two-sorted-lists
22,Generate Parentheses,"String, Backtracking",63.1%,Medium,1.71033,https://leetcode.com/problems/generate-parentheses
23,Merge k Sorted Lists,"Linked List, Divide and Conquer, Heap",40.6%,Hard,0.732101,https://leetcode.com/problems/merge-k-sorted-lists
25,Reverse Nodes in k-Group,Linked List,42.5%,Hard,7.11156,https://leetcode.com/problems/reverse-nodes-in-k-group
26,Remove Duplicates from Sorted Array,"Array, Two Pointers",45.4%,Easy,0.324073,https://leetcode.com/problems/remove-duplicates-from-sorted-array
33,Search in Rotated Sorted Array,"Array, Binary Search",34.7%,Medium,3.55226,https://leetcode.com/problems/search-in-rotated-sorted-array
46,Permutations,Backtracking,64.0%,Medium,0.725296,https://leetcode.com/problems/permutations
48,Rotate Image,Array,57.3%,Medium,41.4703,https://leetcode.com/problems/rotate-image
