Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
17,Letter Combinations of a Phone Number,"String, Backtracking",47.1%,Medium,0.366851,https://leetcode.com/problems/letter-combinations-of-a-phone-number
28,Implement strStr(),"Two Pointers, String",34.6%,Easy,0.0837467,https://leetcode.com/problems/implement-strstr
64,Minimum Path Sum,"Array, Dynamic Programming",54.8%,Medium,0.30168,https://leetcode.com/problems/minimum-path-sum
146,LRU Cache,Design,33.5%,Medium,2.8368,https://leetcode.com/problems/lru-cache
239,Sliding Window Maximum,"Heap, Sliding Window",43.4%,Hard,0.595923,https://leetcode.com/problems/sliding-window-maximum
289,Game of Life,Array,54.9%,Medium,79.0847,https://leetcode.com/problems/game-of-life
362,Design Hit Counter,Design,63.9%,Medium,1.96893,https://leetcode.com/problems/design-hit-counter
379,Design Phone Directory,"Linked List, Design",46.9%,Medium,57.583,https://leetcode.com/problems/design-phone-directory
547,Friend Circles,"Depth-first Search, Union Find",58.9%,Medium,1.32978,https://leetcode.com/problems/friend-circles
609,Find Duplicate File in System,"Hash Table, String",59.8%,Medium,100.0,https://leetcode.com/problems/find-duplicate-file-in-system
642,Design Search Autocomplete System,"Design, Trie",45.0%,Hard,8.59139,https://leetcode.com/problems/design-search-autocomplete-system
924,Minimize Malware Spread,"Depth-first Search, Union Find",41.9%,Hard,86.762,https://leetcode.com/problems/minimize-malware-spread
928,Minimize Malware Spread II,"Depth-first Search, Union Find, Graph",40.7%,Hard,36.0813,https://leetcode.com/problems/minimize-malware-spread-ii
1001,Grid Illumination,Hash Table,36.0%,Hard,5.29831,https://leetcode.com/problems/grid-illumination
1010,Pairs of Songs With Total Durations Divisible by 60,Array,47.3%,Easy,1.77274,https://leetcode.com/problems/pairs-of-songs-with-total-durations-divisible-by-60
1178,Number of Valid Words for Each Puzzle,"Hash Table, Bit Manipulation",38.0%,Hard,18.3573,https://leetcode.com/problems/number-of-valid-words-for-each-puzzle
1242,Web Crawler Multithreaded,"Depth-first Search, Breadth-first Search",45.5%,Medium,12.6541,https://leetcode.com/problems/web-crawler-multithreaded
