Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
1,Two Sum,"Array, Hash Table",45.7%,Easy,8.39392,https://leetcode.com/problems/two-sum
2,Add Two Numbers,"Linked List, Math",34.1%,Medium,4.40941,https://leetcode.com/problems/add-two-numbers
3,Longest Substring Without Repeating Characters,"Hash Table, Two Pointers, String, Sliding Window",30.5%,Medium,10.9365,https://leetcode.com/problems/longest-substring-without-repeating-characters
4,Median of Two Sorted Arrays,"Array, Binary Search, Divide and Conquer",29.8%,Hard,4.1925,https://leetcode.com/problems/median-of-two-sorted-arrays
5,Longest Palindromic Substring,"String, Dynamic Programming",29.6%,Medium,5.80171,https://leetcode.com/problems/longest-palindromic-substring
21,Merge Two Sorted Lists,Linked List,53.9%,Easy,2.49583,https://leetcode.com/problems/merge-two-sorted-lists
42,Trapping Rain Water,"Array, Two Pointers, Stack",49.2%,Hard,4.35961,https://leetcode.com/problems/trapping-rain-water
43,Multiply Strings,"Math, String",34.1%,Medium,11.4503,https://leetcode.com/problems/multiply-strings
45,Jump Game II,"Array, Greedy",30.7%,Hard,11.3218,https://leetcode.com/problems/jump-game-ii
54,Spiral Matrix,Array,34.3%,Medium,6.88349,https://leetcode.com/problems/spiral-matrix
69,Sqrt(x),"Math, Binary Search",34.1%,Easy,6.09478,https://leetcode.com/problems/sqrtx
70,Climbing Stairs,Dynamic Programming,47.9%,Easy,3.50598,https://leetcode.com/problems/climbing-stairs
84,Largest Rectangle in Histogram,"Array, Stack",35.5%,Hard,8.33881,https://leetcode.com/problems/largest-rectangle-in-histogram
91,Decode Ways,"String, Dynamic Programming",24.9%,Medium,5.64387,https://leetcode.com/problems/decode-ways
151,Reverse Words in a String,String,22.1%,Medium,10.8895,https://leetcode.com/problems/reverse-words-in-a-string
221,Maximal Square,Dynamic Programming,37.8%,Medium,100.0,https://leetcode.com/problems/maximal-square
355,Design Twitter,"Hash Table, Heap, Design",30.4%,Medium,78.1664,https://leetcode.com/problems/design-twitter
387,First Unique Character in a String,"Hash Table, String",53.4%,Easy,5.10918,https://leetcode.com/problems/first-unique-character-in-a-string
394,Decode String,"Stack, Depth-first Search",50.4%,Medium,50.5073,https://leetcode.com/problems/decode-string
617,Merge Two Binary Trees,Tree,74.3%,Easy,22.8482,https://leetcode.com/problems/merge-two-binary-trees
