Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
1,Two Sum,"Array, Hash Table",45.7%,Easy,2.05284,https://leetcode.com/problems/two-sum
8,String to Integer (atoi),"Math, String",15.4%,Medium,0.920859,https://leetcode.com/problems/string-to-integer-atoi
12,Integer to Roman,"Math, String",55.3%,Medium,2.71329,https://leetcode.com/problems/integer-to-roman
13,Roman to Integer,"Math, String",55.9%,Easy,1.42697,https://leetcode.com/problems/roman-to-integer
20,Valid Parentheses,"String, Stack",39.1%,Easy,8.24885,https://leetcode.com/problems/valid-parentheses
21,Merge Two Sorted Lists,Linked List,53.9%,Easy,0.127263,https://leetcode.com/problems/merge-two-sorted-lists
23,Merge k Sorted Lists,"Linked List, Divide and Conquer, Heap",40.6%,Hard,0.696932,https://leetcode.com/problems/merge-k-sorted-lists
33,Search in Rotated Sorted Array,"Array, Binary Search",34.7%,Medium,4.59958,https://leetcode.com/problems/search-in-rotated-sorted-array
34,Find First and Last Position of Element in Sorted Array,"Array, Binary Search",36.3%,Medium,3.76056,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array
39,Combination Sum,"Array, Backtracking",56.5%,Medium,1.39313,https://leetcode.com/problems/combination-sum
40,Combination Sum II,"Array, Backtracking",48.6%,Medium,1.08606,https://leetcode.com/problems/combination-sum-ii
46,Permutations,Backtracking,64.0%,Medium,5.04016,https://leetcode.com/problems/permutations
47,Permutations II,Backtracking,46.8%,Medium,7.01222,https://leetcode.com/problems/permutations-ii
50,"Pow(x, n)","Math, Binary Search",30.5%,Medium,9.73541,https://leetcode.com/problems/powx-n
53,Maximum Subarray,"Array, Divide and Conquer, Dynamic Programming",46.7%,Easy,13.3621,https://leetcode.com/problems/maximum-subarray
54,Spiral Matrix,Array,34.3%,Medium,0.350288,https://leetcode.com/problems/spiral-matrix
56,Merge Intervals,"Array, Sort",39.5%,Medium,6.4868,https://leetcode.com/problems/merge-intervals
57,Insert Interval,"Array, Sort",33.7%,Hard,13.1564,https://leetcode.com/problems/insert-interval
61,Rotate List,"Linked List, Two Pointers",30.2%,Medium,3.10733,https://leetcode.com/problems/rotate-list
65,Valid Number,"Math, String",15.4%,Hard,26.6936,https://leetcode.com/problems/valid-number
68,Text Justification,String,28.0%,Hard,31.0912,https://leetcode.com/problems/text-justification
69,Sqrt(x),"Math, Binary Search",34.1%,Easy,2.14147,https://leetcode.com/problems/sqrtx
70,Climbing Stairs,Dynamic Programming,47.9%,Easy,0.0795446,https://leetcode.com/problems/climbing-stairs
72,Edit Distance,"String, Dynamic Programming",45.1%,Hard,10.9537,https://leetcode.com/problems/edit-distance
75,Sort Colors,"Array, Two Pointers, Sort",47.6%,Medium,0.838589,https://leetcode.com/problems/sort-colors
