Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
1,Two Sum,"Array, Hash Table",45.7%,Easy,0.0269914,https://leetcode.com/problems/two-sum
2,Add Two Numbers,"Linked List, Math",34.1%,Medium,0.0566112,https://leetcode.com/problems/add-two-numbers
7,Reverse Integer,Math,25.8%,Easy,0.389816,https://leetcode.com/problems/reverse-integer
10,Regular Expression Matching,"String, Dynamic Programming, Backtracking",26.9%,Hard,1.48952,https://leetcode.com/problems/regular-expression-matching
11,Container With Most Water,"Array, Two Pointers",51.1%,Medium,0.231061,https://leetcode.com/problems/container-with-most-water
17,Letter Combinations of a Phone Number,"String, Backtracking",47.1%,Medium,0.90434,https://leetcode.com/problems/letter-combinations-of-a-phone-number
20,Valid Parentheses,"String, Stack",39.1%,Easy,0.635351,https://leetcode.com/problems/valid-parentheses
21,Merge Two Sorted Lists,Linked List,53.9%,Easy,0.0720324,https://leetcode.com/problems/merge-two-sorted-lists
22,Generate Parentheses,"String, Backtracking",63.1%,Medium,1.32141,https://leetcode.com/problems/generate-parentheses
23,Merge k Sorted Lists,"Linked List, Divide and Conquer, Heap",40.6%,Hard,0.88655,https://leetcode.com/problems/merge-k-sorted-lists
24,Swap Nodes in Pairs,Linked List,50.8%,Medium,0.217644,https://leetcode.com/problems/swap-nodes-in-pairs
42,Trapping Rain Water,"Array, Two Pointers, Stack",49.2%,Hard,9.07479,https://leetcode.com/problems/trapping-rain-water
48,Rotate Image,Array,57.3%,Medium,0.6355,https://leetcode.com/problems/rotate-image
68,Text Justification,String,28.0%,Hard,2.32771,https://leetcode.com/problems/text-justification
69,Sqrt(x),"Math, Binary Search",34.1%,Easy,0.698934,https://leetcode.com/problems/sqrtx
76,Minimum Window Substring,"Hash Table, Two Pointers, String, Sliding Window",34.9%,Hard,4.0542,https://leetcode.com/problems/minimum-window-substring
78,Subsets,"Array, Backtracking, Bit Manipulation",62.5%,Medium,0.382225,https://leetcode.com/problems/subsets
79,Word Search,"Array, Backtracking",35.8%,Medium,0.186747,https://leetcode.com/problems/word-search
88,Merge Sorted Array,"Array, Two Pointers",39.6%,Easy,0.397861,https://leetcode.com/problems/merge-sorted-array
91,Decode Ways,"String, Dynamic Programming",24.9%,Medium,1.95032,https://leetcode.com/problems/decode-ways
109,Convert Sorted List to Binary Search Tree,"Linked List, Depth-first Search",48.1%,Medium,3.15789,https://leetcode.com/problems/convert-sorted-list-to-binary-search-tree
121,Best Time to Buy and Sell Stock,"Array, Dynamic Programming",50.6%,Easy,0.0709274,https://leetcode.com/problems/best-time-to-buy-and-sell-stock
126,Word Ladder II,"Array, String, Backtracking, Breadth-first Search",22.4%,Hard,0.614809,https://leetcode.com/problems/word-ladder-ii
127,Word Ladder,Breadth-first Search,29.9%,Medium,14.7848,https://leetcode.com/problems/word-ladder
146,LRU Cache,Design,33.5%,Medium,0.62458,https://leetcode.com/problems/lru-cache
155,Min Stack,"Stack, Design",44.8%,Easy,0.156499,https://leetcode.com/problems/min-stack
158,Read N Characters Given Read4 II - Call multiple times,String,34.2%,Hard,49.3144,https://leetcode.com/problems/read-n-characters-given-read4-ii-call-multiple-times
162,Find Peak Element,"Array, Binary Search",43.4%,Medium,0.216534,https://leetcode.com/problems/find-peak-element
200,Number of Islands,"Depth-first Search, Breadth-first Search, Union Find",47.1%,Medium,6.99297,https://leetcode.com/problems/number-of-islands
238,Product of Array Except Self,Array,60.3%,Medium,69.4647,https://leetcode.com/problems/product-of-array-except-self
239,Sliding Window Maximum,"Heap, Sliding Window",43.4%,Hard,0.533826,https://leetcode.com/problems/sliding-window-maximum
251,Flatten 2D Vector,Design,45.8%,Medium,5.29511,https://leetcode.com/problems/flatten-2d-vector
253,Meeting Rooms II,"Heap, Greedy, Sort",45.8%,Medium,0.986891,https://leetcode.com/problems/meeting-rooms-ii
279,Perfect Squares,"Math, Dynamic Programming, Breadth-first Search",47.6%,Medium,3.46394,https://leetcode.com/problems/perfect-squares
283,Move Zeroes,"Array, Two Pointers",58.0%,Easy,0.0958033,https://leetcode.com/problems/move-zeroes
303,Range Sum Query - Immutable,Dynamic Programming,45.2%,Easy,0.464967,https://leetcode.com/problems/range-sum-query-immutable
304,Range Sum Query 2D - Immutable,Dynamic Programming,38.9%,Medium,7.88653,https://leetcode.com/problems/range-sum-query-2d-immutable
333,Largest BST Subtree,Tree,36.0%,Medium,4.48786,https://leetcode.com/problems/largest-bst-subtree
341,Flatten Nested List Iterator,"Stack, Design",53.1%,Medium,0.677034,https://leetcode.com/problems/flatten-nested-list-iterator
349,Intersection of Two Arrays,"Hash Table, Two Pointers, Binary Search, Sort",62.9%,Easy,8.74796,https://leetcode.com/problems/intersection-of-two-arrays
365,Water and Jug Problem,Math,30.6%,Medium,38.2229,https://leetcode.com/problems/water-and-jug-problem
409,Longest Palindrome,Hash Table,51.8%,Easy,0.63595,https://leetcode.com/problems/longest-palindrome
426,Convert Binary Search Tree to Sorted Doubly Linked List,"Linked List, Divide and Conquer, Tree",59.4%,Medium,5.16774,https://leetcode.com/problems/convert-binary-search-tree-to-sorted-doubly-linked-list
442,Find All Duplicates in an Array,Array,67.9%,Medium,0.8062,https://leetcode.com/problems/find-all-duplicates-in-an-array
567,Permutation in String,"Two Pointers, Sliding Window",44.4%,Medium,0.491114,https://leetcode.com/problems/permutation-in-string
642,Design Search Autocomplete System,"Design, Trie",45.0%,Hard,31.2757,https://leetcode.com/problems/design-search-autocomplete-system
