Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
14,Longest Common Prefix,String,35.5%,Easy,0.991504,https://leetcode.com/problems/longest-common-prefix
15,3Sum,"Array, Two Pointers",27.0%,Medium,0.920968,https://leetcode.com/problems/3sum
31,Next Permutation,Array,32.7%,Medium,0.776092,https://leetcode.com/problems/next-permutation
39,Combination Sum,"Array, Backtracking",56.5%,Medium,0.447831,https://leetcode.com/problems/combination-sum
48,Rotate Image,Array,57.3%,Medium,0.356538,https://leetcode.com/problems/rotate-image
113,Path Sum II,"Tree, Depth-first Search",47.1%,Medium,2.55666,https://leetcode.com/problems/path-sum-ii
162,Find Peak Element,"Array, Binary Search",43.4%,Medium,2.55797,https://leetcode.com/problems/find-peak-element
198,House Robber,Dynamic Programming,42.1%,Easy,0.123239,https://leetcode.com/problems/house-robber
253,Meeting Rooms II,"Heap, Greedy, Sort",45.8%,Medium,2.17327,https://leetcode.com/problems/meeting-rooms-ii
297,Serialize and Deserialize Binary Tree,"Tree, Design",47.8%,Hard,14.5176,https://leetcode.com/problems/serialize-and-deserialize-binary-tree
380,Insert Delete GetRandom O(1),"Array, Hash Table, Design",47.7%,Medium,3.88232,https://leetcode.com/problems/insert-delete-getrandom-o1
390,Elimination Game,,44.5%,Medium,3.48986,https://leetcode.com/problems/elimination-game
437,Path Sum III,Tree,47.3%,Medium,2.50495,https://leetcode.com/problems/path-sum-iii
452,Minimum Number of Arrows to Burst Balloons,Greedy,49.7%,Medium,2.27306,https://leetcode.com/problems/minimum-number-of-arrows-to-burst-balloons
498,Diagonal Traverse,,48.4%,Medium,11.5777,https://leetcode.com/problems/diagonal-traverse
525,Contiguous Array,Hash Table,42.9%,Medium,18.1551,https://leetcode.com/problems/contiguous-array
560,Subarray Sum Equals K,"Array, Hash Table",43.8%,Medium,0.134079,https://leetcode.com/problems/subarray-sum-equals-k
780,Reaching Points,Math,29.6%,Hard,3.0505,https://leetcode.com/problems/reaching-points
852,Peak Index in a Mountain Array,Binary Search,71.7%,Easy,1.7097,https://leetcode.com/problems/peak-index-in-a-mountain-array
855,Exam Room,Ordered Map,43.2%,Medium,59.0775,https://leetcode.com/problems/exam-room
923,3Sum With Multiplicity,Two Pointers,35.7%,Medium,100.0,https://leetcode.com/problems/3sum-with-multiplicity
1027,Longest Arithmetic Subsequence,Dynamic Programming,52.3%,Medium,4.24411,https://leetcode.com/problems/longest-arithmetic-subsequence
1053,Previous Permutation With One Swap,"Array, Greedy",48.5%,Medium,7.50264,https://leetcode.com/problems/previous-permutation-with-one-swap
1329,Sort the Matrix Diagonally,"Array, Sort",78.5%,Medium,2.81582,https://leetcode.com/problems/sort-the-matrix-diagonally
