Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
15,3Sum,"Array, Two Pointers",27.0%,Medium,0.537476,https://leetcode.com/problems/3sum
17,Letter Combinations of a Phone Number,"String, Backtracking",47.1%,Medium,1.0269,https://leetcode.com/problems/letter-combinations-of-a-phone-number
39,Combination Sum,"Array, Backtracking",56.5%,Medium,1.41207,https://leetcode.com/problems/combination-sum
72,Edit Distance,"String, Dynamic Programming",45.1%,Hard,35.9399,https://leetcode.com/problems/edit-distance
91,Decode Ways,"String, Dynamic Programming",24.9%,Medium,10.1372,https://leetcode.com/problems/decode-ways
105,Construct Binary Tree from Preorder and Inorder Traversal,"Array, Tree, Depth-first Search",49.3%,Medium,1.54516,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal
127,Word Ladder,Breadth-first Search,29.9%,Medium,8.60188,https://leetcode.com/problems/word-ladder
139,Word Break,Dynamic Programming,40.3%,Medium,1.09628,https://leetcode.com/problems/word-break
165,Compare Version Numbers,String,27.6%,Medium,10.509,https://leetcode.com/problems/compare-version-numbers
200,Number of Islands,"Depth-first Search, Breadth-first Search, Union Find",47.1%,Medium,0.663351,https://leetcode.com/problems/number-of-islands
208,Implement Trie (Prefix Tree),"Design, Trie",49.9%,Medium,2.00936,https://leetcode.com/problems/implement-trie-prefix-tree
210,Course Schedule II,"Depth-first Search, Breadth-first Search, Graph, Topological Sort",41.0%,Medium,1.68002,https://leetcode.com/problems/course-schedule-ii
269,Alien Dictionary,"Graph, Topological Sort",33.3%,Hard,3.1889,https://leetcode.com/problems/alien-dictionary
271,Encode and Decode Strings,String,31.7%,Medium,100.0,https://leetcode.com/problems/encode-and-decode-strings
273,Integer to English Words,"Math, String",27.2%,Hard,7.33196,https://leetcode.com/problems/integer-to-english-words
277,Find the Celebrity,Array,42.1%,Medium,6.45817,https://leetcode.com/problems/find-the-celebrity
332,Reconstruct Itinerary,"Depth-first Search, Graph",36.9%,Medium,3.54722,https://leetcode.com/problems/reconstruct-itinerary
336,Palindrome Pairs,"Hash Table, String, Trie",33.8%,Hard,80.1447,https://leetcode.com/problems/palindrome-pairs
388,Longest Absolute File Path,,41.8%,Medium,27.9264,https://leetcode.com/problems/longest-absolute-file-path
415,Add Strings,String,47.7%,Easy,7.40995,https://leetcode.com/problems/add-strings
824,Goat Latin,String,65.9%,Easy,3.72416,https://leetcode.com/problems/goat-latin
969,Pancake Sorting,"Array, Sort",68.2%,Medium,5.79472,https://leetcode.com/problems/pancake-sorting
981,Time Based Key-Value Store,"Hash Table, Binary Search",53.1%,Medium,5.44593,https://leetcode.com/problems/time-based-key-value-store
999,Available Captures for Rook,Array,66.7%,Easy,60.2894,https://leetcode.com/problems/available-captures-for-rook
1336,Number of Transactions per Visit,,44.7%,Hard,42.0943,https://leetcode.com/problems/number-of-transactions-per-visit
