Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
1,Two Sum,"Array, Hash Table",45.7%,Easy,4.17633,https://leetcode.com/problems/two-sum
23,Merge k Sorted Lists,"Linked List, Divide and Conquer, Heap",40.6%,Hard,9.85172,https://leetcode.com/problems/merge-k-sorted-lists
42,Trapping Rain Water,"Array, Two Pointers, Stack",49.2%,Hard,8.65633,https://leetcode.com/problems/trapping-rain-water
51,N-Queens,Backtracking,47.1%,Hard,40.8129,https://leetcode.com/problems/n-queens
88,Merge Sorted Array,"Array, Two Pointers",39.6%,Easy,6.86898,https://leetcode.com/problems/merge-sorted-array
121,Best Time to Buy and Sell Stock,"Array, Dynamic Programming",50.6%,Easy,10.9668,https://leetcode.com/problems/best-time-to-buy-and-sell-stock
200,Number of Islands,"Depth-first Search, Breadth-first Search, Union Find",47.1%,Medium,25.8785,https://leetcode.com/problems/number-of-islands
218,The Skyline Problem,"Divide and Conquer, Heap, Binary Indexed Tree, Segment Tree, Line Sweep",34.7%,Hard,62.7725,https://leetcode.com/problems/the-skyline-problem
227,Basic Calculator II,String,37.1%,Medium,55.84,https://leetcode.com/problems/basic-calculator-ii
238,Product of Array Except Self,Array,60.3%,Medium,100.0,https://leetcode.com/problems/product-of-array-except-self
273,Integer to English Words,"Math, String",27.2%,Hard,71.7654,https://leetcode.com/problems/integer-to-english-words
297,Serialize and Deserialize Binary Tree,"Tree, Design",47.8%,Hard,37.6405,https://leetcode.com/problems/serialize-and-deserialize-binary-tree
706,Design HashMap,"Hash Table, Design",61.6%,Easy,84.9729,https://leetcode.com/problems/design-hashmap
