Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
33,Search in Rotated Sorted Array,"Array, Binary Search",34.7%,Medium,10.6143,https://leetcode.com/problems/search-in-rotated-sorted-array
65,Valid Number,"Math, String",15.4%,Hard,35.1909,https://leetcode.com/problems/valid-number
70,Climbing Stairs,Dynamic Programming,47.9%,Easy,4.26959,https://leetcode.com/problems/climbing-stairs
73,Set Matrix Zeroes,Array,43.3%,Medium,10.2381,https://leetcode.com/problems/set-matrix-zeroes
98,Validate Binary Search Tree,"Tree, Depth-first Search",27.9%,Medium,4.22042,https://leetcode.com/problems/validate-binary-search-tree
101,Symmetric Tree,"Tree, Depth-first Search, Breadth-first Search",47.1%,Easy,5.06547,https://leetcode.com/problems/symmetric-tree
139,Word Break,Dynamic Programming,40.3%,Medium,6.58125,https://leetcode.com/problems/word-break
146,LRU Cache,Design,33.5%,Medium,14.8758,https://leetcode.com/problems/lru-cache
149,Max Points on a Line,"Hash Table, Math",17.0%,Hard,100.0,https://leetcode.com/problems/max-points-on-a-line
206,Reverse Linked List,Linked List,63.0%,Easy,3.11859,https://leetcode.com/problems/reverse-linked-list
274,H-Index,"Hash Table, Sort",36.3%,Medium,9.20546,https://leetcode.com/problems/h-index
384,Shuffle an Array,,52.9%,Medium,25.5129,https://leetcode.com/problems/shuffle-an-array
528,Random Pick with Weight,"Binary Search, Random",44.1%,Medium,23.5225,https://leetcode.com/problems/random-pick-with-weight
692,Top K Frequent Words,"Hash Table, Heap, Trie",52.1%,Medium,69.4419,https://leetcode.com/problems/top-k-frequent-words
1002,Find Common Characters,"Array, Hash Table",67.7%,Easy,70.845,https://leetcode.com/problems/find-common-characters
1213,Intersection of Three Sorted Arrays,"Hash Table, Two Pointers",78.8%,Easy,64.3459,https://leetcode.com/problems/intersection-of-three-sorted-arrays
