Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
1,Two Sum,"Array, Hash Table",45.7%,Easy,0.0343551,https://leetcode.com/problems/two-sum
10,Regular Expression Matching,"String, Dynamic Programming, Backtracking",26.9%,Hard,0.308213,https://leetcode.com/problems/regular-expression-matching
20,Valid Parentheses,"String, Stack",39.1%,Easy,4.85222,https://leetcode.com/problems/valid-parentheses
23,Merge k Sorted Lists,"Linked List, Divide and Conquer, Heap",40.6%,Hard,0.725112,https://leetcode.com/problems/merge-k-sorted-lists
36,Valid Sudoku,Hash Table,49.1%,Medium,0.324298,https://leetcode.com/problems/valid-sudoku
56,Merge Intervals,"Array, Sort",39.5%,Medium,2.25684,https://leetcode.com/problems/merge-intervals
57,Insert Interval,"Array, Sort",33.7%,Hard,28.9217,https://leetcode.com/problems/insert-interval
68,Text Justification,String,28.0%,Hard,2.96274,https://leetcode.com/problems/text-justification
76,Minimum Window Substring,"Hash Table, Two Pointers, String, Sliding Window",34.9%,Hard,0.60036,https://leetcode.com/problems/minimum-window-substring
84,Largest Rectangle in Histogram,"Array, Stack",35.5%,Hard,0.306325,https://leetcode.com/problems/largest-rectangle-in-histogram
91,Decode Ways,"String, Dynamic Programming",24.9%,Medium,0.207327,https://leetcode.com/problems/decode-ways
101,Symmetric Tree,"Tree, Depth-first Search, Breadth-first Search",47.1%,Easy,0.343145,https://leetcode.com/problems/symmetric-tree
105,Construct Binary Tree from Preorder and Inorder Traversal,"Array, Tree, Depth-first Search",49.3%,Medium,0.279809,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal
106,Construct Binary Tree from Inorder and Postorder Traversal,"Array, Tree, Depth-first Search",47.6%,Medium,0.57432,https://leetcode.com/problems/construct-binary-tree-from-inorder-and-postorder-traversal
124,Binary Tree Maximum Path Sum,"Tree, Depth-first Search",34.5%,Hard,0.243124,https://leetcode.com/problems/binary-tree-maximum-path-sum
133,Clone Graph,"Depth-first Search, Breadth-first Search, Graph",35.4%,Medium,1.3441,https://leetcode.com/problems/clone-graph
139,Word Break,Dynamic Programming,40.3%,Medium,0.198523,https://leetcode.com/problems/word-break
146,LRU Cache,Design,33.5%,Medium,0.448727,https://leetcode.com/problems/lru-cache
161,One Edit Distance,String,32.3%,Medium,3.28495,https://leetcode.com/problems/one-edit-distance
200,Number of Islands,"Depth-first Search, Breadth-first Search, Union Find",47.1%,Medium,3.51191,https://leetcode.com/problems/number-of-islands
208,Implement Trie (Prefix Tree),"Design, Trie",49.9%,Medium,0.36387,https://leetcode.com/problems/implement-trie-prefix-tree
