Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
1,Two Sum,"Array, Hash Table",45.7%,Easy,9.62739,https://leetcode.com/problems/two-sum
2,Add Two Numbers,"Linked List, Math",34.1%,Medium,4.69082,https://leetcode.com/problems/add-two-numbers
3,Longest Substring Without Repeating Characters,"Hash Table, Two Pointers, String, Sliding Window",30.5%,Medium,8.37438,https://leetcode.com/problems/longest-substring-without-repeating-characters
4,Median of Two Sorted Arrays,"Array, Binary Search, Divide and Conquer",29.8%,Hard,5.59571,https://leetcode.com/problems/median-of-two-sorted-arrays
5,Longest Palindromic Substring,"String, Dynamic Programming",29.6%,Medium,1.22153,https://leetcode.com/problems/longest-palindromic-substring
6,ZigZag Conversion,String,36.6%,Medium,0.355923,https://leetcode.com/problems/zigzag-conversion
8,String to Integer (atoi),"Math, String",15.4%,Medium,0.400547,https://leetcode.com/problems/string-to-integer-atoi
10,Regular Expression Matching,"String, Dynamic Programming, Backtracking",26.9%,Hard,2.8775,https://leetcode.com/problems/regular-expression-matching
11,Container With Most Water,"Array, Two Pointers",51.1%,Medium,0.312525,https://leetcode.com/problems/container-with-most-water
13,Roman to Integer,"Math, String",55.9%,Easy,0.156817,https://leetcode.com/problems/roman-to-integer
15,3Sum,"Array, Two Pointers",27.0%,Medium,0.41251,https://leetcode.com/problems/3sum
16,3Sum Closest,"Array, Two Pointers",46.0%,Medium,1.40379,https://leetcode.com/problems/3sum-closest
17,Letter Combinations of a Phone Number,"String, Backtracking",47.1%,Medium,7.76823,https://leetcode.com/problems/letter-combinations-of-a-phone-number
20,Valid Parentheses,"String, Stack",39.1%,Easy,4.51906,https://leetcode.com/problems/valid-parentheses
21,Merge Two Sorted Lists,Linked List,53.9%,Easy,0.870492,https://leetcode.com/problems/merge-two-sorted-lists
22,Generate Parentheses,"String, Backtracking",63.1%,Medium,4.82348,https://leetcode.com/problems/generate-parentheses
23,Merge k Sorted Lists,"Linked List, Divide and Conquer, Heap",40.6%,Hard,6.56303,https://leetcode.com/problems/merge-k-sorted-lists
24,Swap Nodes in Pairs,Linked List,50.8%,Medium,0.660069,https://leetcode.com/problems/swap-nodes-in-pairs
26,Remove Duplicates from Sorted Array,"Array, Two Pointers",45.4%,Easy,0.342121,https://leetcode.com/problems/remove-duplicates-from-sorted-array
31,Next Permutation,Array,32.7%,Medium,4.10434,https://leetcode.com/problems/next-permutation
32,Longest Valid Parentheses,"String, Dynamic Programming",28.5%,Hard,4.81698,https://leetcode.com/problems/longest-valid-parentheses
33,Search in Rotated Sorted Array,"Array, Binary Search",34.7%,Medium,0.603376,https://leetcode.com/problems/search-in-rotated-sorted-array
34,Find First and Last Position of Element in Sorted Array,"Array, Binary Search",36.3%,Medium,23.6993,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array
36,Valid Sudoku,Hash Table,49.1%,Medium,32.9925,https://leetcode.com/problems/valid-sudoku
37,Sudoku Solver,"Hash Table, Backtracking",44.0%,Hard,0.870017,https://leetcode.com/problems/sudoku-solver
39,Combination Sum,"Array, Backtracking",56.5%,Medium,3.23663,https://leetcode.com/problems/combination-sum
40,Combination Sum II,"Array, Backtracking",48.6%,Medium,2.89156,https://leetcode.com/problems/combination-sum-ii
41,First Missing Positive,Array,32.2%,Hard,0.709084,https://leetcode.com/problems/first-missing-positive
42,Trapping Rain Water,"Array, Two Pointers, Stack",49.2%,Hard,9.92267,https://leetcode.com/problems/trapping-rain-water
43,Multiply Strings,"Math, String",34.1%,Medium,0.446981,https://leetcode.com/problems/multiply-strings
45,Jump Game II,"Array, Greedy",30.7%,Hard,0.441963,https://leetcode.com/problems/jump-game-ii
46,Permutations,Backtracking,64.0%,Medium,2.99001,https://leetcode.com/problems/permutations
47,Permutations II,Backtracking,46.8%,Medium,0.445856,https://leetcode.com/problems/permutations-ii
48,Rotate Image,Array,57.3%,Medium,0.216195,https://leetcode.com/problems/rotate-image
49,Group Anagrams,"Hash Table, String",57.3%,Medium,16.6456,https://leetcode.com/problems/group-anagrams
50,"Pow(x, n)","Math, Binary Search",30.5%,Medium,0.963558,https://leetcode.com/problems/powx-n
51,N-Queens,Backtracking,47.1%,Hard,0.802383,https://leetcode.com/problems/n-queens
53,Maximum Subarray,"Array, Divide and Conquer, Dynamic Programming",46.7%,Easy,2.29764,https://leetcode.com/problems/maximum-subarray
54,Spiral Matrix,Array,34.3%,Medium,4.14436,https://leetcode.com/problems/spiral-matrix
55,Jump Game,"Array, Greedy",34.7%,Medium,0.238827,https://leetcode.com/problems/jump-game
56,Merge Intervals,"Array, Sort",39.5%,Medium,30.8078,https://leetcode.com/problems/merge-intervals
57,Insert Interval,"Array, Sort",33.7%,Hard,10.5438,https://leetcode.com/problems/insert-interval
62,Unique Paths,"Array, Dynamic Programming",54.4%,Medium,0.885507,https://leetcode.com/problems/unique-paths
64,Minimum Path Sum,"Array, Dynamic Programming",54.8%,Medium,0.646423,https://leetcode.com/problems/minimum-path-sum
66,Plus One,Array,43.0%,Easy,0.165186,https://leetcode.com/problems/plus-one
68,Text Justification,String,28.0%,Hard,57.6731,https://leetcode.com/problems/text-justification
69,Sqrt(x),"Math, Binary Search",34.1%,Easy,0.533827,https://leetcode.com/problems/sqrtx
70,Climbing Stairs,Dynamic Programming,47.9%,Easy,1.65275,https://leetcode.com/problems/climbing-stairs
72,Edit Distance,"String, Dynamic Programming",45.1%,Hard,1.02865,https://leetcode.com/problems/edit-distance
74,Search a 2D Matrix,"Array, Binary Search",36.6%,Medium,2.3884,https://leetcode.com/problems/search-a-2d-matrix
75,Sort Colors,"Array, Two Pointers, Sort",47.6%,Medium,2.79207,https://leetcode.com/problems/sort-colors
76,Minimum Window Substring,"Hash Table, Two Pointers, String, Sliding Window",34.9%,Hard,7.99616,https://leetcode.com/problems/minimum-window-substring
78,Subsets,"Array, Backtracking, Bit Manipulation",62.5%,Medium,2.75573,https://leetcode.com/problems/subsets
79,Word Search,"Array, Backtracking",35.8%,Medium,14.1438,https://leetcode.com/problems/word-search
85,Maximal Rectangle,"Array, Hash Table, Dynamic Programming, Stack",38.0%,Hard,11.0035,https://leetcode.com/problems/maximal-rectangle
