Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
1,Two Sum,"Array, Hash Table",45.7%,Easy,4.84765,https://leetcode.com/problems/two-sum
4,Median of Two Sorted Arrays,"Array, Binary Search, Divide and Conquer",29.8%,Hard,1.62945,https://leetcode.com/problems/median-of-two-sorted-arrays
14,Longest Common Prefix,String,35.5%,Easy,0.672244,https://leetcode.com/problems/longest-common-prefix
15,3Sum,"Array, Two Pointers",27.0%,Medium,5.55668,https://leetcode.com/problems/3sum
20,Valid Parentheses,"String, Stack",39.1%,Easy,0.958276,https://leetcode.com/problems/valid-parentheses
21,Merge Two Sorted Lists,Linked List,53.9%,Easy,0.43195,https://leetcode.com/problems/merge-two-sorted-lists
33,Search in Rotated Sorted Array,"Array, Binary Search",34.7%,Medium,1.50847,https://leetcode.com/problems/search-in-rotated-sorted-array
34,Find First and Last Position of Element in Sorted Array,"Array, Binary Search",36.3%,Medium,0.845839,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array
42,Trapping Rain Water,"Array, Two Pointers, Stack",49.2%,Hard,11.7916,https://leetcode.com/problems/trapping-rain-water
49,Group Anagrams,"Hash Table, String",57.3%,Medium,1.76197,https://leetcode.com/problems/group-anagrams
53,Maximum Subarray,"Array, Divide and Conquer, Dynamic Programming",46.7%,Easy,0.416032,https://leetcode.com/problems/maximum-subarray
54,Spiral Matrix,Array,34.3%,Medium,2.67204,https://leetcode.com/problems/spiral-matrix
56,Merge Intervals,"Array, Sort",39.5%,Medium,0.678779,https://leetcode.com/problems/merge-intervals
76,Minimum Window Substring,"Hash Table, Two Pointers, String, Sliding Window",34.9%,Hard,2.82847,https://leetcode.com/problems/minimum-window-substring
98,Validate Binary Search Tree,"Tree, Depth-first Search",27.9%,Medium,5.34392,https://leetcode.com/problems/validate-binary-search-tree
101,Symmetric Tree,"Tree, Depth-first Search, Breadth-first Search",47.1%,Easy,0.719884,https://leetcode.com/problems/symmetric-tree
121,Best Time to Buy and Sell Stock,"Array, Dynamic Programming",50.6%,Easy,0.955901,https://leetcode.com/problems/best-time-to-buy-and-sell-stock
138,Copy List with Random Pointer,"Hash Table, Linked List",37.0%,Medium,1.24333,https://leetcode.com/problems/copy-list-with-random-pointer
146,LRU Cache,Design,33.5%,Medium,0.941935,https://leetcode.com/problems/lru-cache
155,Min Stack,"Stack, Design",44.8%,Easy,0.938465,https://leetcode.com/problems/min-stack
189,Rotate Array,Array,35.0%,Easy,0.824388,https://leetcode.com/problems/rotate-array
200,Number of Islands,"Depth-first Search, Breadth-first Search, Union Find",47.1%,Medium,3.51504,https://leetcode.com/problems/number-of-islands
206,Reverse Linked List,Linked List,63.0%,Easy,0.996032,https://leetcode.com/problems/reverse-linked-list
236,Lowest Common Ancestor of a Binary Tree,Tree,46.2%,Medium,2.22777,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree
238,Product of Array Except Self,Array,60.3%,Medium,1.73091,https://leetcode.com/problems/product-of-array-except-self
253,Meeting Rooms II,"Heap, Greedy, Sort",45.8%,Medium,3.34714,https://leetcode.com/problems/meeting-rooms-ii
273,Integer to English Words,"Math, String",27.2%,Hard,2.80065,https://leetcode.com/problems/integer-to-english-words
322,Coin Change,Dynamic Programming,35.8%,Medium,1.64206,https://leetcode.com/problems/coin-change
362,Design Hit Counter,Design,63.9%,Medium,10.7034,https://leetcode.com/problems/design-hit-counter
377,Combination Sum IV,Dynamic Programming,45.4%,Medium,4.3403,https://leetcode.com/problems/combination-sum-iv
380,Insert Delete GetRandom O(1),"Array, Hash Table, Design",47.7%,Medium,2.0019,https://leetcode.com/problems/insert-delete-getrandom-o1
383,Ransom Note,String,53.1%,Easy,9.13177,https://leetcode.com/problems/ransom-note
498,Diagonal Traverse,,48.4%,Medium,11.1655,https://leetcode.com/problems/diagonal-traverse
697,Degree of an Array,Array,53.9%,Easy,5.90317,https://leetcode.com/problems/degree-of-an-array
735,Asteroid Collision,Stack,41.1%,Medium,12.6812,https://leetcode.com/problems/asteroid-collision
761,Special Binary String,"String, Recursion",55.0%,Hard,56.3797,https://leetcode.com/problems/special-binary-string
829,Consecutive Numbers Sum,Math,38.1%,Hard,100.0,https://leetcode.com/problems/consecutive-numbers-sum
973,K Closest Points to Origin,"Divide and Conquer, Heap, Sort",64.0%,Medium,1.14696,https://leetcode.com/problems/k-closest-points-to-origin
1010,Pairs of Songs With Total Durations Divisible by 60,Array,47.3%,Easy,7.63376,https://leetcode.com/problems/pairs-of-songs-with-total-durations-divisible-by-60
1353,Maximum Number of Events That Can Be Attended,"Greedy, Sort, Segment Tree",30.3%,Medium,12.7594,https://leetcode.com/problems/maximum-number-of-events-that-can-be-attended
