Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
1,Two Sum,"Array, Hash Table",45.7%,Easy,100.0,https://leetcode.com/problems/two-sum
2,Add Two Numbers,"Linked List, Math",34.1%,Medium,73.8287,https://leetcode.com/problems/add-two-numbers
3,Longest Substring Without Repeating Characters,"Hash Table, Two Pointers, String, Sliding Window",30.5%,Medium,33.8321,https://leetcode.com/problems/longest-substring-without-repeating-characters
4,Median of Two Sorted Arrays,"Array, Binary Search, Divide and Conquer",29.8%,Hard,2.2943,https://leetcode.com/problems/median-of-two-sorted-arrays
5,Longest Palindromic Substring,"String, Dynamic Programming",29.6%,Medium,1.41275,https://leetcode.com/problems/longest-palindromic-substring
7,Reverse Integer,Math,25.8%,Easy,10.6204,https://leetcode.com/problems/reverse-integer
8,String to Integer (atoi),"Math, String",15.4%,Medium,2.50085,https://leetcode.com/problems/string-to-integer-atoi
11,Container With Most Water,"Array, Two Pointers",51.1%,Medium,7.77105,https://leetcode.com/problems/container-with-most-water
12,Integer to Roman,"Math, String",55.3%,Medium,12.4593,https://leetcode.com/problems/integer-to-roman
13,Roman to Integer,"Math, String",55.9%,Easy,2.19836,https://leetcode.com/problems/roman-to-integer
14,Longest Common Prefix,String,35.5%,Easy,2.12562,https://leetcode.com/problems/longest-common-prefix
15,3Sum,"Array, Two Pointers",27.0%,Medium,17.5701,https://leetcode.com/problems/3sum
18,4Sum,"Array, Hash Table, Two Pointers",33.8%,Medium,6.71043,https://leetcode.com/problems/4sum
20,Valid Parentheses,"String, Stack",39.1%,Easy,1.34821,https://leetcode.com/problems/valid-parentheses
21,Merge Two Sorted Lists,Linked List,53.9%,Easy,47.6575,https://leetcode.com/problems/merge-two-sorted-lists
22,Generate Parentheses,"String, Backtracking",63.1%,Medium,17.4886,https://leetcode.com/problems/generate-parentheses
23,Merge k Sorted Lists,"Linked List, Divide and Conquer, Heap",40.6%,Hard,2.71521,https://leetcode.com/problems/merge-k-sorted-lists
24,Swap Nodes in Pairs,Linked List,50.8%,Medium,4.12676,https://leetcode.com/problems/swap-nodes-in-pairs
25,Reverse Nodes in k-Group,Linked List,42.5%,Hard,6.68185,https://leetcode.com/problems/reverse-nodes-in-k-group
31,Next Permutation,Array,32.7%,Medium,3.72921,https://leetcode.com/problems/next-permutation
35,Search Insert Position,"Array, Binary Search",42.7%,Easy,3.07675,https://leetcode.com/problems/search-insert-position
37,Sudoku Solver,"Hash Table, Backtracking",44.0%,Hard,12.1965,https://leetcode.com/problems/sudoku-solver
42,Trapping Rain Water,"Array, Two Pointers, Stack",49.2%,Hard,5.35724,https://leetcode.com/problems/trapping-rain-water
45,Jump Game II,"Array, Greedy",30.7%,Hard,6.19574,https://leetcode.com/problems/jump-game-ii
53,Maximum Subarray,"Array, Divide and Conquer, Dynamic Programming",46.7%,Easy,5.24806,https://leetcode.com/problems/maximum-subarray
