Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
1,Two Sum,"Array, Hash Table",45.7%,Easy,3.34172,https://leetcode.com/problems/two-sum
2,Add Two Numbers,"Linked List, Math",34.1%,Medium,8.57614,https://leetcode.com/problems/add-two-numbers
3,Longest Substring Without Repeating Characters,"Hash Table, Two Pointers, String, Sliding Window",30.5%,Medium,4.76067,https://leetcode.com/problems/longest-substring-without-repeating-characters
4,Median of Two Sorted Arrays,"Array, Binary Search, Divide and Conquer",29.8%,Hard,2.12585,https://leetcode.com/problems/median-of-two-sorted-arrays
5,Longest Palindromic Substring,"String, Dynamic Programming",29.6%,Medium,1.31512,https://leetcode.com/problems/longest-palindromic-substring
6,ZigZag Conversion,String,36.6%,Medium,0.519986,https://leetcode.com/problems/zigzag-conversion
8,String to Integer (atoi),"Math, String",15.4%,Medium,0.260625,https://leetcode.com/problems/string-to-integer-atoi
9,Palindrome Number,Math,48.6%,Easy,0.459647,https://leetcode.com/problems/palindrome-number
10,Regular Expression Matching,"String, Dynamic Programming, Backtracking",26.9%,Hard,2.94334,https://leetcode.com/problems/regular-expression-matching
12,Integer to Roman,"Math, String",55.3%,Medium,5.06839,https://leetcode.com/problems/integer-to-roman
13,Roman to Integer,"Math, String",55.9%,Easy,0.229101,https://leetcode.com/problems/roman-to-integer
14,Longest Common Prefix,String,35.5%,Easy,0.497536,https://leetcode.com/problems/longest-common-prefix
15,3Sum,"Array, Two Pointers",27.0%,Medium,2.38307,https://leetcode.com/problems/3sum
19,Remove Nth Node From End of List,"Linked List, Two Pointers",35.3%,Medium,0.225035,https://leetcode.com/problems/remove-nth-node-from-end-of-list
20,Valid Parentheses,"String, Stack",39.1%,Easy,7.533,https://leetcode.com/problems/valid-parentheses
21,Merge Two Sorted Lists,Linked List,53.9%,Easy,1.27175,https://leetcode.com/problems/merge-two-sorted-lists
23,Merge k Sorted Lists,"Linked List, Divide and Conquer, Heap",40.6%,Hard,2.51032,https://leetcode.com/problems/merge-k-sorted-lists
24,Swap Nodes in Pairs,Linked List,50.8%,Medium,0.43007,https://leetcode.com/problems/swap-nodes-in-pairs
30,Substring with Concatenation of All Words,"Hash Table, Two Pointers, String",25.5%,Hard,1.63845,https://leetcode.com/problems/substring-with-concatenation-of-all-words
31,Next Permutation,Array,32.7%,Medium,0.871718,https://leetcode.com/problems/next-permutation
33,Search in Rotated Sorted Array,"Array, Binary Search",34.7%,Medium,1.9695,https://leetcode.com/problems/search-in-rotated-sorted-array
34,Find First and Last Position of Element in Sorted Array,"Array, Binary Search",36.3%,Medium,0.278725,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array
40,Combination Sum II,"Array, Backtracking",48.6%,Medium,0.691542,https://leetcode.com/problems/combination-sum-ii
41,First Missing Positive,Array,32.2%,Hard,1.03594,https://leetcode.com/problems/first-missing-positive
42,Trapping Rain Water,"Array, Two Pointers, Stack",49.2%,Hard,7.18979,https://leetcode.com/problems/trapping-rain-water
44,Wildcard Matching,"String, Dynamic Programming, Backtracking, Greedy",24.8%,Hard,0.848747,https://leetcode.com/problems/wildcard-matching
47,Permutations II,Backtracking,46.8%,Medium,0.651374,https://leetcode.com/problems/permutations-ii
49,Group Anagrams,"Hash Table, String",57.3%,Medium,0.580611,https://leetcode.com/problems/group-anagrams
