Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
20,Valid Parentheses,"String, Stack",39.1%,Easy,6.8633,https://leetcode.com/problems/valid-parentheses
32,Longest Valid Parentheses,"String, Dynamic Programming",28.5%,Hard,3.27455,https://leetcode.com/problems/longest-valid-parentheses
42,Trapping Rain Water,"Array, Two Pointers, Stack",49.2%,Hard,3.05208,https://leetcode.com/problems/trapping-rain-water
85,Maximal Rectangle,"Array, Hash Table, Dynamic Programming, Stack",38.0%,Hard,4.79444,https://leetcode.com/problems/maximal-rectangle
200,Number of Islands,"Depth-first Search, Breadth-first Search, Union Find",47.1%,Medium,2.29043,https://leetcode.com/problems/number-of-islands
221,Maximal Square,Dynamic Programming,37.8%,Medium,3.7889,https://leetcode.com/problems/maximal-square
232,Implement Queue using Stacks,"Stack, Design",50.1%,Easy,3.37611,https://leetcode.com/problems/implement-queue-using-stacks
239,Sliding Window Maximum,"Heap, Sliding Window",43.4%,Hard,2.57261,https://leetcode.com/problems/sliding-window-maximum
241,Different Ways to Add Parentheses,Divide and Conquer,55.5%,Medium,32.4788,https://leetcode.com/problems/different-ways-to-add-parentheses
253,Meeting Rooms II,"Heap, Greedy, Sort",45.8%,Medium,2.6904,https://leetcode.com/problems/meeting-rooms-ii
285,Inorder Successor in BST,Tree,40.8%,Medium,66.2394,https://leetcode.com/problems/inorder-successor-in-bst
628,Maximum Product of Three Numbers,"Array, Math",47.1%,Easy,6.72824,https://leetcode.com/problems/maximum-product-of-three-numbers
647,Palindromic Substrings,"String, Dynamic Programming",60.9%,Medium,3.51955,https://leetcode.com/problems/palindromic-substrings
724,Find Pivot Index,Array,44.2%,Easy,4.32659,https://leetcode.com/problems/find-pivot-index
829,Consecutive Numbers Sum,Math,38.1%,Hard,100.0,https://leetcode.com/problems/consecutive-numbers-sum
935,Knight Dialer,Dynamic Programming,45.3%,Medium,15.4678,https://leetcode.com/problems/knight-dialer
1048,Longest String Chain,"Hash Table, Dynamic Programming",54.8%,Medium,7.23876,https://leetcode.com/problems/longest-string-chain
