Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
53,Maximum Subarray,"Array, Divide and Conquer, Dynamic Programming",46.7%,Easy,2.58833,https://leetcode.com/problems/maximum-subarray
102,Binary Tree Level Order Traversal,"Tree, Breadth-first Search",54.9%,Medium,2.08876,https://leetcode.com/problems/binary-tree-level-order-traversal
127,Word Ladder,Breadth-first Search,29.9%,Medium,3.29315,https://leetcode.com/problems/word-ladder
150,Evaluate Reverse Polish Notation,Stack,36.6%,Medium,19.0642,https://leetcode.com/problems/evaluate-reverse-polish-notation
244,Shortest Word Distance II,"Hash Table, Design",52.5%,Medium,100.0,https://leetcode.com/problems/shortest-word-distance-ii
261,Graph Valid Tree,"Depth-first Search, Breadth-first Search, Union Find, Graph",42.3%,Medium,18.3134,https://leetcode.com/problems/graph-valid-tree
272,Closest Binary Search Tree Value II,"Stack, Tree",50.7%,Hard,47.1232,https://leetcode.com/problems/closest-binary-search-tree-value-ii
297,Serialize and Deserialize Binary Tree,"Tree, Design",47.8%,Hard,4.05202,https://leetcode.com/problems/serialize-and-deserialize-binary-tree
339,Nested List Weight Sum,Depth-first Search,74.2%,Easy,15.4324,https://leetcode.com/problems/nested-list-weight-sum
364,Nested List Weight Sum II,Depth-first Search,62.8%,Medium,73.5616,https://leetcode.com/problems/nested-list-weight-sum-ii
380,Insert Delete GetRandom O(1),"Array, Hash Table, Design",47.7%,Medium,5.54153,https://leetcode.com/problems/insert-delete-getrandom-o1
470,Implement Rand10() Using Rand7(),"Random, Rejection Sampling",45.7%,Medium,1.79174,https://leetcode.com/problems/implement-rand10-using-rand7
605,Can Place Flowers,Array,31.5%,Easy,14.2601,https://leetcode.com/problems/can-place-flowers
698,Partition to K Equal Sum Subsets,"Dynamic Programming, Recursion",45.0%,Medium,24.85,https://leetcode.com/problems/partition-to-k-equal-sum-subsets
716,Max Stack,Design,42.7%,Easy,25.0943,https://leetcode.com/problems/max-stack
721,Accounts Merge,"Depth-first Search, Union Find",49.2%,Medium,9.99058,https://leetcode.com/problems/accounts-merge
