Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
20,Valid Parentheses,"String, Stack",39.1%,Easy,0.571207,https://leetcode.com/problems/valid-parentheses
23,Merge k Sorted Lists,"Linked List, Divide and Conquer, Heap",40.6%,Hard,1.15038,https://leetcode.com/problems/merge-k-sorted-lists
69,Sqrt(x),"Math, Binary Search",34.1%,Easy,1.4131,https://leetcode.com/problems/sqrtx
76,Minimum Window Substring,"Hash Table, Two Pointers, String, Sliding Window",34.9%,Hard,3.7892,https://leetcode.com/problems/minimum-window-substring
88,Merge Sorted Array,"Array, Two Pointers",39.6%,Easy,1.80183,https://leetcode.com/problems/merge-sorted-array
91,Decode Ways,"String, Dynamic Programming",24.9%,Medium,2.93665,https://leetcode.com/problems/decode-ways
127,Word Ladder,Breadth-first Search,29.9%,Medium,9.83142,https://leetcode.com/problems/word-ladder
158,Read N Characters Given Read4 II - Call multiple times,String,34.2%,Hard,93.2942,https://leetcode.com/problems/read-n-characters-given-read4-ii-call-multiple-times
238,Product of Array Except Self,Array,60.3%,Medium,24.8551,https://leetcode.com/problems/product-of-array-except-self
304,Range Sum Query 2D - Immutable,Dynamic Programming,38.9%,Medium,22.1164,https://leetcode.com/problems/range-sum-query-2d-immutable
365,Water and Jug Problem,Math,30.6%,Medium,69.0811,https://leetcode.com/problems/water-and-jug-problem
409,Longest Palindrome,Hash Table,51.8%,Easy,5.10886,https://leetcode.com/problems/longest-palindrome
567,Permutation in String,"Two Pointers, Sliding Window",44.4%,Medium,3.94532,https://leetcode.com/problems/permutation-in-string
642,Design Search Autocomplete System,"Design, Trie",45.0%,Hard,40.0181,https://leetcode.com/problems/design-search-autocomplete-system
716,Max Stack,Design,42.7%,Easy,26.6965,https://leetcode.com/problems/max-stack
735,Asteroid Collision,Stack,41.1%,Medium,100.0,https://leetcode.com/problems/asteroid-collision
981,Time Based Key-Value Store,"Hash Table, Binary Search",53.1%,Medium,64.2312,https://leetcode.com/problems/time-based-key-value-store
