Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
1,Two Sum,"Array, Hash Table",45.7%,Easy,25.9696,https://leetcode.com/problems/two-sum
2,Add Two Numbers,"Linked List, Math",34.1%,Medium,5.91469,https://leetcode.com/problems/add-two-numbers
3,Longest Substring Without Repeating Characters,"Hash Table, Two Pointers, String, Sliding Window",30.5%,Medium,0.595891,https://leetcode.com/problems/longest-substring-without-repeating-characters
4,Median of Two Sorted Arrays,"Array, Binary Search, Divide and Conquer",29.8%,Hard,9.8999,https://leetcode.com/problems/median-of-two-sorted-arrays
5,Longest Palindromic Substring,"String, Dynamic Programming",29.6%,Medium,2.42373,https://leetcode.com/problems/longest-palindromic-substring
7,Reverse Integer,Math,25.8%,Easy,0.736367,https://leetcode.com/problems/reverse-integer
8,String to Integer (atoi),"Math, String",15.4%,Medium,4.27429,https://leetcode.com/problems/string-to-integer-atoi
10,Regular Expression Matching,"String, Dynamic Programming, Backtracking",26.9%,Hard,2.83896,https://leetcode.com/problems/regular-expression-matching
13,Roman to Integer,"Math, String",55.9%,Easy,3.76125,https://leetcode.com/problems/roman-to-integer
15,3Sum,"Array, Two Pointers",27.0%,Medium,3.57209,https://leetcode.com/problems/3sum
17,Letter Combinations of a Phone Number,"String, Backtracking",47.1%,Medium,4.73028,https://leetcode.com/problems/letter-combinations-of-a-phone-number
18,4Sum,"Array, Hash Table, Two Pointers",33.8%,Medium,1.85115,https://leetcode.com/problems/4sum
19,Remove Nth Node From End of List,"Linked List, Two Pointers",35.3%,Medium,3.69499,https://leetcode.com/problems/remove-nth-node-from-end-of-list
20,Valid Parentheses,"String, Stack",39.1%,Easy,3.32329,https://leetcode.com/problems/valid-parentheses
21,Merge Two Sorted Lists,Linked List,53.9%,Easy,2.3436,https://leetcode.com/problems/merge-two-sorted-lists
22,Generate Parentheses,"String, Backtracking",63.1%,Medium,3.10065,https://leetcode.com/problems/generate-parentheses
23,Merge k Sorted Lists,"Linked List, Divide and Conquer, Heap",40.6%,Hard,21.5312,https://leetcode.com/problems/merge-k-sorted-lists
24,Swap Nodes in Pairs,Linked List,50.8%,Medium,10.0257,https://leetcode.com/problems/swap-nodes-in-pairs
25,Reverse Nodes in k-Group,Linked List,42.5%,Hard,41.7476,https://leetcode.com/problems/reverse-nodes-in-k-group
26,Remove Duplicates from Sorted Array,"Array, Two Pointers",45.4%,Easy,2.06355,https://leetcode.com/problems/remove-duplicates-from-sorted-array
28,Implement strStr(),"Two Pointers, String",34.6%,Easy,0.693963,https://leetcode.com/problems/implement-strstr
31,Next Permutation,Array,32.7%,Medium,4.08445,https://leetcode.com/problems/next-permutation
33,Search in Rotated Sorted Array,"Array, Binary Search",34.7%,Medium,5.21335,https://leetcode.com/problems/search-in-rotated-sorted-array
34,Find First and Last Position of Element in Sorted Array,"Array, Binary Search",36.3%,Medium,4.56839,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array
36,Valid Sudoku,Hash Table,49.1%,Medium,1.3327,https://leetcode.com/problems/valid-sudoku
37,Sudoku Solver,"Hash Table, Backtracking",44.0%,Hard,7.49423,https://leetcode.com/problems/sudoku-solver
38,Count and Say,String,44.9%,Easy,5.74152,https://leetcode.com/problems/count-and-say
39,Combination Sum,"Array, Backtracking",56.5%,Medium,4.17148,https://leetcode.com/problems/combination-sum
41,First Missing Positive,Array,32.2%,Hard,14.5056,https://leetcode.com/problems/first-missing-positive
42,Trapping Rain Water,"Array, Two Pointers, Stack",49.2%,Hard,15.8525,https://leetcode.com/problems/trapping-rain-water
43,Multiply Strings,"Math, String",34.1%,Medium,10.5725,https://leetcode.com/problems/multiply-strings
44,Wildcard Matching,"String, Dynamic Programming, Backtracking, Greedy",24.8%,Hard,2.24668,https://leetcode.com/problems/wildcard-matching
45,Jump Game II,"Array, Greedy",30.7%,Hard,14.8938,https://leetcode.com/problems/jump-game-ii
46,Permutations,Backtracking,64.0%,Medium,11.563,https://leetcode.com/problems/permutations
48,Rotate Image,Array,57.3%,Medium,1.8764,https://leetcode.com/problems/rotate-image
49,Group Anagrams,"Hash Table, String",57.3%,Medium,8.23192,https://leetcode.com/problems/group-anagrams
50,"Pow(x, n)","Math, Binary Search",30.5%,Medium,3.72629,https://leetcode.com/problems/powx-n
51,N-Queens,Backtracking,47.1%,Hard,3.10299,https://leetcode.com/problems/n-queens
53,Maximum Subarray,"Array, Divide and Conquer, Dynamic Programming",46.7%,Easy,12.6766,https://leetcode.com/problems/maximum-subarray
54,Spiral Matrix,Array,34.3%,Medium,83.6115,https://leetcode.com/problems/spiral-matrix
55,Jump Game,"Array, Greedy",34.7%,Medium,3.66974,https://leetcode.com/problems/jump-game
56,Merge Intervals,"Array, Sort",39.5%,Medium,2.35814,https://leetcode.com/problems/merge-intervals
59,Spiral Matrix II,Array,54.3%,Medium,5.98206,https://leetcode.com/problems/spiral-matrix-ii
61,Rotate List,"Linked List, Two Pointers",30.2%,Medium,1.76797,https://leetcode.com/problems/rotate-list
63,Unique Paths II,"Array, Dynamic Programming",34.7%,Medium,1.61866,https://leetcode.com/problems/unique-paths-ii
69,Sqrt(x),"Math, Binary Search",34.1%,Easy,8.13614,https://leetcode.com/problems/sqrtx
73,Set Matrix Zeroes,Array,43.3%,Medium,1.26914,https://leetcode.com/problems/set-matrix-zeroes
74,Search a 2D Matrix,"Array, Binary Search",36.6%,Medium,13.1726,https://leetcode.com/problems/search-a-2d-matrix
75,Sort Colors,"Array, Two Pointers, Sort",47.6%,Medium,5.57978,https://leetcode.com/problems/sort-colors
77,Combinations,Backtracking,55.1%,Medium,2.36425,https://leetcode.com/problems/combinations
79,Word Search,"Array, Backtracking",35.8%,Medium,18.9286,https://leetcode.com/problems/word-search
83,Remove Duplicates from Sorted List,Linked List,45.6%,Easy,1.11814,https://leetcode.com/problems/remove-duplicates-from-sorted-list
85,Maximal Rectangle,"Array, Hash Table, Dynamic Programming, Stack",38.0%,Hard,14.0972,https://leetcode.com/problems/maximal-rectangle
88,Merge Sorted Array,"Array, Two Pointers",39.6%,Easy,4.65313,https://leetcode.com/problems/merge-sorted-array
89,Gray Code,Backtracking,49.3%,Medium,15.9161,https://leetcode.com/problems/gray-code
91,Decode Ways,"String, Dynamic Programming",24.9%,Medium,5.26804,https://leetcode.com/problems/decode-ways
92,Reverse Linked List II,Linked List,39.1%,Medium,7.1046,https://leetcode.com/problems/reverse-linked-list-ii
93,Restore IP Addresses,"String, Backtracking",36.0%,Medium,7.81065,https://leetcode.com/problems/restore-ip-addresses
94,Binary Tree Inorder Traversal,"Hash Table, Stack, Tree",63.8%,Medium,1.19425,https://leetcode.com/problems/binary-tree-inorder-traversal
98,Validate Binary Search Tree,"Tree, Depth-first Search",27.9%,Medium,6.31895,https://leetcode.com/problems/validate-binary-search-tree
99,Recover Binary Search Tree,"Tree, Depth-first Search",40.0%,Hard,15.4346,https://leetcode.com/problems/recover-binary-search-tree
