Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
1,Two Sum,"Array, Hash Table",45.7%,Easy,2.58252,https://leetcode.com/problems/two-sum
2,Add Two Numbers,"Linked List, Math",34.1%,Medium,9.55298,https://leetcode.com/problems/add-two-numbers
3,Longest Substring Without Repeating Characters,"Hash Table, Two Pointers, String, Sliding Window",30.5%,Medium,0.540186,https://leetcode.com/problems/longest-substring-without-repeating-characters
5,Longest Palindromic Substring,"String, Dynamic Programming",29.6%,Medium,0.794265,https://leetcode.com/problems/longest-palindromic-substring
15,3Sum,"Array, Two Pointers",27.0%,Medium,0.815167,https://leetcode.com/problems/3sum
16,3Sum Closest,"Array, Two Pointers",46.0%,Medium,2.79351,https://leetcode.com/problems/3sum-closest
17,Letter Combinations of a Phone Number,"String, Backtracking",47.1%,Medium,1.55745,https://leetcode.com/problems/letter-combinations-of-a-phone-number
23,Merge k Sorted Lists,"Linked List, Divide and Conquer, Heap",40.6%,Hard,6.07301,https://leetcode.com/problems/merge-k-sorted-lists
31,Next Permutation,Array,32.7%,Medium,2.09661,https://leetcode.com/problems/next-permutation
32,Longest Valid Parentheses,"String, Dynamic Programming",28.5%,Hard,3.23144,https://leetcode.com/problems/longest-valid-parentheses
34,Find First and Last Position of Element in Sorted Array,"Array, Binary Search",36.3%,Medium,3.37566,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array
36,Valid Sudoku,Hash Table,49.1%,Medium,2.71609,https://leetcode.com/problems/valid-sudoku
39,Combination Sum,"Array, Backtracking",56.5%,Medium,2.14163,https://leetcode.com/problems/combination-sum
42,Trapping Rain Water,"Array, Two Pointers, Stack",49.2%,Hard,1.3413,https://leetcode.com/problems/trapping-rain-water
46,Permutations,Backtracking,64.0%,Medium,1.51234,https://leetcode.com/problems/permutations
48,Rotate Image,Array,57.3%,Medium,1.70394,https://leetcode.com/problems/rotate-image
49,Group Anagrams,"Hash Table, String",57.3%,Medium,1.39501,https://leetcode.com/problems/group-anagrams
53,Maximum Subarray,"Array, Divide and Conquer, Dynamic Programming",46.7%,Easy,6.6097,https://leetcode.com/problems/maximum-subarray
56,Merge Intervals,"Array, Sort",39.5%,Medium,10.7369,https://leetcode.com/problems/merge-intervals
72,Edit Distance,"String, Dynamic Programming",45.1%,Hard,3.62263,https://leetcode.com/problems/edit-distance
85,Maximal Rectangle,"Array, Hash Table, Dynamic Programming, Stack",38.0%,Hard,4.73133,https://leetcode.com/problems/maximal-rectangle
104,Maximum Depth of Binary Tree,"Tree, Depth-first Search",66.3%,Easy,1.01688,https://leetcode.com/problems/maximum-depth-of-binary-tree
128,Longest Consecutive Sequence,"Array, Union Find",45.3%,Hard,28.1862,https://leetcode.com/problems/longest-consecutive-sequence
146,LRU Cache,Design,33.5%,Medium,3.75822,https://leetcode.com/problems/lru-cache
149,Max Points on a Line,"Hash Table, Math",17.0%,Hard,11.1357,https://leetcode.com/problems/max-points-on-a-line
152,Maximum Product Subarray,"Array, Dynamic Programming",31.8%,Medium,1.91304,https://leetcode.com/problems/maximum-product-subarray
200,Number of Islands,"Depth-first Search, Breadth-first Search, Union Find",47.1%,Medium,1.00608,https://leetcode.com/problems/number-of-islands
238,Product of Array Except Self,Array,60.3%,Medium,8.49216,https://leetcode.com/problems/product-of-array-except-self
239,Sliding Window Maximum,"Heap, Sliding Window",43.4%,Hard,15.6205,https://leetcode.com/problems/sliding-window-maximum
267,Palindrome Permutation II,Backtracking,36.5%,Medium,39.7411,https://leetcode.com/problems/palindrome-permutation-ii
269,Alien Dictionary,"Graph, Topological Sort",33.3%,Hard,4.83647,https://leetcode.com/problems/alien-dictionary
273,Integer to English Words,"Math, String",27.2%,Hard,11.1201,https://leetcode.com/problems/integer-to-english-words
282,Expression Add Operators,Divide and Conquer,35.7%,Hard,10.1693,https://leetcode.com/problems/expression-add-operators
297,Serialize and Deserialize Binary Tree,"Tree, Design",47.8%,Hard,2.60221,https://leetcode.com/problems/serialize-and-deserialize-binary-tree
300,Longest Increasing Subsequence,"Binary Search, Dynamic Programming",42.7%,Medium,1.8315,https://leetcode.com/problems/longest-increasing-subsequence
395,Longest Substring with At Least K Repeating Characters,,41.5%,Medium,10.4093,https://leetcode.com/problems/longest-substring-with-at-least-k-repeating-characters
426,Convert Binary Search Tree to Sorted Doubly Linked List,"Linked List, Divide and Conquer, Tree",59.4%,Medium,9.31566,https://leetcode.com/problems/convert-binary-search-tree-to-sorted-doubly-linked-list
427,Construct Quad Tree,,61.5%,Medium,71.8396,https://leetcode.com/problems/construct-quad-tree
445,Add Two Numbers II,Linked List,54.8%,Medium,10.5832,https://leetcode.com/problems/add-two-numbers-ii
529,Minesweeper,"Depth-first Search, Breadth-first Search",59.4%,Medium,67.9015,https://leetcode.com/problems/minesweeper
628,Maximum Product of Three Numbers,"Array, Math",47.1%,Easy,14.794,https://leetcode.com/problems/maximum-product-of-three-numbers
757,Set Intersection Size At Least Two,Greedy,40.2%,Hard,100.0,https://leetcode.com/problems/set-intersection-size-at-least-two
1281,Subtract the Product and Sum of Digits of an Integer,Math,85.3%,Easy,3.91458,https://leetcode.com/problems/subtract-the-product-and-sum-of-digits-of-an-integer
1368,Minimum Cost to Make at Least One Valid Path in a Grid,Breadth-first Search,54.6%,Hard,22.837,https://leetcode.com/problems/minimum-cost-to-make-at-least-one-valid-path-in-a-grid
1400,Construct K Palindrome Strings,Greedy,60.7%,Medium,32.9407,https://leetcode.com/problems/construct-k-palindrome-strings
