Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
1,Two Sum,"Array, Hash Table",45.7%,Easy,18.7358,https://leetcode.com/problems/two-sum
2,Add Two Numbers,"Linked List, Math",34.1%,Medium,4.13827,https://leetcode.com/problems/add-two-numbers
4,Median of Two Sorted Arrays,"Array, Binary Search, Divide and Conquer",29.8%,Hard,0.914103,https://leetcode.com/problems/median-of-two-sorted-arrays
5,Longest Palindromic Substring,"String, Dynamic Programming",29.6%,Medium,1.92506,https://leetcode.com/problems/longest-palindromic-substring
10,Regular Expression Matching,"String, Dynamic Programming, Backtracking",26.9%,Hard,3.81322,https://leetcode.com/problems/regular-expression-matching
20,Valid Parentheses,"String, Stack",39.1%,Easy,1.01228,https://leetcode.com/problems/valid-parentheses
21,Merge Two Sorted Lists,Linked List,53.9%,Easy,0.549121,https://leetcode.com/problems/merge-two-sorted-lists
23,Merge k Sorted Lists,"Linked List, Divide and Conquer, Heap",40.6%,Hard,0.428176,https://leetcode.com/problems/merge-k-sorted-lists
34,Find First and Last Position of Element in Sorted Array,"Array, Binary Search",36.3%,Medium,0.0681243,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array
39,Combination Sum,"Array, Backtracking",56.5%,Medium,29.5195,https://leetcode.com/problems/combination-sum
42,Trapping Rain Water,"Array, Two Pointers, Stack",49.2%,Hard,17.7832,https://leetcode.com/problems/trapping-rain-water
68,Text Justification,String,28.0%,Hard,56.9041,https://leetcode.com/problems/text-justification
108,Convert Sorted Array to Binary Search Tree,"Tree, Depth-first Search",58.4%,Easy,0.605935,https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree
136,Single Number,"Hash Table, Bit Manipulation",65.7%,Easy,0.582653,https://leetcode.com/problems/single-number
160,Intersection of Two Linked Lists,Linked List,41.1%,Easy,0.69472,https://leetcode.com/problems/intersection-of-two-linked-lists
166,Fraction to Recurring Decimal,"Hash Table, Math",21.7%,Medium,32.4921,https://leetcode.com/problems/fraction-to-recurring-decimal
190,Reverse Bits,Bit Manipulation,40.2%,Easy,0.80912,https://leetcode.com/problems/reverse-bits
198,House Robber,Dynamic Programming,42.1%,Easy,2.04509,https://leetcode.com/problems/house-robber
202,Happy Number,"Hash Table, Math",50.6%,Easy,0.641922,https://leetcode.com/problems/happy-number
211,Design Add and Search Words Data Structure,"Backtracking, Design, Trie",38.3%,Medium,0.162999,https://leetcode.com/problems/design-add-and-search-words-data-structure
212,Word Search II,"Backtracking, Trie",35.1%,Hard,5.55867,https://leetcode.com/problems/word-search-ii
215,Kth Largest Element in an Array,"Divide and Conquer, Heap",55.8%,Medium,0.440662,https://leetcode.com/problems/kth-largest-element-in-an-array
217,Contains Duplicate,"Array, Hash Table",56.2%,Easy,0.222475,https://leetcode.com/problems/contains-duplicate
219,Contains Duplicate II,"Array, Hash Table",37.9%,Easy,1.80909,https://leetcode.com/problems/contains-duplicate-ii
220,Contains Duplicate III,"Sort, Ordered Map",21.4%,Medium,0.136017,https://leetcode.com/problems/contains-duplicate-iii
221,Maximal Square,Dynamic Programming,37.8%,Medium,0.379045,https://leetcode.com/problems/maximal-square
227,Basic Calculator II,String,37.1%,Medium,0.0,https://leetcode.com/problems/basic-calculator-ii
236,Lowest Common Ancestor of a Binary Tree,Tree,46.2%,Medium,1.24053,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree
251,Flatten 2D Vector,Design,45.8%,Medium,75.4351,https://leetcode.com/problems/flatten-2d-vector
269,Alien Dictionary,"Graph, Topological Sort",33.3%,Hard,62.3101,https://leetcode.com/problems/alien-dictionary
