Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
15,3Sum,"Array, Two Pointers",27.0%,Medium,0.543261,https://leetcode.com/problems/3sum
39,Combination Sum,"Array, Backtracking",56.5%,Medium,0.635113,https://leetcode.com/problems/combination-sum
48,Rotate Image,Array,57.3%,Medium,6.05283,https://leetcode.com/problems/rotate-image
121,Best Time to Buy and Sell Stock,"Array, Dynamic Programming",50.6%,Easy,1.39482,https://leetcode.com/problems/best-time-to-buy-and-sell-stock
152,Maximum Product Subarray,"Array, Dynamic Programming",31.8%,Medium,1.27285,https://leetcode.com/problems/maximum-product-subarray
324,Wiggle Sort II,Sort,30.0%,Medium,57.545,https://leetcode.com/problems/wiggle-sort-ii
443,String Compression,String,41.5%,Easy,3.34508,https://leetcode.com/problems/string-compression
677,Map Sum Pairs,Trie,53.6%,Medium,0.0,https://leetcode.com/problems/map-sum-pairs
713,Subarray Product Less Than K,"Array, Two Pointers",39.2%,Medium,100.0,https://leetcode.com/problems/subarray-product-less-than-k
740,Delete and Earn,Dynamic Programming,48.7%,Medium,0.0,https://leetcode.com/problems/delete-and-earn
741,Cherry Pickup,Dynamic Programming,34.0%,Hard,0.0,https://leetcode.com/problems/cherry-pickup
743,Network Delay Time,"Heap, Depth-first Search, Breadth-first Search, Graph",45.0%,Medium,3.95574,https://leetcode.com/problems/network-delay-time
995,Minimum Number of K Consecutive Bit Flips,"Greedy, Sliding Window",47.1%,Hard,75.1781,https://leetcode.com/problems/minimum-number-of-k-consecutive-bit-flips
1012,Numbers With Repeated Digits,"Math, Dynamic Programming",37.5%,Hard,27.417,https://leetcode.com/problems/numbers-with-repeated-digits
1048,Longest String Chain,"Hash Table, Dynamic Programming",54.8%,Medium,2.11844,https://leetcode.com/problems/longest-string-chain
1177,Can Make Palindrome from Substring,"Array, String",34.9%,Medium,22.2013,https://leetcode.com/problems/can-make-palindrome-from-substring
1223,Dice Roll Simulation,Dynamic Programming,46.0%,Medium,72.6254,https://leetcode.com/problems/dice-roll-simulation
1319,Number of Operations to Make Network Connected,"Depth-first Search, Breadth-first Search, Union Find",53.7%,Medium,10.8421,https://leetcode.com/problems/number-of-operations-to-make-network-connected
1326,Minimum Number of Taps to Open to Water a Garden,"Dynamic Programming, Greedy",43.9%,Hard,0.0,https://leetcode.com/problems/minimum-number-of-taps-to-open-to-water-a-garden
1338,Reduce Array Size to The Half,"Array, Greedy",67.0%,Medium,0.0,https://leetcode.com/problems/reduce-array-size-to-the-half
1370,Increasing Decreasing String,"String, Sort",75.5%,Easy,15.1013,https://leetcode.com/problems/increasing-decreasing-string
1411,Number of Ways to Paint N × 3 Grid,Dynamic Programming,61.1%,Hard,32.723,https://leetcode.com/problems/number-of-ways-to-paint-n-3-grid
1425,Constrained Subsequence Sum,Dynamic Programming,44.1%,Hard,0.0,https://leetcode.com/problems/constrained-subsequence-sum
