Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
1,Two Sum,"Array, Hash Table",45.7%,Easy,100.0,https://leetcode.com/problems/two-sum
2,Add Two Numbers,"Linked List, Math",34.1%,Medium,77.4094,https://leetcode.com/problems/add-two-numbers
3,Longest Substring Without Repeating Characters,"Hash Table, Two Pointers, String, Sliding Window",30.5%,Medium,31.5381,https://leetcode.com/problems/longest-substring-without-repeating-characters
4,Median of Two Sorted Arrays,"Array, Binary Search, Divide and Conquer",29.8%,Hard,65.6772,https://leetcode.com/problems/median-of-two-sorted-arrays
5,Longest Palindromic Substring,"String, Dynamic Programming",29.6%,Medium,44.2439,https://leetcode.com/problems/longest-palindromic-substring
6,ZigZag Conversion,String,36.6%,Medium,8.11256,https://leetcode.com/problems/zigzag-conversion
7,Reverse Integer,Math,25.8%,Easy,23.6587,https://leetcode.com/problems/reverse-integer
8,String to Integer (atoi),"Math, String",15.4%,Medium,39.3102,https://leetcode.com/problems/string-to-integer-atoi
9,Palindrome Number,Math,48.6%,Easy,7.25388,https://leetcode.com/problems/palindrome-number
10,Regular Expression Matching,"String, Dynamic Programming, Backtracking",26.9%,Hard,11.1747,https://leetcode.com/problems/regular-expression-matching
11,Container With Most Water,"Array, Two Pointers",51.1%,Medium,9.50619,https://leetcode.com/problems/container-with-most-water
12,Integer to Roman,"Math, String",55.3%,Medium,17.7659,https://leetcode.com/problems/integer-to-roman
13,Roman to Integer,"Math, String",55.9%,Easy,13.2764,https://leetcode.com/problems/roman-to-integer
14,Longest Common Prefix,String,35.5%,Easy,15.6969,https://leetcode.com/problems/longest-common-prefix
15,3Sum,"Array, Two Pointers",27.0%,Medium,39.5089,https://leetcode.com/problems/3sum
16,3Sum Closest,"Array, Two Pointers",46.0%,Medium,10.6192,https://leetcode.com/problems/3sum-closest
17,Letter Combinations of a Phone Number,"String, Backtracking",47.1%,Medium,22.7967,https://leetcode.com/problems/letter-combinations-of-a-phone-number
18,4Sum,"Array, Hash Table, Two Pointers",33.8%,Medium,12.1222,https://leetcode.com/problems/4sum
19,Remove Nth Node From End of List,"Linked List, Two Pointers",35.3%,Medium,2.62311,https://leetcode.com/problems/remove-nth-node-from-end-of-list
20,Valid Parentheses,"String, Stack",39.1%,Easy,25.9614,https://leetcode.com/problems/valid-parentheses
21,Merge Two Sorted Lists,Linked List,53.9%,Easy,27.8088,https://leetcode.com/problems/merge-two-sorted-lists
22,Generate Parentheses,"String, Backtracking",63.1%,Medium,10.049,https://leetcode.com/problems/generate-parentheses
23,Merge k Sorted Lists,"Linked List, Divide and Conquer, Heap",40.6%,Hard,31.4832,https://leetcode.com/problems/merge-k-sorted-lists
24,Swap Nodes in Pairs,Linked List,50.8%,Medium,11.3896,https://leetcode.com/problems/swap-nodes-in-pairs
25,Reverse Nodes in k-Group,Linked List,42.5%,Hard,9.02445,https://leetcode.com/problems/reverse-nodes-in-k-group
26,Remove Duplicates from Sorted Array,"Array, Two Pointers",45.4%,Easy,2.47098,https://leetcode.com/problems/remove-duplicates-from-sorted-array
28,Implement strStr(),"Two Pointers, String",34.6%,Easy,7.33744,https://leetcode.com/problems/implement-strstr
29,Divide Two Integers,"Math, Binary Search",16.4%,Medium,5.06004,https://leetcode.com/problems/divide-two-integers
30,Substring with Concatenation of All Words,"Hash Table, Two Pointers, String",25.5%,Hard,4.68541,https://leetcode.com/problems/substring-with-concatenation-of-all-words
31,Next Permutation,Array,32.7%,Medium,15.2282,https://leetcode.com/problems/next-permutation
32,Longest Valid Parentheses,"String, Dynamic Programming",28.5%,Hard,12.0469,https://leetcode.com/problems/longest-valid-parentheses
33,Search in Rotated Sorted Array,"Array, Binary Search",34.7%,Medium,26.5228,https://leetcode.com/problems/search-in-rotated-sorted-array
34,Find First and Last Position of Element in Sorted Array,"Array, Binary Search",36.3%,Medium,9.57302,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array
35,Search Insert Position,"Array, Binary Search",42.7%,Easy,2.4007,https://leetcode.com/problems/search-insert-position
36,Valid Sudoku,Hash Table,49.1%,Medium,17.2974,https://leetcode.com/problems/valid-sudoku
37,Sudoku Solver,"Hash Table, Backtracking",44.0%,Hard,10.7978,https://leetcode.com/problems/sudoku-solver
