Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
1,Two Sum,"Array, Hash Table",45.7%,Easy,7.01615,https://leetcode.com/problems/two-sum
2,Add Two Numbers,"Linked List, Math",34.1%,Medium,6.55096,https://leetcode.com/problems/add-two-numbers
3,Longest Substring Without Repeating Characters,"Hash Table, Two Pointers, String, Sliding Window",30.5%,Medium,18.3925,https://leetcode.com/problems/longest-substring-without-repeating-characters
4,Median of Two Sorted Arrays,"Array, Binary Search, Divide and Conquer",29.8%,Hard,11.2078,https://leetcode.com/problems/median-of-two-sorted-arrays
10,Regular Expression Matching,"String, Dynamic Programming, Backtracking",26.9%,Hard,1.14011,https://leetcode.com/problems/regular-expression-matching
11,Container With Most Water,"Array, Two Pointers",51.1%,Medium,7.60069,https://leetcode.com/problems/container-with-most-water
15,3Sum,"Array, Two Pointers",27.0%,Medium,2.2388,https://leetcode.com/problems/3sum
19,Remove Nth Node From End of List,"Linked List, Two Pointers",35.3%,Medium,2.1355,https://leetcode.com/problems/remove-nth-node-from-end-of-list
21,Merge Two Sorted Lists,Linked List,53.9%,Easy,5.35315,https://leetcode.com/problems/merge-two-sorted-lists
22,Generate Parentheses,"String, Backtracking",63.1%,Medium,4.34261,https://leetcode.com/problems/generate-parentheses
23,Merge k Sorted Lists,"Linked List, Divide and Conquer, Heap",40.6%,Hard,19.3809,https://leetcode.com/problems/merge-k-sorted-lists
25,Reverse Nodes in k-Group,Linked List,42.5%,Hard,73.5233,https://leetcode.com/problems/reverse-nodes-in-k-group
31,Next Permutation,Array,32.7%,Medium,51.5245,https://leetcode.com/problems/next-permutation
33,Search in Rotated Sorted Array,"Array, Binary Search",34.7%,Medium,42.4064,https://leetcode.com/problems/search-in-rotated-sorted-array
34,Find First and Last Position of Element in Sorted Array,"Array, Binary Search",36.3%,Medium,5.89293,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array
41,First Missing Positive,Array,32.2%,Hard,9.68166,https://leetcode.com/problems/first-missing-positive
42,Trapping Rain Water,"Array, Two Pointers, Stack",49.2%,Hard,79.5352,https://leetcode.com/problems/trapping-rain-water
44,Wildcard Matching,"String, Dynamic Programming, Backtracking, Greedy",24.8%,Hard,4.51949,https://leetcode.com/problems/wildcard-matching
46,Permutations,Backtracking,64.0%,Medium,4.13567,https://leetcode.com/problems/permutations
51,N-Queens,Backtracking,47.1%,Hard,23.7386,https://leetcode.com/problems/n-queens
53,Maximum Subarray,"Array, Divide and Conquer, Dynamic Programming",46.7%,Easy,6.50481,https://leetcode.com/problems/maximum-subarray
54,Spiral Matrix,Array,34.3%,Medium,14.4265,https://leetcode.com/problems/spiral-matrix
55,Jump Game,"Array, Greedy",34.7%,Medium,1.86533,https://leetcode.com/problems/jump-game
56,Merge Intervals,"Array, Sort",39.5%,Medium,12.8837,https://leetcode.com/problems/merge-intervals
68,Text Justification,String,28.0%,Hard,10.9595,https://leetcode.com/problems/text-justification
71,Simplify Path,"String, Stack",32.8%,Medium,11.096,https://leetcode.com/problems/simplify-path
72,Edit Distance,"String, Dynamic Programming",45.1%,Hard,13.9251,https://leetcode.com/problems/edit-distance
76,Minimum Window Substring,"Hash Table, Two Pointers, String, Sliding Window",34.9%,Hard,3.92983,https://leetcode.com/problems/minimum-window-substring
78,Subsets,"Array, Backtracking, Bit Manipulation",62.5%,Medium,15.5992,https://leetcode.com/problems/subsets
79,Word Search,"Array, Backtracking",35.8%,Medium,24.9067,https://leetcode.com/problems/word-search
83,Remove Duplicates from Sorted List,Linked List,45.6%,Easy,1.00647,https://leetcode.com/problems/remove-duplicates-from-sorted-list
84,Largest Rectangle in Histogram,"Array, Stack",35.5%,Hard,1.13313,https://leetcode.com/problems/largest-rectangle-in-histogram
88,Merge Sorted Array,"Array, Two Pointers",39.6%,Easy,1.05603,https://leetcode.com/problems/merge-sorted-array
92,Reverse Linked List II,Linked List,39.1%,Medium,3.62438,https://leetcode.com/problems/reverse-linked-list-ii
93,Restore IP Addresses,"String, Backtracking",36.0%,Medium,7.0306,https://leetcode.com/problems/restore-ip-addresses
94,Binary Tree Inorder Traversal,"Hash Table, Stack, Tree",63.8%,Medium,0.478539,https://leetcode.com/problems/binary-tree-inorder-traversal
96,Unique Binary Search Trees,"Dynamic Programming, Tree",53.2%,Medium,19.794,https://leetcode.com/problems/unique-binary-search-trees
98,Validate Binary Search Tree,"Tree, Depth-first Search",27.9%,Medium,1.87656,https://leetcode.com/problems/validate-binary-search-tree
103,Binary Tree Zigzag Level Order Traversal,"Stack, Tree, Breadth-first Search",48.6%,Medium,18.2976,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal
