Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
1,Two Sum,"Array, Hash Table",45.7%,Easy,21.3761,https://leetcode.com/problems/two-sum
8,String to Integer (atoi),"Math, String",15.4%,Medium,6.19697,https://leetcode.com/problems/string-to-integer-atoi
12,Integer to Roman,"Math, String",55.3%,Medium,23.3453,https://leetcode.com/problems/integer-to-roman
13,Roman to Integer,"Math, String",55.9%,Easy,13.5996,https://leetcode.com/problems/roman-to-integer
20,Valid Parentheses,"String, Stack",39.1%,Easy,18.3516,https://leetcode.com/problems/valid-parentheses
21,Merge Two Sorted Lists,Linked List,53.9%,Easy,1.65461,https://leetcode.com/problems/merge-two-sorted-lists
23,Merge k Sorted Lists,"Linked List, Divide and Conquer, Heap",40.6%,Hard,4.36417,https://leetcode.com/problems/merge-k-sorted-lists
33,Search in Rotated Sorted Array,"Array, Binary Search",34.7%,Medium,19.3756,https://leetcode.com/problems/search-in-rotated-sorted-array
34,Find First and Last Position of Element in Sorted Array,"Array, Binary Search",36.3%,Medium,18.4285,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array
39,Combination Sum,"Array, Backtracking",56.5%,Medium,2.03112,https://leetcode.com/problems/combination-sum
40,Combination Sum II,"Array, Backtracking",48.6%,Medium,2.80468,https://leetcode.com/problems/combination-sum-ii
46,Permutations,Backtracking,64.0%,Medium,14.0731,https://leetcode.com/problems/permutations
47,Permutations II,Backtracking,46.8%,Medium,8.00843,https://leetcode.com/problems/permutations-ii
50,"Pow(x, n)","Math, Binary Search",30.5%,Medium,38.1995,https://leetcode.com/problems/powx-n
53,Maximum Subarray,"Array, Divide and Conquer, Dynamic Programming",46.7%,Easy,35.0612,https://leetcode.com/problems/maximum-subarray
54,Spiral Matrix,Array,34.3%,Medium,1.64591,https://leetcode.com/problems/spiral-matrix
56,Merge Intervals,"Array, Sort",39.5%,Medium,25.4651,https://leetcode.com/problems/merge-intervals
57,Insert Interval,"Array, Sort",33.7%,Hard,17.5325,https://leetcode.com/problems/insert-interval
61,Rotate List,"Linked List, Two Pointers",30.2%,Medium,4.56162,https://leetcode.com/problems/rotate-list
65,Valid Number,"Math, String",15.4%,Hard,57.5056,https://leetcode.com/problems/valid-number
68,Text Justification,String,28.0%,Hard,52.8468,https://leetcode.com/problems/text-justification
69,Sqrt(x),"Math, Binary Search",34.1%,Easy,14.5649,https://leetcode.com/problems/sqrtx
70,Climbing Stairs,Dynamic Programming,47.9%,Easy,0.680994,https://leetcode.com/problems/climbing-stairs
72,Edit Distance,"String, Dynamic Programming",45.1%,Hard,27.7871,https://leetcode.com/problems/edit-distance
75,Sort Colors,"Array, Two Pointers, Sort",47.6%,Medium,1.75917,https://leetcode.com/problems/sort-colors
76,Minimum Window Substring,"Hash Table, Two Pointers, String, Sliding Window",34.9%,Hard,24.7847,https://leetcode.com/problems/minimum-window-substring
88,Merge Sorted Array,"Array, Two Pointers",39.6%,Easy,2.54118,https://leetcode.com/problems/merge-sorted-array
98,Validate Binary Search Tree,"Tree, Depth-first Search",27.9%,Medium,0.847709,https://leetcode.com/problems/validate-binary-search-tree
100,Same Tree,"Tree, Depth-first Search",53.5%,Easy,4.45631,https://leetcode.com/problems/same-tree
101,Symmetric Tree,"Tree, Depth-first Search, Breadth-first Search",47.1%,Easy,9.28331,https://leetcode.com/problems/symmetric-tree
102,Binary Tree Level Order Traversal,"Tree, Breadth-first Search",54.9%,Medium,22.0293,https://leetcode.com/problems/binary-tree-level-order-traversal
103,Binary Tree Zigzag Level Order Traversal,"Stack, Tree, Breadth-first Search",48.6%,Medium,5.31435,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal
104,Maximum Depth of Binary Tree,"Tree, Depth-first Search",66.3%,Easy,7.74761,https://leetcode.com/problems/maximum-depth-of-binary-tree
113,Path Sum II,"Tree, Depth-first Search",47.1%,Medium,0.282534,https://leetcode.com/problems/path-sum-ii
121,Best Time to Buy and Sell Stock,"Array, Dynamic Programming",50.6%,Easy,0.605277,https://leetcode.com/problems/best-time-to-buy-and-sell-stock
125,Valid Palindrome,"Two Pointers, String",36.9%,Easy,0.108201,https://leetcode.com/problems/valid-palindrome
126,Word Ladder II,"Array, String, Backtracking, Breadth-first Search",22.4%,Hard,10.6972,https://leetcode.com/problems/word-ladder-ii
127,Word Ladder,Breadth-first Search,29.9%,Medium,18.0791,https://leetcode.com/problems/word-ladder
141,Linked List Cycle,"Linked List, Two Pointers",41.4%,Easy,0.459243,https://leetcode.com/problems/linked-list-cycle
142,Linked List Cycle II,"Linked List, Two Pointers",37.6%,Medium,0.225345,https://leetcode.com/problems/linked-list-cycle-ii
146,LRU Cache,Design,33.5%,Medium,14.015,https://leetcode.com/problems/lru-cache
149,Max Points on a Line,"Hash Table, Math",17.0%,Hard,61.6715,https://leetcode.com/problems/max-points-on-a-line
150,Evaluate Reverse Polish Notation,Stack,36.6%,Medium,45.0494,https://leetcode.com/problems/evaluate-reverse-polish-notation
152,Maximum Product Subarray,"Array, Dynamic Programming",31.8%,Medium,30.9846,https://leetcode.com/problems/maximum-product-subarray
155,Min Stack,"Stack, Design",44.8%,Easy,2.26129,https://leetcode.com/problems/min-stack
156,Binary Tree Upside Down,Tree,55.2%,Medium,80.0091,https://leetcode.com/problems/binary-tree-upside-down
160,Intersection of Two Linked Lists,Linked List,41.1%,Easy,8.94016,https://leetcode.com/problems/intersection-of-two-linked-lists
170,Two Sum III - Data structure design,"Hash Table, Design",33.7%,Easy,87.0631,https://leetcode.com/problems/two-sum-iii-data-structure-design
173,Binary Search Tree Iterator,"Stack, Tree, Design",57.1%,Medium,3.61175,https://leetcode.com/problems/binary-search-tree-iterator
187,Repeated DNA Sequences,"Hash Table, Bit Manipulation",39.0%,Medium,34.2094,https://leetcode.com/problems/repeated-dna-sequences
198,House Robber,Dynamic Programming,42.1%,Easy,1.53814,https://leetcode.com/problems/house-robber
200,Number of Islands,"Depth-first Search, Breadth-first Search, Union Find",47.1%,Medium,26.9248,https://leetcode.com/problems/number-of-islands
205,Isomorphic Strings,Hash Table,39.9%,Easy,43.24,https://leetcode.com/problems/isomorphic-strings
207,Course Schedule,"Depth-first Search, Breadth-first Search, Graph, Topological Sort",43.3%,Medium,0.308758,https://leetcode.com/problems/course-schedule
215,Kth Largest Element in an Array,"Divide and Conquer, Heap",55.8%,Medium,12.388,https://leetcode.com/problems/kth-largest-element-in-an-array
235,Lowest Common Ancestor of a Binary Search Tree,Tree,50.2%,Easy,22.7074,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree
236,Lowest Common Ancestor of a Binary Tree,Tree,46.2%,Medium,23.6786,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree
238,Product of Array Except Self,Array,60.3%,Medium,1.32636,https://leetcode.com/problems/product-of-array-except-self
240,Search a 2D Matrix II,"Binary Search, Divide and Conquer",43.3%,Medium,0.424273,https://leetcode.com/problems/search-a-2d-matrix-ii
243,Shortest Word Distance,Array,61.1%,Easy,67.3632,https://leetcode.com/problems/shortest-word-distance
244,Shortest Word Distance II,"Hash Table, Design",52.5%,Medium,100.0,https://leetcode.com/problems/shortest-word-distance-ii
245,Shortest Word Distance III,Array,55.4%,Medium,40.8304,https://leetcode.com/problems/shortest-word-distance-iii
254,Factor Combinations,Backtracking,46.8%,Medium,67.9805,https://leetcode.com/problems/factor-combinations
256,Paint House,Dynamic Programming,52.2%,Easy,63.1975,https://leetcode.com/problems/paint-house
261,Graph Valid Tree,"Depth-first Search, Breadth-first Search, Union Find, Graph",42.3%,Medium,35.6309,https://leetcode.com/problems/graph-valid-tree
265,Paint House II,Dynamic Programming,44.8%,Hard,60.2997,https://leetcode.com/problems/paint-house-ii
272,Closest Binary Search Tree Value II,"Stack, Tree",50.7%,Hard,75.3561,https://leetcode.com/problems/closest-binary-search-tree-value-ii
273,Integer to English Words,"Math, String",27.2%,Hard,20.3339,https://leetcode.com/problems/integer-to-english-words
277,Find the Celebrity,Array,42.1%,Medium,24.9861,https://leetcode.com/problems/find-the-celebrity
279,Perfect Squares,"Math, Dynamic Programming, Breadth-first Search",47.6%,Medium,0.126251,https://leetcode.com/problems/perfect-squares
296,Best Meeting Point,"Math, Sort",57.6%,Hard,11.0382,https://leetcode.com/problems/best-meeting-point
297,Serialize and Deserialize Binary Tree,"Tree, Design",47.8%,Hard,39.1858,https://leetcode.com/problems/serialize-and-deserialize-binary-tree
311,Sparse Matrix Multiplication,Hash Table,62.2%,Medium,7.21998,https://leetcode.com/problems/sparse-matrix-multiplication
322,Coin Change,Dynamic Programming,35.8%,Medium,2.71416,https://leetcode.com/problems/coin-change
323,Number of Connected Components in an Undirected Graph,"Depth-first Search, Breadth-first Search, Union Find, Graph",56.3%,Medium,4.60211,https://leetcode.com/problems/number-of-connected-components-in-an-undirected-graph
339,Nested List Weight Sum,Depth-first Search,74.2%,Easy,77.4272,https://leetcode.com/problems/nested-list-weight-sum
341,Flatten Nested List Iterator,"Stack, Design",53.1%,Medium,45.7527,https://leetcode.com/problems/flatten-nested-list-iterator
347,Top K Frequent Elements,"Hash Table, Heap",61.4%,Medium,0.977146,https://leetcode.com/problems/top-k-frequent-elements
349,Intersection of Two Arrays,"Hash Table, Two Pointers, Binary Search, Sort",62.9%,Easy,4.92255,https://leetcode.com/problems/intersection-of-two-arrays
350,Intersection of Two Arrays II,"Hash Table, Two Pointers, Binary Search, Sort",51.5%,Easy,1.57847,https://leetcode.com/problems/intersection-of-two-arrays-ii
359,Logger Rate Limiter,"Hash Table, Design",70.9%,Easy,0.274181,https://leetcode.com/problems/logger-rate-limiter
362,Design Hit Counter,Design,63.9%,Medium,0.76518,https://leetcode.com/problems/design-hit-counter
364,Nested List Weight Sum II,Depth-first Search,62.8%,Medium,94.1172,https://leetcode.com/problems/nested-list-weight-sum-ii
366,Find Leaves of Binary Tree,"Tree, Depth-first Search",70.8%,Medium,61.362,https://leetcode.com/problems/find-leaves-of-binary-tree
367,Valid Perfect Square,"Math, Binary Search",41.7%,Easy,5.5208,https://leetcode.com/problems/valid-perfect-square
373,Find K Pairs with Smallest Sums,Heap,36.9%,Medium,23.7666,https://leetcode.com/problems/find-k-pairs-with-smallest-sums
380,Insert Delete GetRandom O(1),"Array, Hash Table, Design",47.7%,Medium,52.0029,https://leetcode.com/problems/insert-delete-getrandom-o1
