Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
14,Longest Common Prefix,String,35.5%,Easy,7.44181,https://leetcode.com/problems/longest-common-prefix
15,3Sum,"Array, Two Pointers",27.0%,Medium,1.14563,https://leetcode.com/problems/3sum
31,Next Permutation,Array,32.7%,Medium,2.86567,https://leetcode.com/problems/next-permutation
39,Combination Sum,"Array, Backtracking",56.5%,Medium,0.933783,https://leetcode.com/problems/combination-sum
48,Rotate Image,Array,57.3%,Medium,1.44287,https://leetcode.com/problems/rotate-image
113,Path Sum II,"Tree, Depth-first Search",47.1%,Medium,5.09967,https://leetcode.com/problems/path-sum-ii
162,Find Peak Element,"Array, Binary Search",43.4%,Medium,3.83184,https://leetcode.com/problems/find-peak-element
198,House Robber,Dynamic Programming,42.1%,Easy,0.0934443,https://leetcode.com/problems/house-robber
253,Meeting Rooms II,"Heap, Greedy, Sort",45.8%,Medium,6.10376,https://leetcode.com/problems/meeting-rooms-ii
297,Serialize and Deserialize Binary Tree,"Tree, Design",47.8%,Hard,23.6357,https://leetcode.com/problems/serialize-and-deserialize-binary-tree
380,Insert Delete GetRandom O(1),"Array, Hash Table, Design",47.7%,Medium,3.78934,https://leetcode.com/problems/insert-delete-getrandom-o1
390,Elimination Game,,44.5%,Medium,2.64615,https://leetcode.com/problems/elimination-game
437,Path Sum III,Tree,47.3%,Medium,3.29677,https://leetcode.com/problems/path-sum-iii
452,Minimum Number of Arrows to Burst Balloons,Greedy,49.7%,Medium,2.99797,https://leetcode.com/problems/minimum-number-of-arrows-to-burst-balloons
498,Diagonal Traverse,,48.4%,Medium,8.77864,https://leetcode.com/problems/diagonal-traverse
525,Contiguous Array,Hash Table,42.9%,Medium,19.907,https://leetcode.com/problems/contiguous-array
560,Subarray Sum Equals K,"Array, Hash Table",43.8%,Medium,0.101664,https://leetcode.com/problems/subarray-sum-equals-k
717,1-bit and 2-bit Characters,Array,48.5%,Easy,0.0,https://leetcode.com/problems/1-bit-and-2-bit-characters
780,Reaching Points,Math,29.6%,Hard,2.31301,https://leetcode.com/problems/reaching-points
852,Peak Index in a Mountain Array,Binary Search,71.7%,Easy,2.84088,https://leetcode.com/problems/peak-index-in-a-mountain-array
855,Exam Room,Ordered Map,43.2%,Medium,61.8178,https://leetcode.com/problems/exam-room
923,3Sum With Multiplicity,Two Pointers,35.7%,Medium,100.0,https://leetcode.com/problems/3sum-with-multiplicity
1027,Longest Arithmetic Subsequence,Dynamic Programming,52.3%,Medium,3.21805,https://leetcode.com/problems/longest-arithmetic-subsequence
1053,Previous Permutation With One Swap,"Array, Greedy",48.5%,Medium,5.68879,https://leetcode.com/problems/previous-permutation-with-one-swap
1256,Encode Number,"Math, Bit Manipulation",66.4%,Medium,0.0,https://leetcode.com/problems/encode-number
1281,Subtract the Product and Sum of Digits of an Integer,Math,85.3%,Easy,0.0,https://leetcode.com/problems/subtract-the-product-and-sum-of-digits-of-an-integer
1295,Find Numbers with Even Number of Digits,Array,80.9%,Easy,0.0,https://leetcode.com/problems/find-numbers-with-even-number-of-digits
1329,Sort the Matrix Diagonally,"Array, Sort",78.5%,Medium,5.58784,https://leetcode.com/problems/sort-the-matrix-diagonally
1354,Construct Target Array With Multiple Sums,Greedy,31.7%,Hard,0.0,https://leetcode.com/problems/construct-target-array-with-multiple-sums
