Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
54,Spiral Matrix,Array,34.3%,Medium,70.5233,https://leetcode.com/problems/spiral-matrix
59,Spiral Matrix II,Array,54.3%,Medium,30.5676,https://leetcode.com/problems/spiral-matrix-ii
68,Text Justification,String,28.0%,Hard,58.8145,https://leetcode.com/problems/text-justification
224,Basic Calculator,"Math, Stack",37.1%,Hard,71.7531,https://leetcode.com/problems/basic-calculator
418,Sentence Screen Fitting,Dynamic Programming,32.7%,Medium,100.0,https://leetcode.com/problems/sentence-screen-fitting
438,Find All Anagrams in a String,Hash Table,43.6%,Medium,1.40276,https://leetcode.com/problems/find-all-anagrams-in-a-string
498,Diagonal Traverse,,48.4%,Medium,9.71457,https://leetcode.com/problems/diagonal-traverse
525,Contiguous Array,Hash Table,42.9%,Medium,3.97198,https://leetcode.com/problems/contiguous-array
697,Degree of an Array,Array,53.9%,Easy,11.3804,https://leetcode.com/problems/degree-of-an-array
755,Pour Water,Array,43.5%,Medium,65.7674,https://leetcode.com/problems/pour-water
1329,Sort the Matrix Diagonally,"Array, Sort",78.5%,Medium,14.7816,https://leetcode.com/problems/sort-the-matrix-diagonally
1391,Check if There is a Valid Path in a Grid,"Depth-first Search, Breadth-first Search",44.6%,Medium,16.2821,https://leetcode.com/problems/check-if-there-is-a-valid-path-in-a-grid
1393,Capital Gain/Loss,,89.5%,Medium,0.0,https://leetcode.com/problems/capital-gainloss
