Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
1,Two Sum,"Array, Hash Table",45.7%,Easy,5.609,https://leetcode.com/problems/two-sum
3,Longest Substring Without Repeating Characters,"Hash Table, Two Pointers, String, Sliding Window",30.5%,Medium,1.62414,https://leetcode.com/problems/longest-substring-without-repeating-characters
14,Longest Common Prefix,String,35.5%,Easy,1.83278,https://leetcode.com/problems/longest-common-prefix
15,3Sum,"Array, Two Pointers",27.0%,Medium,4.00628,https://leetcode.com/problems/3sum
22,Generate Parentheses,"String, Backtracking",63.1%,Medium,1.5622,https://leetcode.com/problems/generate-parentheses
33,Search in Rotated Sorted Array,"Array, Binary Search",34.7%,Medium,2.62664,https://leetcode.com/problems/search-in-rotated-sorted-array
36,Valid Sudoku,Hash Table,49.1%,Medium,55.993,https://leetcode.com/problems/valid-sudoku
37,Sudoku Solver,"Hash Table, Backtracking",44.0%,Hard,24.267,https://leetcode.com/problems/sudoku-solver
39,Combination Sum,"Array, Backtracking",56.5%,Medium,4.67027,https://leetcode.com/problems/combination-sum
40,Combination Sum II,"Array, Backtracking",48.6%,Medium,0.0,https://leetcode.com/problems/combination-sum-ii
42,Trapping Rain Water,"Array, Two Pointers, Stack",49.2%,Hard,7.98697,https://leetcode.com/problems/trapping-rain-water
44,Wildcard Matching,"String, Dynamic Programming, Backtracking, Greedy",24.8%,Hard,2.52969,https://leetcode.com/problems/wildcard-matching
49,Group Anagrams,"Hash Table, String",57.3%,Medium,3.06321,https://leetcode.com/problems/group-anagrams
54,Spiral Matrix,Array,34.3%,Medium,8.07493,https://leetcode.com/problems/spiral-matrix
56,Merge Intervals,"Array, Sort",39.5%,Medium,8.66404,https://leetcode.com/problems/merge-intervals
62,Unique Paths,"Array, Dynamic Programming",54.4%,Medium,0.974034,https://leetcode.com/problems/unique-paths
63,Unique Paths II,"Array, Dynamic Programming",34.7%,Medium,0.815528,https://leetcode.com/problems/unique-paths-ii
68,Text Justification,String,28.0%,Hard,78.3258,https://leetcode.com/problems/text-justification
76,Minimum Window Substring,"Hash Table, Two Pointers, String, Sliding Window",34.9%,Hard,6.594,https://leetcode.com/problems/minimum-window-substring
79,Word Search,"Array, Backtracking",35.8%,Medium,30.6309,https://leetcode.com/problems/word-search
91,Decode Ways,"String, Dynamic Programming",24.9%,Medium,2.65419,https://leetcode.com/problems/decode-ways
96,Unique Binary Search Trees,"Dynamic Programming, Tree",53.2%,Medium,3.74961,https://leetcode.com/problems/unique-binary-search-trees
121,Best Time to Buy and Sell Stock,"Array, Dynamic Programming",50.6%,Easy,2.26683,https://leetcode.com/problems/best-time-to-buy-and-sell-stock
126,Word Ladder II,"Array, String, Backtracking, Breadth-first Search",22.4%,Hard,13.7433,https://leetcode.com/problems/word-ladder-ii
127,Word Ladder,Breadth-first Search,29.9%,Medium,38.9631,https://leetcode.com/problems/word-ladder
139,Word Break,Dynamic Programming,40.3%,Medium,34.6752,https://leetcode.com/problems/word-break
140,Word Break II,"Dynamic Programming, Backtracking",32.9%,Hard,36.3395,https://leetcode.com/problems/word-break-ii
146,LRU Cache,Design,33.5%,Medium,88.6484,https://leetcode.com/problems/lru-cache
151,Reverse Words in a String,String,22.1%,Medium,1.85432,https://leetcode.com/problems/reverse-words-in-a-string
155,Min Stack,"Stack, Design",44.8%,Easy,2.55115,https://leetcode.com/problems/min-stack
161,One Edit Distance,String,32.3%,Medium,17.8892,https://leetcode.com/problems/one-edit-distance
169,Majority Element,"Array, Divide and Conquer, Bit Manipulation",58.9%,Easy,12.1504,https://leetcode.com/problems/majority-element
189,Rotate Array,Array,35.0%,Easy,0.362297,https://leetcode.com/problems/rotate-array
200,Number of Islands,"Depth-first Search, Breadth-first Search, Union Find",47.1%,Medium,14.8237,https://leetcode.com/problems/number-of-islands
