Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
15,3Sum,"Array, Two Pointers",27.0%,Medium,1.69955,https://leetcode.com/problems/3sum
17,Letter Combinations of a Phone Number,"String, Backtracking",47.1%,Medium,10.2136,https://leetcode.com/problems/letter-combinations-of-a-phone-number
39,Combination Sum,"Array, Backtracking",56.5%,Medium,0.718057,https://leetcode.com/problems/combination-sum
72,Edit Distance,"String, Dynamic Programming",45.1%,Hard,100.0,https://leetcode.com/problems/edit-distance
91,Decode Ways,"String, Dynamic Programming",24.9%,Medium,33.1102,https://leetcode.com/problems/decode-ways
105,Construct Binary Tree from Preorder and Inorder Traversal,"Array, Tree, Depth-first Search",49.3%,Medium,6.91824,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal
127,Word Ladder,Breadth-first Search,29.9%,Medium,6.25649,https://leetcode.com/problems/word-ladder
139,Word Break,Dynamic Programming,40.3%,Medium,1.25122,https://leetcode.com/problems/word-break
165,Compare Version Numbers,String,27.6%,Medium,14.3696,https://leetcode.com/problems/compare-version-numbers
200,Number of Islands,"Depth-first Search, Breadth-first Search, Union Find",47.1%,Medium,1.34446,https://leetcode.com/problems/number-of-islands
208,Implement Trie (Prefix Tree),"Design, Trie",49.9%,Medium,6.26753,https://leetcode.com/problems/implement-trie-prefix-tree
210,Course Schedule II,"Depth-first Search, Breadth-first Search, Graph, Topological Sort",41.0%,Medium,3.3865,https://leetcode.com/problems/course-schedule-ii
269,Alien Dictionary,"Graph, Topological Sort",33.3%,Hard,18.6806,https://leetcode.com/problems/alien-dictionary
271,Encode and Decode Strings,String,31.7%,Medium,79.4913,https://leetcode.com/problems/encode-and-decode-strings
273,Integer to English Words,"Math, String",27.2%,Hard,14.3542,https://leetcode.com/problems/integer-to-english-words
277,Find the Celebrity,Array,42.1%,Medium,7.28404,https://leetcode.com/problems/find-the-celebrity
332,Reconstruct Itinerary,"Depth-first Search, Graph",36.9%,Medium,4.02648,https://leetcode.com/problems/reconstruct-itinerary
336,Palindrome Pairs,"Hash Table, String, Trie",33.8%,Hard,58.5777,https://leetcode.com/problems/palindrome-pairs
388,Longest Absolute File Path,,41.8%,Medium,14.2009,https://leetcode.com/problems/longest-absolute-file-path
415,Add Strings,String,47.7%,Easy,11.2344,https://leetcode.com/problems/add-strings
573,Squirrel Simulation,Math,55.8%,Medium,0.0,https://leetcode.com/problems/squirrel-simulation
699,Falling Squares,"Segment Tree, Ordered Map",41.9%,Hard,0.0,https://leetcode.com/problems/falling-squares
824,Goat Latin,String,65.9%,Easy,1.89379,https://leetcode.com/problems/goat-latin
969,Pancake Sorting,"Array, Sort",68.2%,Medium,7.42355,https://leetcode.com/problems/pancake-sorting
981,Time Based Key-Value Store,"Hash Table, Binary Search",53.1%,Medium,2.76933,https://leetcode.com/problems/time-based-key-value-store
999,Available Captures for Rook,Array,66.7%,Easy,54.0239,https://leetcode.com/problems/available-captures-for-rook
1336,Number of Transactions per Visit,,44.7%,Hard,21.4055,https://leetcode.com/problems/number-of-transactions-per-visit
