Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
1,Two Sum,"Array, Hash Table",45.7%,Easy,39.6949,https://leetcode.com/problems/two-sum
4,Median of Two Sorted Arrays,"Array, Binary Search, Divide and Conquer",29.8%,Hard,7.11267,https://leetcode.com/problems/median-of-two-sorted-arrays
14,Longest Common Prefix,String,35.5%,Easy,4.59796,https://leetcode.com/problems/longest-common-prefix
15,3Sum,"Array, Two Pointers",27.0%,Medium,10.0507,https://leetcode.com/problems/3sum
20,Valid Parentheses,"String, Stack",39.1%,Easy,25.2039,https://leetcode.com/problems/valid-parentheses
21,Merge Two Sorted Lists,Linked List,53.9%,Easy,1.0703,https://leetcode.com/problems/merge-two-sorted-lists
33,Search in Rotated Sorted Array,"Array, Binary Search",34.7%,Medium,2.94933,https://leetcode.com/problems/search-in-rotated-sorted-array
34,Find First and Last Position of Element in Sorted Array,"Array, Binary Search",36.3%,Medium,2.09357,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array
42,Trapping Rain Water,"Array, Two Pointers, Stack",49.2%,Hard,33.0137,https://leetcode.com/problems/trapping-rain-water
49,Group Anagrams,"Hash Table, String",57.3%,Medium,5.36067,https://leetcode.com/problems/group-anagrams
53,Maximum Subarray,"Array, Divide and Conquer, Dynamic Programming",46.7%,Easy,5.56385,https://leetcode.com/problems/maximum-subarray
54,Spiral Matrix,Array,34.3%,Medium,25.3835,https://leetcode.com/problems/spiral-matrix
56,Merge Intervals,"Array, Sort",39.5%,Medium,1.68081,https://leetcode.com/problems/merge-intervals
76,Minimum Window Substring,"Hash Table, Two Pointers, String, Sliding Window",34.9%,Hard,8.57161,https://leetcode.com/problems/minimum-window-substring
98,Validate Binary Search Tree,"Tree, Depth-first Search",27.9%,Medium,13.0735,https://leetcode.com/problems/validate-binary-search-tree
101,Symmetric Tree,"Tree, Depth-first Search, Breadth-first Search",47.1%,Easy,0.793688,https://leetcode.com/problems/symmetric-tree
121,Best Time to Buy and Sell Stock,"Array, Dynamic Programming",50.6%,Easy,1.87066,https://leetcode.com/problems/best-time-to-buy-and-sell-stock
138,Copy List with Random Pointer,"Hash Table, Linked List",37.0%,Medium,5.44031,https://leetcode.com/problems/copy-list-with-random-pointer
146,LRU Cache,Design,33.5%,Medium,6.42358,https://leetcode.com/problems/lru-cache
155,Min Stack,"Stack, Design",44.8%,Easy,2.32226,https://leetcode.com/problems/min-stack
189,Rotate Array,Array,35.0%,Easy,2.04059,https://leetcode.com/problems/rotate-array
200,Number of Islands,"Depth-first Search, Breadth-first Search, Union Find",47.1%,Medium,18.2419,https://leetcode.com/problems/number-of-islands
206,Reverse Linked List,Linked List,63.0%,Easy,3.03902,https://leetcode.com/problems/reverse-linked-list
236,Lowest Common Ancestor of a Binary Tree,Tree,46.2%,Medium,6.76617,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree
238,Product of Array Except Self,Array,60.3%,Medium,7.55078,https://leetcode.com/problems/product-of-array-except-self
253,Meeting Rooms II,"Heap, Greedy, Sort",45.8%,Medium,10.1241,https://leetcode.com/problems/meeting-rooms-ii
273,Integer to English Words,"Math, String",27.2%,Hard,6.8966,https://leetcode.com/problems/integer-to-english-words
322,Coin Change,Dynamic Programming,35.8%,Medium,4.9981,https://leetcode.com/problems/coin-change
362,Design Hit Counter,Design,63.9%,Medium,11.8007,https://leetcode.com/problems/design-hit-counter
377,Combination Sum IV,Dynamic Programming,45.4%,Medium,18.634,https://leetcode.com/problems/combination-sum-iv
380,Insert Delete GetRandom O(1),"Array, Hash Table, Design",47.7%,Medium,2.20713,https://leetcode.com/problems/insert-delete-getrandom-o1
383,Ransom Note,String,53.1%,Easy,10.068,https://leetcode.com/problems/ransom-note
498,Diagonal Traverse,,48.4%,Medium,12.3102,https://leetcode.com/problems/diagonal-traverse
697,Degree of an Array,Array,53.9%,Easy,14.4211,https://leetcode.com/problems/degree-of-an-array
735,Asteroid Collision,Stack,41.1%,Medium,24.3582,https://leetcode.com/problems/asteroid-collision
761,Special Binary String,"String, Recursion",55.0%,Hard,62.1598,https://leetcode.com/problems/special-binary-string
829,Consecutive Numbers Sum,Math,38.1%,Hard,100.0,https://leetcode.com/problems/consecutive-numbers-sum
973,K Closest Points to Origin,"Divide and Conquer, Heap, Sort",64.0%,Medium,1.26455,https://leetcode.com/problems/k-closest-points-to-origin
1010,Pairs of Songs With Total Durations Divisible by 60,Array,47.3%,Easy,8.41639,https://leetcode.com/problems/pairs-of-songs-with-total-durations-divisible-by-60
1025,Divisor Game,"Math, Dynamic Programming",66.2%,Easy,0.0,https://leetcode.com/problems/divisor-game
1353,Maximum Number of Events That Can Be Attended,"Greedy, Sort, Segment Tree",30.3%,Medium,77.5351,https://leetcode.com/problems/maximum-number-of-events-that-can-be-attended
1389,Create Target Array in the Given Order,Array,84.4%,Easy,0.0,https://leetcode.com/problems/create-target-array-in-the-given-order
