Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
1,Two Sum,"Array, Hash Table",45.7%,Easy,70.3757,https://leetcode.com/problems/two-sum
2,Add Two Numbers,"Linked List, Math",34.1%,Medium,14.9326,https://leetcode.com/problems/add-two-numbers
3,Longest Substring Without Repeating Characters,"Hash Table, Two Pointers, String, Sliding Window",30.5%,Medium,15.3288,https://leetcode.com/problems/longest-substring-without-repeating-characters
4,Median of Two Sorted Arrays,"Array, Binary Search, Divide and Conquer",29.8%,Hard,5.98921,https://leetcode.com/problems/median-of-two-sorted-arrays
5,Longest Palindromic Substring,"String, Dynamic Programming",29.6%,Medium,5.0278,https://leetcode.com/problems/longest-palindromic-substring
15,3Sum,"Array, Two Pointers",27.0%,Medium,5.15869,https://leetcode.com/problems/3sum
16,3Sum Closest,"Array, Two Pointers",46.0%,Medium,1.45886,https://leetcode.com/problems/3sum-closest
19,Remove Nth Node From End of List,"Linked List, Two Pointers",35.3%,Medium,3.93267,https://leetcode.com/problems/remove-nth-node-from-end-of-list
20,Valid Parentheses,"String, Stack",39.1%,Easy,58.4165,https://leetcode.com/problems/valid-parentheses
21,Merge Two Sorted Lists,Linked List,53.9%,Easy,18.8333,https://leetcode.com/problems/merge-two-sorted-lists
22,Generate Parentheses,"String, Backtracking",63.1%,Medium,76.5488,https://leetcode.com/problems/generate-parentheses
23,Merge k Sorted Lists,"Linked List, Divide and Conquer, Heap",40.6%,Hard,51.2129,https://leetcode.com/problems/merge-k-sorted-lists
28,Implement strStr(),"Two Pointers, String",34.6%,Easy,1.65836,https://leetcode.com/problems/implement-strstr
33,Search in Rotated Sorted Array,"Array, Binary Search",34.7%,Medium,3.86815,https://leetcode.com/problems/search-in-rotated-sorted-array
34,Find First and Last Position of Element in Sorted Array,"Array, Binary Search",36.3%,Medium,1.76288,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array
42,Trapping Rain Water,"Array, Two Pointers, Stack",49.2%,Hard,16.8722,https://leetcode.com/problems/trapping-rain-water
48,Rotate Image,Array,57.3%,Medium,3.5379,https://leetcode.com/problems/rotate-image
49,Group Anagrams,"Hash Table, String",57.3%,Medium,62.9745,https://leetcode.com/problems/group-anagrams
56,Merge Intervals,"Array, Sort",39.5%,Medium,28.9235,https://leetcode.com/problems/merge-intervals
59,Spiral Matrix II,Array,54.3%,Medium,17.2475,https://leetcode.com/problems/spiral-matrix-ii
71,Simplify Path,"String, Stack",32.8%,Medium,3.35449,https://leetcode.com/problems/simplify-path
88,Merge Sorted Array,"Array, Two Pointers",39.6%,Easy,13.4891,https://leetcode.com/problems/merge-sorted-array
98,Validate Binary Search Tree,"Tree, Depth-first Search",27.9%,Medium,29.3079,https://leetcode.com/problems/validate-binary-search-tree
101,Symmetric Tree,"Tree, Depth-first Search, Breadth-first Search",47.1%,Easy,13.151,https://leetcode.com/problems/symmetric-tree
125,Valid Palindrome,"Two Pointers, String",36.9%,Easy,65.0895,https://leetcode.com/problems/valid-palindrome
146,LRU Cache,Design,33.5%,Medium,99.1793,https://leetcode.com/problems/lru-cache
150,Evaluate Reverse Polish Notation,Stack,36.6%,Medium,2.86475,https://leetcode.com/problems/evaluate-reverse-polish-notation
204,Count Primes,"Hash Table, Math",31.6%,Easy,5.39921,https://leetcode.com/problems/count-primes
206,Reverse Linked List,Linked List,63.0%,Easy,88.0703,https://leetcode.com/problems/reverse-linked-list
228,Summary Ranges,Array,39.7%,Medium,100.0,https://leetcode.com/problems/summary-ranges
232,Implement Queue using Stacks,"Stack, Design",50.1%,Easy,20.416,https://leetcode.com/problems/implement-queue-using-stacks
279,Perfect Squares,"Math, Dynamic Programming, Breadth-first Search",47.6%,Medium,1.63951,https://leetcode.com/problems/perfect-squares
281,Zigzag Iterator,Design,58.6%,Medium,50.3258,https://leetcode.com/problems/zigzag-iterator
283,Move Zeroes,"Array, Two Pointers",58.0%,Easy,75.5579,https://leetcode.com/problems/move-zeroes
332,Reconstruct Itinerary,"Depth-first Search, Graph",36.9%,Medium,11.0281,https://leetcode.com/problems/reconstruct-itinerary
350,Intersection of Two Arrays II,"Hash Table, Two Pointers, Binary Search, Sort",51.5%,Easy,2.37476,https://leetcode.com/problems/intersection-of-two-arrays-ii
380,Insert Delete GetRandom O(1),"Array, Hash Table, Design",47.7%,Medium,34.8638,https://leetcode.com/problems/insert-delete-getrandom-o1
392,Is Subsequence,"Binary Search, Dynamic Programming, Greedy",49.2%,Easy,4.16231,https://leetcode.com/problems/is-subsequence
443,String Compression,String,41.5%,Easy,38.8043,https://leetcode.com/problems/string-compression
449,Serialize and Deserialize BST,Tree,52.3%,Medium,5.28509,https://leetcode.com/problems/serialize-and-deserialize-bst
487,Max Consecutive Ones II,Two Pointers,48.4%,Medium,36.6652,https://leetcode.com/problems/max-consecutive-ones-ii
560,Subarray Sum Equals K,"Array, Hash Table",43.8%,Medium,29.6783,https://leetcode.com/problems/subarray-sum-equals-k
567,Permutation in String,"Two Pointers, Sliding Window",44.4%,Medium,23.4575,https://leetcode.com/problems/permutation-in-string
933,Number of Recent Calls,Queue,72.3%,Easy,5.70918,https://leetcode.com/problems/number-of-recent-calls
974,Subarray Sums Divisible by K,"Array, Hash Table",49.1%,Medium,5.76941,https://leetcode.com/problems/subarray-sums-divisible-by-k
1004,Max Consecutive Ones III,"Two Pointers, Sliding Window",59.4%,Medium,30.6145,https://leetcode.com/problems/max-consecutive-ones-iii
1493,Longest Subarray of 1's After Deleting One Element,Array,59.2%,Medium,0.0,https://leetcode.com/problems/longest-subarray-of-1s-after-deleting-one-element
