ChapterSerial,Chapter,ProblemSerial,Problem,Id,Acceptance,Difficulty,Frequency,Link
1,Arrays and Strings,1,Two Sum,1,45.7%,Easy,100.0,https://leetcode.com/problems/two-sum
1,Arrays and Strings,2,Longest Substring Without Repeating Characters,3,30.5%,Medium,91.7317,https://leetcode.com/problems/longest-substring-without-repeating-characters
1,Arrays and Strings,3,String to Integer (atoi),8,15.4%,Medium,56.5727,https://leetcode.com/problems/string-to-integer-atoi
1,Arrays and Strings,4,Integer to Roman,12,55.3%,Medium,57.7306,https://leetcode.com/problems/integer-to-roman
1,Arrays and Strings,5,Roman to Integer,13,55.9%,Easy,63.4908,https://leetcode.com/problems/roman-to-integer
1,Arrays and Strings,6,3Sum,15,27.0%,Medium,91.8944,https://leetcode.com/problems/3sum
1,Arrays and Strings,7,3Sum Closest,16,46.0%,Medium,47.4193,https://leetcode.com/problems/3sum-closest
1,Arrays and Strings,8,4Sum,18,33.8%,Medium,58.2091,https://leetcode.com/problems/4sum
1,Arrays and Strings,9,Group Anagrams,49,57.3%,Medium,70.0943,https://leetcode.com/problems/group-anagrams
1,Arrays and Strings,10,Spiral Matrix,54,34.3%,Medium,73.5962,https://leetcode.com/problems/spiral-matrix
1,Arrays and Strings,11,Minimum Window Substring,76,34.9%,Hard,74.7578,https://leetcode.com/problems/minimum-window-substring
1,Arrays and Strings,12,Valid Palindrome,125,36.9%,Easy,52.5565,https://leetcode.com/problems/valid-palindrome
1,Arrays and Strings,13,Majority Element II,229,35.8%,Medium,26.9329,https://leetcode.com/problems/majority-element-ii
1,Arrays and Strings,14,Product of Array Except Self,238,60.3%,Medium,86.5206,https://leetcode.com/problems/product-of-array-except-self
1,Arrays and Strings,15,Missing Number,268,51.9%,Easy,47.0576,https://leetcode.com/problems/missing-number
1,Arrays and Strings,16,First Unique Character in a String,387,53.4%,Easy,53.2598,https://leetcode.com/problems/first-unique-character-in-a-string
1,Arrays and Strings,17,Subarray Sum Equals K,560,43.8%,Medium,83.3175,https://leetcode.com/problems/subarray-sum-equals-k
1,Arrays and Strings,18,Squares of a Sorted Array,977,72.2%,Easy,29.8428,https://leetcode.com/problems/squares-of-a-sorted-array
1,Arrays and Strings,19,Valid Parentheses,20,39.1%,Easy,88.5255,https://leetcode.com/problems/valid-parentheses
1,Arrays and Strings,20,Trapping Rain Water,42,49.2%,Hard,94.9261,https://leetcode.com/problems/trapping-rain-water
1,Arrays and Strings,21,Sparse Matrix Multiplication,311,62.2%,Medium,48.208,https://leetcode.com/problems/sparse-matrix-multiplication
2,Linked Lists,1,Add Two Numbers,2,34.1%,Medium,97.8625,https://leetcode.com/problems/add-two-numbers
2,Linked Lists,2,Merge Two Sorted Lists,21,53.9%,Easy,89.5942,https://leetcode.com/problems/merge-two-sorted-lists
2,Linked Lists,3,Reverse Linked List,206,63.0%,Easy,79.9546,https://leetcode.com/problems/reverse-linked-list
3,Trees and Graphs,1,Same Tree,100,53.5%,Easy,14.4298,https://leetcode.com/problems/same-tree
3,Trees and Graphs,2,Maximum Depth of Binary Tree,104,66.3%,Easy,40.1667,https://leetcode.com/problems/maximum-depth-of-binary-tree
3,Trees and Graphs,3,Clone Graph,133,35.4%,Medium,48.2669,https://leetcode.com/problems/clone-graph
3,Trees and Graphs,4,Number of Islands,200,47.1%,Medium,98.9313,https://leetcode.com/problems/number-of-islands
3,Trees and Graphs,5,Lowest Common Ancestor of a Binary Tree,236,46.2%,Medium,57.2056,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree
3,Trees and Graphs,6,Longest Increasing Path in a Matrix,329,43.6%,Hard,52.5296,https://leetcode.com/problems/longest-increasing-path-in-a-matrix
3,Trees and Graphs,7,Diameter of Binary Tree,543,48.6%,Easy,59.5423,https://leetcode.com/problems/diameter-of-binary-tree
4,Recursion,1,Letter Combinations of a Phone Number,17,47.1%,Medium,70.5068,https://leetcode.com/problems/letter-combinations-of-a-phone-number
4,Recursion,2,Generate Parentheses,22,63.1%,Medium,77.9345,https://leetcode.com/problems/generate-parentheses
4,Recursion,3,Combination Sum,39,56.5%,Medium,51.2393,https://leetcode.com/problems/combination-sum
4,Recursion,4,Permutations,46,64.0%,Medium,70.8299,https://leetcode.com/problems/permutations
4,Recursion,5,Subsets,78,62.5%,Medium,54.6467,https://leetcode.com/problems/subsets
4,Recursion,6,Word Search,79,35.8%,Medium,68.3933,https://leetcode.com/problems/word-search
5,Sorting and Searching,1,Median of Two Sorted Arrays,4,29.8%,Hard,92.6333,https://leetcode.com/problems/median-of-two-sorted-arrays
5,Sorting and Searching,2,Search in Rotated Sorted Array,33,34.7%,Medium,73.3033,https://leetcode.com/problems/search-in-rotated-sorted-array
5,Sorting and Searching,3,Merge Intervals,56,39.5%,Medium,86.3523,https://leetcode.com/problems/merge-intervals
5,Sorting and Searching,4,Sort Colors,75,47.6%,Medium,54.1834,https://leetcode.com/problems/sort-colors
5,Sorting and Searching,5,Valid Anagram,242,57.1%,Easy,46.563,https://leetcode.com/problems/valid-anagram
5,Sorting and Searching,6,Intersection of Two Arrays,349,62.9%,Easy,37.6127,https://leetcode.com/problems/intersection-of-two-arrays
5,Sorting and Searching,7,Intersection of Two Arrays II,350,51.5%,Easy,25.9127,https://leetcode.com/problems/intersection-of-two-arrays-ii
5,Sorting and Searching,8,Top K Frequent Words,692,52.1%,Medium,81.18,https://leetcode.com/problems/top-k-frequent-words
5,Sorting and Searching,9,K Closest Points to Origin,973,64.0%,Medium,82.2488,https://leetcode.com/problems/k-closest-points-to-origin
6,Dynamic Programming,1,Longest Palindromic Substring,5,29.6%,Medium,93.7021,https://leetcode.com/problems/longest-palindromic-substring
6,Dynamic Programming,2,Regular Expression Matching,10,26.9%,Hard,71.373,https://leetcode.com/problems/regular-expression-matching
6,Dynamic Programming,3,Maximum Subarray,53,46.7%,Easy,93.8573,https://leetcode.com/problems/maximum-subarray
6,Dynamic Programming,4,Best Time to Buy and Sell Stock,121,50.6%,Easy,84.3863,https://leetcode.com/problems/best-time-to-buy-and-sell-stock
6,Dynamic Programming,5,Word Break,139,40.3%,Medium,78.8645,https://leetcode.com/problems/word-break
7,Design,1,LRU Cache,146,33.5%,Medium,95.725,https://leetcode.com/problems/lru-cache
7,Design,2,Min Stack,155,44.8%,Easy,56.1068,https://leetcode.com/problems/min-stack
7,Design,3,Flatten Nested List Iterator,341,53.1%,Medium,56.0613,https://leetcode.com/problems/flatten-nested-list-iterator
7,Design,4,Insert Delete GetRandom O(1),380,47.7%,Medium,72.5734,https://leetcode.com/problems/insert-delete-getrandom-o1
8,Others,1,Reverse Integer,7,25.8%,Easy,74.1591,https://leetcode.com/problems/reverse-integer
8,Others,2,Valid Sudoku,36,49.1%,Medium,37.7872,https://leetcode.com/problems/valid-sudoku
8,Others,3,Combine Two Tables,175,61.3%,Easy,52.8311,https://leetcode.com/problems/combine-two-tables
8,Others,4,Rank Scores,178,46.5%,Medium,37.5931,https://leetcode.com/problems/rank-scores
8,Others,5,Happy Number,202,50.6%,Easy,58.5338,https://leetcode.com/problems/happy-number
8,Others,6,Fizz Buzz,412,63.2%,Easy,38.8735,https://leetcode.com/problems/fizz-buzz
8,Others,7,Jewels and Stones,771,86.5%,Easy,21.9604,https://leetcode.com/problems/jewels-and-stones
