ChapterSerial,Chapter,ProblemSerial,Problem,Id,Acceptance,Difficulty,Frequency,Link
1,Arrays and Strings,1,Two Sum,1,45.7%,Easy,100.0,https://leetcode.com/problems/two-sum
1,Arrays and Strings,2,Valid Palindrome,125,36.9%,Easy,52.5565,https://leetcode.com/problems/valid-palindrome
1,Arrays and Strings,3,String to Integer (atoi),8,15.4%,Medium,56.5727,https://leetcode.com/problems/string-to-integer-atoi
1,Arrays and Strings,4,Reverse String,344,68.8%,Easy,44.8469,https://leetcode.com/problems/reverse-string
1,Arrays and Strings,5,Reverse Words in a String,151,22.1%,Medium,43.423,https://leetcode.com/problems/reverse-words-in-a-string
1,Arrays and Strings,6,Reverse Words in a String II,186,43.7%,Medium,16.1733,https://leetcode.com/problems/reverse-words-in-a-string-ii
1,Arrays and Strings,7,Valid Parentheses,20,39.1%,Easy,88.5255,https://leetcode.com/problems/valid-parentheses
1,Arrays and Strings,8,Longest Palindromic Substring,5,29.6%,Medium,93.7021,https://leetcode.com/problems/longest-palindromic-substring
1,Arrays and Strings,9,Group Anagrams,49,57.3%,Medium,70.0943,https://leetcode.com/problems/group-anagrams
1,Arrays and Strings,10,Trapping Rain Water,42,49.2%,Hard,94.9261,https://leetcode.com/problems/trapping-rain-water
1,Arrays and Strings,11,Set Matrix Zeroes,73,43.3%,Medium,42.2225,https://leetcode.com/problems/set-matrix-zeroes
1,Arrays and Strings,12,Rotate Image,48,57.3%,Medium,60.9585,https://leetcode.com/problems/rotate-image
1,Arrays and Strings,13,Spiral Matrix,54,34.3%,Medium,73.5962,https://leetcode.com/problems/spiral-matrix
2,Linked Lists,1,Reverse Linked List,206,63.0%,Easy,79.9546,https://leetcode.com/problems/reverse-linked-list
2,Linked Lists,2,Linked List Cycle,141,41.4%,Easy,37.5698,https://leetcode.com/problems/linked-list-cycle
2,Linked Lists,3,Add Two Numbers,2,34.1%,Medium,97.8625,https://leetcode.com/problems/add-two-numbers
2,Linked Lists,4,Add Two Numbers II,445,54.8%,Medium,64.1529,https://leetcode.com/problems/add-two-numbers-ii
2,Linked Lists,5,Merge Two Sorted Lists,21,53.9%,Easy,89.5942,https://leetcode.com/problems/merge-two-sorted-lists
2,Linked Lists,6,Merge k Sorted Lists,23,40.6%,Hard,90.663,https://leetcode.com/problems/merge-k-sorted-lists
2,Linked Lists,7,Intersection of Two Linked Lists,160,41.1%,Easy,38.6889,https://leetcode.com/problems/intersection-of-two-linked-lists
2,Linked Lists,8,Copy List with Random Pointer,138,37.0%,Medium,67.3527,https://leetcode.com/problems/copy-list-with-random-pointer
3,Trees and Graphs,1,Validate Binary Search Tree,98,27.9%,Medium,55.1922,https://leetcode.com/problems/validate-binary-search-tree
